## 1
## 미·유럽·호주에서 연구 활동 가능문학 분야 국제화 교육동국대 역사는 한국 문학사와 맥을 같이 한다는 말이 있을 정도로 역사와 정통성을 자랑한다.
## <미:ORG>·<유럽:ORG>·<호주:ORG>에서 연구 활동 가능문학 분야 국제화 교육<동국대:ORG> 역사는 <한국:ORG> 문학사와 맥을 같이 한다는 말이 있을 정도로 역사와 정통성을 자랑한다.
미	미	NNP	B-ORG
·	·	SP	O
유럽	유럽	NNP	B-ORG
·	·	SP	O
호주	호주	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
연구	연구	NNG	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
가능	가능	NNG	O
문학	문학	NNG	O
_	_	_	O
분야	분야	NNG	O
_	_	_	O
국제	국제	NNG	O
화	화	XSN	O
_	_	_	O
교육	교육	NNG	O
동국대	동국대	NNP	B-ORG
_	_	_	O
역사	역사	NNG	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
문학사	문학사	NNG	O
와	와	JC	O
_	_	_	O
맥	맥	NNG	O
을	을	JKO	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
한다는	하+ㄴ다는	VV+ETM	O
_	_	_	O
말	말	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
역사	역사	NNG	O
와	와	JC	O
_	_	_	O
정통성	정통성	NNG	O
을	을	JKO	O
_	_	_	O
자랑한다	자랑하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 여성은 동서(26.4%)와 시어머니(21.1%), 시누이(14.2%) 순이었다.
## 여성은 동서(<26.4%:PNT>)와 시어머니(<21.1%:PNT>), 시누이(<14.2%:PNT>) 순이었다.
여성	여성	NNG	O
은	은	JX	O
_	_	_	O
동서	동서	NNG	O
(	(	SS	O
26.4	26.4	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
와	와	JKB	O
_	_	_	O
시어머니	시어머니	NNG	O
(	(	SS	O
21.1	21.1	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
시누이	시누이	NNG	O
(	(	SS	O
14.2	14.2	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
순	순	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 교도통신은 “김 제1비서의 총괄 보고를 통해 핵과 미사일 개발의 성과를 ‘실적’으로 전면에 제시한 모양”이라고 전했다.
