## 1
## 타이거 우즈는 최근 허리통증 탓에 특유의 역동적인 스윙을 전혀 선보이지 못했다.
## <타이거 우즈:PER>는 최근 허리통증 탓에 특유의 역동적인 스윙을 전혀 선보이지 못했다.
타이거	타이거	NNP	B-PER
_	_	_	I-PER
우즈	우즈	NNP	I-PER
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
허리	허리	NNG	O
통증	통증	NNG	O
_	_	_	O
탓	탓	NNG	O
에	에	JKB	O
_	_	_	O
특유	특유	NNG	O
의	의	JKG	O
_	_	_	O
역동적	역동적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
스윙	스윙	NNG	O
을	을	JKO	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
선보이	선보이	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘힐링캠프 주원 광희’그룹 제국의아이들 광희가 배우 주원의 보조개를 질투하는 모습을 보여 웃음을 터뜨렸다.
## ‘<힐링캠프:POH> <주원:PER> <광희:PER>’그룹 <제국의아이들:ORG> <광희:PER>가 배우 <주원:PER>의 보조개를 질투하는 모습을 보여 웃음을 터뜨렸다.
‘	‘	SS	O
힐링	힐링	NNG	B-POH
캠프	캠프	NNG	I-POH
_	_	_	O
주원	주원	NNP	B-PER
_	_	_	O
광희	광희	NNP	B-PER
’	’	SS	O
그룹	그룹	NNG	O
_	_	_	O
제	제	XPN	B-ORG
국의	국의	NNG	I-ORG
아이	아이	NNG	I-ORG
들	들	XSN	I-ORG
_	_	_	O
광희	광희	NNG	B-PER
가	가	JKS	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
주원	주원	NNG	B-PER
의	의	JKG	O
_	_	_	O
보조개	보조개	NNG	O
를	를	JKO	O
_	_	_	O
질투하	질투하	VV	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
터뜨	터뜨리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 1~2군을 오가는 생활은 2015 시즌에도 계속됐지만 김지용은 그저 유니폼 입는 게 감사하다는 마음으로 즐겁게 던졌다.
## <1:NOH>~<2군:NOH>을 오가는 생활은 <2015:DAT> 시즌에도 계속됐지만 <김지용:PER>은 그저 유니폼 입는 게 감사하다는 마음으로 즐겁게 던졌다.
1	1	SN	B-NOH
~	~	SO	O
2	2	SN	B-NOH
군	군	NNG	I-NOH
을	을	JKO	O
_	_	_	O
오가	오가	VV	O
는	는	ETM	O
_	_	_	O
생활	생활	NNG	O
은	은	JX	O
_	_	_	O
2015	2015	SN	B-DAT
_	_	_	O
시즌	시즌	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
계속	계속되	VV	O
됐	었	EP	O
지만	지만	EC	O
_	_	_	O
김지용	김지용	NNP	B-PER
은	은	JX	O
_	_	_	O
그저	그저	MAG	O
_	_	_	O
유니폼	유니폼	NNG	O
_	_	_	O
입	입	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
감사하	감사하	VV	O
다는	다는	ETM	O
_	_	_	O
마음	마음	NNG	O
으로	으로	JKB	O
_	_	_	O
즐겁	즐겁	VA	O
게	게	EC	O
_	_	_	O
던	던지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 지난달 31일 중국 연예 매체는 강한나와 왕대륙이 일본 오사카를 찾아 여행을 즐겼다고 보도했다.
## 지난달 <31일:DAT> <중국:ORG> 연예 매체는 <강한나:PER>와 <왕대륙:PER>이 <일본:LOC> <오사카:LOC>를 찾아 여행을 즐겼다고 보도했다.
지난달	지난달	NNG	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
연예	연예	NNG	O
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
강한나	강한나	NNP	B-PER
와	와	JC	O
_	_	_	O
왕	왕	NNG	B-PER
대륙	대륙	NNG	I-PER
이	이	JKS	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
오사카	오사카	NNP	B-LOC
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
아	아	EC	O
_	_	_	O
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
즐	즐기	VV	O
겼	었	EP	O
다고	다고	EC	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 막돼먹은 영애씨 시즌14 조현영 박두식, 격정적인 취중 키스 "내가 안 예뻐?"
## <막돼먹은 영애씨:POH> <시즌14:NOH> <조현영:PER> <박두식:PER>, 격정적인 취중 키스 "내가 안 예뻐?"
막돼먹	막돼먹	VA	B-POH
은	은	ETM	I-POH
_	_	_	I-POH
영애	영애	NNP	I-POH
씨	씨	NNB	I-POH
_	_	_	O
시즌	시즌	NNG	B-NOH
14	14	SN	I-NOH
_	_	_	O
조현영	조현영	NNP	B-PER
_	_	_	O
박두식	박두식	NNP	B-PER
,	,	SP	O
_	_	_	O
격정적	격정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
취중	취중	NNG	O
_	_	_	O
키스	키스	NNG	O
_	_	_	O
"	"	SS	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
안	안	MAG	O
_	_	_	O
예	예쁘	VA	O
뻐	어	EF	O
?	?	SF	O
"	"	SS	O

## 6
## 이 회장 구속 1년여만에 투자액이 약 3분의 2로 줄어든 것이다.
## 이 회장 구속 <1년여만:NOH>에 투자액이 약 <3분의 2:PNT>로 줄어든 것이다.
이	이	NNP	O
_	_	_	O
회장	회장	NNG	O
_	_	_	O
구속	구속	NNG	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
여	여	XSN	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
투자액	투자액	NNG	O
이	이	JKS	O
_	_	_	O
약	약	MM	O
_	_	_	O
3	3	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
2	2	SN	I-PNT
로	로	JKB	O
_	_	_	O
