## 1
## 대한항공 관계자들은 9일 인천국제공항 정비 격납고 세척장에서 B747 여객기 1대에 대한 세척 작업을 실시했다.
## <대한항공:ORG> 관계자들은 <9일:DAT> <인천국제공항:LOC> 정비 격납고 세척장에서 <B747:POH> 여객기 <1대:NOH>에 대한 세척 작업을 실시했다.
대한항공	대한항공	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
인천국제공항	인천국제공항	NNP	B-LOC
_	_	_	O
정비	정비	NNG	O
_	_	_	O
격납고	격납고	NNG	O
_	_	_	O
세척장	세척장	NNG	O
에서	에서	JKB	O
_	_	_	O
B	B	SL	B-POH
747	747	SN	I-POH
_	_	_	O
여객기	여객기	NNG	O
_	_	_	O
1	1	SN	B-NOH
대	대	NNB	I-NOH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
세척	세척	NNG	O
_	_	_	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
실시	실시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 손흥민 골, ‘400억 가치 증명’ 3경기면 충분했다…
## <손흥민:PER> 골, ‘<400억:MNY> 가치 증명’ <3경기:NOH>면 충분했다…
손흥민	손흥민	NNP	B-PER
_	_	_	O
골	골	NNG	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
400	400	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
가치	가치	NNG	O
_	_	_	O
증명	증명	NNG	O
’	’	SS	O
_	_	_	O
3	3	SN	B-NOH
경기	경기+이	NNG+VCP	I-NOH
면	면	EC	O
_	_	_	O
충분	충분하	VA	O
했	였	EP	O
다	다	EC	O
…	…	SE	O

## 3
## 산학협력단 창원사무소는 중소기업청 계약학과(기계시스템공학과 석사과정, 융합기계공학과 박사과정), 경남지방법무사회 계약학과(법무학과 석사과정) 등을 운영하고 있다.
## <산학협력단 창원사무소:ORG>는 <중소기업청:ORG> 계약학과(기계시스템공학과 석사과정, 융합기계공학과 박사과정), <경남지방법무사회:ORG> 계약학과(법무학과 석사과정) 등을 운영하고 있다.
산학	산학	NNG	B-ORG
협력	협력	NNG	I-ORG
단	단	MAG	I-ORG
_	_	_	I-ORG
창원	창원	NNP	I-ORG
사무소	사무소	NNG	I-ORG
는	는	JX	O
_	_	_	O
중소기업청	중소기업청	NNG	B-ORG
_	_	_	O
계약	계약	NNG	O
학과	학과	NNG	O
(	(	SS	O
기계	기계	NNG	O
