## 1
## 죽정 씨는 한국인 아내를 만나 1992년 한국에 왔다.
## <죽정:PER> 씨는 한국인 아내를 만나 <1992년:DAT> <한국:LOC>에 왔다.
죽정	죽정	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
한국인	한국인	NNG	O
_	_	_	O
아내	아내	NNG	O
를	를	JKO	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
1992	1992	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 귀화하면서 이름을 ‘홍익’으로 바꿨다.
## 귀화하면서 이름을 ‘<홍익:PER>’으로 바꿨다.
귀화하	귀화하	VV	O
면서	면서	EC	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
홍익	홍익	NNP	B-PER
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
바	바꾸	VV	O
꿨	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 반면 백악관 참모진들은 쿠바난민문제는 결국 카스트로만이 해결할 수있으며, 따라서 대화를 통해 그를 설득할 수밖에 없다는 입장이다.
## 반면 <백악관:ORG> 참모진들은 <쿠바:ORG>난민문제는 결국 <카스트로:PER>만이 해결할 수있으며, 따라서 대화를 통해 그를 설득할 수밖에 없다는 입장이다.
반면	반면	NNG	O
_	_	_	O
백악관	백악관	NNP	B-ORG
_	_	_	O
참모	참모	NNG	O
진	진	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
쿠바	쿠바	NNP	B-ORG
난민	난민	NNG	O
문제	문제	NNG	O
는	는	JX	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
카스트로	카스트로	NNP	B-PER
만	만	JX	O
이	이	JKS	O
_	_	_	O
해결할	해결하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
있	있	VA	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
따라서	따라서	MAJ	O
_	_	_	O
대화	대화	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
설득할	설득하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
입장	입장	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 정부가 예산의 3분의 2 정도를 상반기에 배정한 것은 재정집행을 서둘러 경기를 빨리 끌어올리기 위한 것이다.
## 정부가 예산의 <3분의 2:PNT> 정도를 상반기에 배정한 것은 재정집행을 서둘러 경기를 빨리 끌어올리기 위한 것이다.
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
예산	예산	NNG	O
의	의	JKG	O
_	_	_	O
3	3	SN	B-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
2	2	SN	I-PNT
_	_	_	O
정도	정도	NNG	O
를	를	JKO	O
_	_	_	O
상반기	상반기	NNG	O
에	에	JKB	O
_	_	_	O
배정한	배정하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
재정	재정	NNG	O
집행	집행	NNG	O
을	을	JKO	O
_	_	_	O
서둘	서두르	VV	O
러	어	EC	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
빨리	빨리	MAG	O
_	_	_	O
끌어올리	끌어올리	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 26일 인천 남동구 늘솔길근린공원 내 양떼목장에서 한 직원이 임시 축사에 있는 어린 양들을 돌보고 있다(맨위 사진). 이 목장에서는 최근 수컷 새끼양 1마리가 태어났다.
## <26일:DAT> <인천 남동구 늘솔길근린공원:LOC> 내 양떼목장에서 한 직원이 임시 축사에 있는 어린 양들을 돌보고 있다(맨위 사진). 이 목장에서는 최근 수컷 새끼양 <1마리:NOH>가 태어났다.
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
인천	인천	NNP	B-LOC
_	_	_	I-LOC
남동	남동	NNG	I-LOC
구	구	NNG	I-LOC
_	_	_	I-LOC
늘	늘	NNG	I-LOC
솔길	솔길	NNG	I-LOC
근린공원	근린공원	NNG	I-LOC
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
양	양	NNG	O
떼	떼	NNG	O
목장	목장	NNG	O
에서	에서	JKB	O
_	_	_	O
한	한	MM	O
_	_	_	O
직원	직원	NNG	O
이	이	JKS	O
_	_	_	O
임시	임시	NNG	O
_	_	_	O
축사	축사	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
양	양	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
돌보	돌보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
(	(	SS	O
맨	맨	MM	O
위	위	NNB	O
_	_	_	O
