## 1
## 강원지방기상청에 따르면, 설악산 중청봉의 아침 기온이 영하로 떨어지면서 이날 오전 7시께부터 산발적으로 눈이 날렸다.
## <강원지방기상청:ORG>에 따르면, <설악산:LOC> <중청봉:LOC>의 아침 기온이 영하로 떨어지면서 이날 <오전 7시:TIM>께부터 산발적으로 눈이 날렸다.
강원	강원	NNP	B-ORG
지방	지방	NNG	I-ORG
기상청	기상청	NNG	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
,	,	SP	O
_	_	_	O
설악산	설악산	NNP	B-LOC
_	_	_	O
중청봉	중청봉	NNP	B-LOC
의	의	JKG	O
_	_	_	O
아침	아침	NNG	O
_	_	_	O
기온	기온	NNG	O
이	이	JKS	O
_	_	_	O
영하	영하	NNG	O
로	로	JKB	O
_	_	_	O
떨어지	떨어지	VV	O
면서	면서	EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
7	7	SN	I-TIM
시	시	NNB	I-TIM
께	께	JKB	O
부터	부터	JX	O
_	_	_	O
산발적	산발적	NNG	O
으로	으로	JKB	O
_	_	_	O
눈	눈	NNG	O
이	이	JKS	O
_	_	_	O
날	날리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 지난 27일 방송된 SBS '달의 연인 보보경심 려'에서 해수(아이유 분)는 누명을 덮어쓴 오상궁(우희진 분)의 죽음을 막기 위해 석고대죄하는 장면이 나왔다.
## 지난 <27일:DAT> 방송된 <SBS:POH> '<달의 연인 보보경심 려:POH>'에서 <해수:PER>(<아이유:PER> 분)는 누명을 덮어쓴 <오상궁:PER>(<우희진:PER> 분)의 죽음을 막기 위해 석고대죄하는 장면이 나왔다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
SBS	SBS	SL	B-POH
_	_	_	O
'	'	SS	O
달	달	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
연인	연인	NNG	I-POH
_	_	_	I-POH
보보	보보	NNG	I-POH
경심	경심	NNG	I-POH
_	_	_	I-POH
려	려	EF	I-POH
'	'	SS	O
에서	에서	JKB	O
_	_	_	O
해수	해수	NNG	B-PER
