## 1
## 2년 전 영연방으로부터의 독립 여부를 묻는 투표에서는 55% 대 45%로 영연방 잔류를 선택한 쪽이 많았다.
## <2년:NOH> 전 영연방으로부터의 독립 여부를 묻는 투표에서는 <55%:PNT> 대 <45%:PNT>로 영연방 잔류를 선택한 쪽이 많았다.
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
영연방	영연방	NNG	O
으로부터	으로부터	JKB	O
의	의	JKG	O
_	_	_	O
독립	독립	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
묻	묻	VV	O
는	는	ETM	O
_	_	_	O
투표	투표	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
55	55	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
대	대	NNG	O
_	_	_	O
45	45	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
영연방	영연방	NNG	O
_	_	_	O
잔류	잔류	NNG	O
를	를	JKO	O
_	_	_	O
선택한	선택하+ㄴ	VV+ETM	O
_	_	_	O
쪽	쪽	NNB	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 마스터스 출전권이 걸려 있는 50위 진입이 얼마 남지 않았다.
## <마스터스:POH> 출전권이 걸려 있는 <50위:NOH> 진입이 얼마 남지 않았다.
마스터스	마스터스	NNG	B-POH
_	_	_	O
출전권	출전권	NNG	O
이	이	JKS	O
_	_	_	O
걸려	걸리+어	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
50	50	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
진입	진입	NNG	O
이	이	JKS	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
남	남	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘드림학기제’에 거는 기대 건국대가 올 1학기부터 본격적으로 시행한 드림학기제는 시대 변화에 부응하는 학사 변화의 한 형태로 많은 관심을 받고 있다.
## ‘<드림학기제:POH>’에 거는 기대 <건국대:ORG>가 올 <1학기:NOH>부터 본격적으로 시행한 <드림학기제:POH>는 시대 변화에 부응하는 학사 변화의 한 형태로 많은 관심을 받고 있다.
‘	‘	SS	O
드림	드림	NNG	B-POH
학기제	학기제	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
거	걸	VV	O
는	는	ETM	O
_	_	_	O
기대	기대	NNG	O
_	_	_	O
건국대	건국대	NNP	B-ORG
가	가	JKS	O
_	_	_	O
올	올	NNG	O
_	_	_	O
1	1	SN	B-NOH
학기	학기	NNG	I-NOH
부터	부터	JX	O
_	_	_	O
본격적	본격적	NNG	O
으로	으로	JKB	O
_	_	_	O
시행한	시행하+ㄴ	VV+ETM	O
_	_	_	O
드림	드림	NNG	B-POH
학기제	학기제	NNG	I-POH
는	는	JX	O
_	_	_	O
시대	시대	NNG	O
_	_	_	O
변화	변화	NNG	O
에	에	JKB	O
_	_	_	O
부응하	부응하	VV	O
는	는	ETM	O
_	_	_	O
학사	학사	NNG	O
_	_	_	O
변화	변화	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
형태	형태	NNG	O
로	로	JKB	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 지난 1일부터 비공개테스트(이하 CBT) 테스터를 모집 중인 '소울워커'는 애니메이션을 연상케 하는 그래픽, 매력적인 캐릭터, 화려한 액션이 특인 게임이다.
## 지난 <1일:DAT>부터 비공개테스트(이하 CBT) 테스터를 모집 중인 '<소울워커:POH>'는 애니메이션을 연상케 하는 그래픽, 매력적인 캐릭터, 화려한 액션이 특인 게임이다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
비	비	XPN	O
공개	공개	NNG	O
테스트	테스트	NNG	O
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
CBT	CBT	SL	O
)	)	SS	O
_	_	_	O
테스터	테스터	NNG	O
를	를	JKO	O
_	_	_	O
모집	모집	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
'	'	SS	O
소울	소울	NNG	B-POH
워커	워커	NNP	I-POH
'	'	SS	O
는	는	JX	O
_	_	_	O
애니메이션	애니메이션	NNG	O
을	을	JKO	O
_	_	_	O
연상	연상하	VV	O
케	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
그래픽	그래픽	NNG	O
,	,	SP	O
_	_	_	O
매력적	매력적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
캐릭터	캐릭터	NNG	O
,	,	SP	O
_	_	_	O
화려한	화려하+ㄴ	VA+ETM	O
_	_	_	O
액션	액션	NNG	O
이	이	JKS	O
_	_	_	O
특	특	NNG	O
인	인	XSN	O
_	_	_	O
게임	게임	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 그는 임시정부를 찾아가 내무총장 도산 안창호에게 문지기를 시켜 달라고 간청했다.
## 그는 임시정부를 찾아가 내무총장 <도산 안창호:PER>에게 문지기를 시켜 달라고 간청했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
임시	임시	NNG	O
정부	정부	NNG	O
를	를	JKO	O
_	_	_	O
찾아가	찾아가+아	VV+EC	O
_	_	_	O
내무	내무	NNG	O
총장	총장	NNG	O
_	_	_	O
도산	도산	NNP	B-PER
_	_	_	I-PER
안창호	안창호	NNP	I-PER
에게	에게	JKB	O
_	_	_	O
문지기	문지기	NNG	O
를	를	JKO	O
_	_	_	O
시켜	시키+어	VV+EC	O
_	_	_	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
간청	간청하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 수목극 1위 ‘김과장’이 떠났다.
## 수목극 <1위:NOH> ‘<김과장:POH>’이 떠났다.
수	수	NNG	O
목극	목극	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
‘	‘	SS	O
김	김	NNP	B-POH
과장	과장	NNG	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
떠났	떠나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 경찰청도 경찰견 복제 프로젝트를 통해 지금까지 특수목적견 16마리를 얻었다.
## <경찰청:ORG>도 경찰견 복제 프로젝트를 통해 지금까지 특수목적견 <16마리:NOH>를 얻었다.
경찰청	경찰청	NNG	B-ORG
도	도	JX	O
_	_	_	O
경찰견	경찰견	NNG	O
_	_	_	O
복제	복제	NNG	O
_	_	_	O
프로젝트	프로젝트	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
지금	지금	NNG	O
까지	까지	JX	O
_	_	_	O
특수	특수	NNG	O
목적	목적	NNG	O
견	견	NNG	O
_	_	_	O
16	16	SN	B-NOH
마리	마리	NNB	I-NOH
를	를	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 투표율이 50%를 넘지 못하면 연장 투표를 하거나 재선거를 해야 한다.
## 투표율이 <50%:PNT>를 넘지 못하면 연장 투표를 하거나 재선거를 해야 한다.
투표율	투표율	NNG	O
이	이	JKS	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
면	면	EC	O
_	_	_	O
연장	연장	NNG	O
_	_	_	O
투표	투표	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
거나	거나	EC	O
_	_	_	O
재선거	재선거	NNG	O
를	를	JKO	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 9
## 안양 연고의 KGC가 서울 SK에 져 역대 개막 안방 최다
## <안양:LOC> 연고의 <KGC:ORG>가 <서울 SK:ORG>에 져 역대 개막 안방 최다
안양	안양	NNP	B-LOC
_	_	_	O
연고	연고	NNG	O
의	의	JKG	O
_	_	_	O
KGC	KGC	SL	B-ORG
가	가	JKS	O
_	_	_	O
서울	서울	NNP	B-ORG
_	_	_	I-ORG
SK	SK	SL	I-ORG
에	에	JKB	O
_	_	_	O
져	지+어	VV+EC	O
_	_	_	O
역대	역대	NNG	O
_	_	_	O
개막	개막	NNG	O
_	_	_	O
안방	안방	NNG	O
_	_	_	O
최다	최다	NNG	O

## 10
## 한·미 연합 독수리(Foal Eagle·FE) 훈련이 절정에 이르면서 미 전략무기들이 속속 한반도에 전개되고 있다.
## <한·미:ORG> 연합 독수리(Foal Eagle·FE) 훈련이 절정에 이르면서 <미:ORG> 전략무기들이 속속 <한반도:LOC>에 전개되고 있다.
한	한	NNP	B-ORG
·	·	SP	I-ORG
미	미	NNP	I-ORG
_	_	_	O
연합	연합	NNG	O
_	_	_	O
독수리	독수리	NNG	O
(	(	SS	O
Foal	Foal	SL	O
_	_	_	O
Eagle	Eagle	SL	O
·	·	SP	O
FE	FE	SL	O
)	)	SS	O
_	_	_	O
훈련	훈련	NNG	O
이	이	JKS	O
_	_	_	O
절정	절정	NNG	O
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
면서	면서	EC	O
_	_	_	O
미	미	NNP	B-ORG
_	_	_	O
전략	전략	NNG	O
무기	무기	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
속속	속속	MAG	O
_	_	_	O
한반도	한반도	NNP	B-LOC
에	에	JKB	O
_	_	_	O
전개되	전개되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
