## 1
## 아우디폭스바겐코리아가 판매한 티구안 등 4개 차종 승용차는 어린이 보호 잠금장치 부품 결함으로 안전사고 가능성이 있는 것으로 나타났다.
## <아우디폭스바겐코리아:ORG>가 판매한 티구안 등 <4개:NOH> 차종 승용차는 어린이 보호 잠금장치 부품 결함으로 안전사고 가능성이 있는 것으로 나타났다.
아우디	아우디	NNP	B-ORG
폭스바겐	폭스바겐	NNP	I-ORG
코리아	코리아	NNP	I-ORG
가	가	JKS	O
_	_	_	O
판매한	판매하+ㄴ	VV+ETM	O
_	_	_	O
티	티	NNG	O
구안	구안	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
차종	차종	NNG	O
_	_	_	O
승용차	승용차	NNG	O
는	는	JX	O
_	_	_	O
어린이	어린이	NNG	O
_	_	_	O
보호	보호	NNG	O
_	_	_	O
잠금장치	잠금장치	NNG	O
_	_	_	O
부품	부품	NNG	O
_	_	_	O
결함	결함	NNG	O
으로	으로	JKB	O
_	_	_	O
안전	안전	NNG	O
사고	사고	NNG	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국 국가여유국은 최근 베이징 일대 상위 20개 여행사 관계자들을 소집해 한국 여행상품 판매 중단을 지시했다.
## <중국:ORG> 국가여유국은 최근 <베이징:LOC> 일대 상위 <20개:NOH> 여행사 관계자들을 소집해 <한국:LOC> 여행상품 판매 중단을 지시했다.
중국	중국	NNP	B-ORG
_	_	_	O
국가여유국	국가여유국	NNP	O
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
베이징	베이징	NNP	B-LOC
_	_	_	O
일대	일대	NNG	O
_	_	_	O
상위	상위	NNG	O
_	_	_	O
20	20	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
여행사	여행사	NNG	O
_	_	_	O
관계자	관계자	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
소집해	소집하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
여행	여행	NNG	O
상품	상품	NNG	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
중단	중단	NNG	O
을	을	JKO	O
_	_	_	O
지시	지시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 지금은 대척점에 서 있지만 유 의원을 따라가다 보면 박 대통령이 보인다.
## 지금은 대척점에 서 있지만 <유:PER> 의원을 따라가다 보면 <박:PER> 대통령이 보인다.
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
대척점	대척점	NNG	O
에	에	JKB	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
있	있	VX	O
지만	지만	EC	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
을	을	JKO	O
_	_	_	O
따라가	따라가	VV	O
다	다	EC	O
_	_	_	O
보	보	VX	O
면	면	EC	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## ‘1988년생 동갑내기’ 이보미, 김하늘, 신지애, 그리고 베테랑 전미정(35)과 이지희(38)가 여전히 건재하다.
## ‘<1988년생:NOH> 동갑내기’ <이보미:PER>, <김하늘:PER>, <신지애:PER>, 그리고 베테랑 <전미정:PER>(<35:NOH>)과 <이지희:PER>(<38:NOH>)가 여전히 건재하다.
‘	‘	SS	O
1988	1988	SN	B-NOH
년	년	NNB	I-NOH
생	생	XSN	I-NOH
_	_	_	O
동갑내기	동갑내기	NNG	O
’	’	SS	O
_	_	_	O
이보미	이보미	NNP	B-PER
,	,	SP	O
_	_	_	O
김하늘	김하늘	NNP	B-PER
,	,	SP	O
_	_	_	O
신지애	신지애	NNP	B-PER
,	,	SP	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
베테랑	베테랑	NNG	O
_	_	_	O
전미정	전미정	NNP	B-PER
(	(	SS	O
35	35	SN	B-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
이지희	이지희	NNP	B-PER
(	(	SS	O
38	38	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
건재하	건재하	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 佛작전 지원… 2차대전후 최대규모
## <佛:ORG>작전 지원… <2차대전:POH>후 최대규모
佛	佛	SH	B-ORG
작전	작전	NNG	O
_	_	_	O
지원	지원	NNG	O
…	…	SE	O
_	_	_	O
2	2	SN	B-POH
차	차	NNB	I-POH
대전	대전	NNG	I-POH
