## 1
## 몸이 완전치 않아 경기에 뛰진 못했어도 올스타전에 임하는 자세를 실천한 김희진이다.
## 몸이 완전치 않아 경기에 뛰진 못했어도 <올스타전:POH>에 임하는 자세를 실천한 <김희진:PER>이다.
몸	몸	NNG	O
이	이	JKS	O
_	_	_	O
완전	완전하	VA	O
치	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
경기	경기	NNG	O
에	에	JKB	O
_	_	_	O
뛰	뛰	VV	O
진	지+ㄴ	EC+JX	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
어도	어도	EC	O
_	_	_	O
올스타	올스타	NNG	B-POH
전	전	XSN	I-POH
에	에	JKB	O
_	_	_	O
임하	임하	VV	O
는	는	ETM	O
_	_	_	O
자세	자세	NNG	O
를	를	JKO	O
_	_	_	O
실천한	실천하+ㄴ	VV+ETM	O
_	_	_	O
김희진	김희진	NNP	B-PER
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 레버쿠젠에 남았다면 류승우는 또 다시 벤치에 머무는 시간이 길었을 것이다.
## <레버쿠젠:ORG>에 남았다면 <류승우:PER>는 또 다시 벤치에 머무는 시간이 길었을 것이다.
레버쿠젠	레버쿠젠	NNP	B-ORG
에	에	JKB	O
_	_	_	O
남	남	VV	O
았	았	EP	O
다면	다면	EC	O
_	_	_	O
류승우	류승우	NNP	B-PER
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
벤치	벤치	NNG	O
에	에	JKB	O
_	_	_	O
머무	머물	VV	O
는	는	ETM	O
_	_	_	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
길	길	VA	O
었	었	EP	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘하와’의 더블 타이틀곡 중 하나인 ‘애플(Apple)’은 음원 발매 후 멜론, 엠넷닷컴, 올레뮤직, 지니, 네이버뮤직 등에서 정상을 차지했다.
## ‘<하와:POH>’의 더블 타이틀곡 중 <하나:NOH>인 ‘<애플:POH>(<Apple:POH>)’은 음원 발매 후 <멜론:ORG>, <엠넷닷컴:ORG>, <올레뮤직:ORG>, <지니:ORG>, <네이버뮤직:ORG> 등에서 정상을 차지했다.
‘	‘	SS	O
하와	하와	NNG	B-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
더블	더블	NNG	O
_	_	_	O
타이틀	타이틀	NNG	O
곡	곡	XSN	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
