## 1
## 잘츠부르크는 남은 6경기 중 1승만 거둬도 자력 우승이 가능하다.
## <잘츠부르크:ORG>는 남은 <6경기:NOH> 중 <1승:NOH>만 거둬도 자력 우승이 가능하다.
잘츠부르크	잘츠부르크	NNP	B-ORG
는	는	JX	O
_	_	_	O
남	남	VV	O
은	은	ETM	O
_	_	_	O
6	6	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
1	1	SN	B-NOH
승	승	NNB	I-NOH
만	만	JX	O
_	_	_	O
거둬	거두+어	VV+EC	O
도	도	JX	O
_	_	_	O
자력	자력	NNG	O
_	_	_	O
우승	우승	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 2
## (서울=뉴스1)
## (<서울:LOC>=뉴스1)
(	(	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴스	뉴스	NNG	O
1	1	SN	O
)	)	SS	O

## 3
## ‘투수→타자’ 천재성+노력 결합된 걸출한 외야수이형종은 원래 투수였다.
## ‘투수→타자’ 천재성+노력 결합된 걸출한 외야수<이형종:PER>은 원래 투수였다.
‘	‘	SS	O
투수	투수	NNG	O
→	→	SW	O
타자	타자	NNG	O
’	’	SS	O
_	_	_	O
천재성+	천재성++	NNG+SW	O
노력	노력	NNG	O
_	_	_	O
결합된	결합되+ㄴ	VV+ETM	O
_	_	_	O
걸출한	걸출하+ㄴ	VA+ETM	O
_	_	_	O
외야수	외야수	NNG	O
이형종	이형종	NNP	B-PER
은	은	JX	O
_	_	_	O
원래	원래	NNG	O
_	_	_	O
투수	투수+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이날 유병재는 제작진이 준비한 환영인사 1단계부터 경기를 일으켰다.
## 이날 <유병재:PER>는 제작진이 준비한 환영인사 <1단계:NOH>부터 경기를 일으켰다.
이날	이날	NNG	O
_	_	_	O
유병재	유병재	NNP	B-PER
는	는	JX	O
_	_	_	O
제작진	제작진	NNG	O
이	이	JKS	O
_	_	_	O
준비한	준비하+ㄴ	VV+ETM	O
_	_	_	O
환영	환영	NNG	O
인사	인사	NNG	O
_	_	_	O
1	1	SN	B-NOH
단계	단계	NNG	I-NOH
부터	부터	JX	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
일으	일으키	VV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 미국은 전술핵을 갖다 놓지 않더라도 기존의 핵전력으로 대한(對韓) 핵우산 공약을 이행하는 데 문제가 없다고 보고 있다.
## <미국:ORG>은 전술핵을 갖다 놓지 않더라도 기존의 핵전력으로 대한(對韓) 핵우산 공약을 이행하는 데 문제가 없다고 보고 있다.
미국	미국	NNP	B-ORG
은	은	JX	O
_	_	_	O
전술	전술	NNG	O
핵	핵	NNG	O
을	을	JKO	O
_	_	_	O
갖다	가지+어다가	VV+EC	O
_	_	_	O
놓	놓	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
더라도	더라도	EC	O
_	_	_	O
기존	기존	NNG	O
의	의	JKG	O
_	_	_	O
핵전력	핵전력	NNG	O
으로	으로	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
(	(	SS	O
對韓	對韓	SH	O
)	)	SS	O
_	_	_	O
핵우산	핵우산	NNG	O
_	_	_	O
공약	공약	NNG	O
을	을	JKO	O
_	_	_	O
