## 1
## 스트라이크존은 올해 WBC도 공식 후원사로 참여한다.
## 스트라이크존은 올해 <WBC:POH>도 공식 후원사로 참여한다.
스트라이크존	스트라이크존	NNG	O
은	은	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
WBC	WBC	SL	B-POH
도	도	JX	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
후원	후원	NNG	O
사	사	XSN	O
로	로	JKB	O
_	_	_	O
참여한다	참여하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 가장 애착이 가는 프로그램으로 ‘KB훈민정음’을 꼽았다.
## 가장 애착이 가는 프로그램으로 ‘<KB훈민정음:POH>’을 꼽았다.
가장	가장	MAG	O
_	_	_	O
애착	애착	NNG	O
이	이	JKS	O
_	_	_	O
가	가	VV	O
는	는	ETM	O
_	_	_	O
프로그램	프로그램	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
KB	KB	SL	B-POH
훈민정음	훈민정음	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
꼽	꼽	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 현아, ‘잘나가서 그래’로 컴백…원더걸스, 사인CD 주며 “이뿌니 사랑해”
## <현아:PER>, ‘<잘나가서 그래:POH>’로 컴백…<원더걸스:ORG>, 사인CD 주며 “이뿌니 사랑해”
현아	현아	NNG	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
잘나가서	잘나가+아서	VV+EC	B-POH
_	_	_	I-POH
그래	그래	IC	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
컴백	컴백	NNG	O
…	…	SE	O
원더	원더	NNP	B-ORG
걸스	걸스	NNG	I-ORG
,	,	SP	O
_	_	_	O
사인	사인	NNG	O
CD	CD	SL	O
_	_	_	O
주	주	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
이뿌	이뿌	VA	O
니	니	EC	O
_	_	_	O
사랑해	사랑하+여	VV+EF	O
”	”	SS	O

## 4
## 이날 선발로 예정된 이해창(30)이 빗방울을 원망스럽게 쳐다보자 강성우 배터리코치는 “(이)해창이 너는 경기를 더 뛰어야하는 입장이니 많이 아쉬워해야 한다”면서 제자의 올바른 자세에 흐뭇함을 나타내기도 했다.
## 이날 선발로 예정된 <이해창:PER>(<30:NOH>)이 빗방울을 원망스럽게 쳐다보자 <강성우:PER> 배터리코치는 “<(이)해창:PER>이 너는 경기를 더 뛰어야하는 입장이니 많이 아쉬워해야 한다”면서 제자의 올바른 자세에 흐뭇함을 나타내기도 했다.
이날	이날	NNG	O
_	_	_	O
선발	선발	NNG	O
로	로	JKB	O
_	_	_	O
예정된	예정되+ㄴ	VV+ETM	O
_	_	_	O
이해창	이해창	NNP	B-PER
(	(	SS	O
30	30	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
빗방울	빗방울	NNG	O
