## 1
## 초등학생인 두 자녀를 챙기기 위해 퇴근을 서두르면서 김밥으로 저녁을 때운 적이 많기는 했지만 ‘후진국병’이라는 결핵을 앓게 될 줄은 상상도 못 했다.
## 초등학생인 <두 자녀:NOH>를 챙기기 위해 퇴근을 서두르면서 김밥으로 저녁을 때운 적이 많기는 했지만 ‘후진국병’이라는 결핵을 앓게 될 줄은 상상도 못 했다.
초등학생	초등학생	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
자녀	자녀	NNG	I-NOH
를	를	JKO	O
_	_	_	O
챙기	챙기	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
퇴근	퇴근	NNG	O
을	을	JKO	O
_	_	_	O
서두르	서두르	VV	O
면서	면서	EC	O
_	_	_	O
김밥	김밥	NNG	O
으로	으로	JKB	O
_	_	_	O
저녁	저녁	NNG	O
을	을	JKO	O
_	_	_	O
때운	때우+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
‘	‘	SS	O
후진국	후진국	NNG	O
병	병	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
결핵	결핵	NNG	O
을	을	JKO	O
_	_	_	O
앓	앓	VV	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
줄	줄	NNB	O
은	은	JX	O
_	_	_	O
상상	상상	NNG	O
도	도	JX	O
_	_	_	O
못	못	MAG	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 나물 건강하게 먹는 요리법은?…영양 살리는 나물 요리법 '나물 건강하게 먹는 법' 정월대보름(5일)을 앞두고 나물 건강하게 먹는 법이 눈길을 끌고 있다.
## 나물 건강하게 먹는 요리법은?…영양 살리는 나물 요리법 '나물 건강하게 먹는 법' 정월대보름(<5일:DAT>)을 앞두고 나물 건강하게 먹는 법이 눈길을 끌고 있다.
나물	나물	NNG	O
_	_	_	O
건강하	건강하	VA	O
게	게	EC	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
요리법	요리법	NNG	O
은	은	JX	O
?	?	SF	O
…	…	SE	O
영양	영양	NNG	O
_	_	_	O
살리	살리	VV	O
는	는	ETM	O
_	_	_	O
나물	나물	NNG	O
_	_	_	O
요리법	요리법	NNG	O
_	_	_	O
'	'	SS	O
나물	나물	NNG	O
_	_	_	O
건강하	건강하	VA	O
게	게	EC	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
법	법	NNB	O
'	'	SS	O
_	_	_	O
정월	정월	NNG	O
대보름	대보름	NNG	O
(	(	SS	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
나물	나물	NNG	O
_	_	_	O
건강하	건강하	VA	O
게	게	EC	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
법	법	NNB	O
이	이	JKS	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 아웃도어 브랜드 ‘트렉스타’ 권동칠 대표가 신발에 대한 열정 하나로 외길을 달려온 자신만의 성공법칙을 정리해 책을 냈다.
## 아웃도어 브랜드 ‘<트렉스타:ORG>’ <권동칠:PER> 대표가 신발에 대한 열정 <하나:NOH>로 외길을 달려온 자신만의 성공법칙을 정리해 책을 냈다.
아웃도어	아웃도어	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
‘	‘	SS	O
트렉	트렉	NNG	B-ORG
스타	스타	NNG	I-ORG
’	’	SS	O
_	_	_	O
권동칠	권동칠	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
신발	신발	NNG	O
