## 1
## [단독]집값 부담에 서울 등지는 3040… 인구 1000만 유지 비상
## [단독]집값 부담에 <서울:LOC> 등지는 <3040:NOH>… 인구 <1000만:NOH> 유지 비상
[	[	SS	O
단독	단독	NNG	O
]	]	SS	O
집값	집값	NNG	O
_	_	_	O
부담	부담	NNG	O
에	에	JKB	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
등지	등지	NNB	O
는	는	JX	O
_	_	_	O
3040	3040	SN	B-NOH
…	…	SE	O
_	_	_	O
인구	인구	NNG	O
_	_	_	O
1000	1000	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
유지	유지	NNG	O
_	_	_	O
비상	비상	NNG	O

## 2
## 반면 안 후보 지지자 중 토론회를 잘한 후보로 안 후보를 꼽은 비율은 20%에 그쳤다.
## 반면 <안:PER> 후보 지지자 중 토론회를 잘한 후보로 <안:PER> 후보를 꼽은 비율은 <20%:PNT>에 그쳤다.
반면	반면	NNG	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
_	_	_	O
지지자	지지자	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
토론회	토론회	NNG	O
를	를	JKO	O
_	_	_	O
잘한	잘하+ㄴ	VV+ETM	O
_	_	_	O
후보	후보	NNG	O
로	로	JKB	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
를	를	JKO	O
_	_	_	O
꼽	꼽	VV	O
은	은	ETM	O
_	_	_	O
비율	비율	NNG	O
은	은	JX	O
_	_	_	O
20	20	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한국갤럽은 이번 여론조사에서 TV토론회 이후 대선 후보에 대한 이미지가 전보다 좋아졌는지 여부도 물었다.
## <한국갤럽:ORG>은 이번 여론조사에서 TV토론회 이후 대선 후보에 대한 이미지가 전보다 좋아졌는지 여부도 물었다.
한국갤럽	한국갤럽	NNP	B-ORG
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
여론	여론	NNG	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
TV	TV	SL	O
