## 1
## 우연히 법대에 진학했는데 한 번도 듣도 보도 못한 공부를 하게 됐다”고 밝히기도 했다.
## 우연히 법대에 진학했는데 <한 번:NOH>도 듣도 보도 못한 공부를 하게 됐다”고 밝히기도 했다.
우연히	우연히	MAG	O
_	_	_	O
법대	법대	NNG	O
에	에	JKB	O
_	_	_	O
진학	진학하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
도	도	JX	O
_	_	_	O
듣	듣+지	VV+EC	O
도	도	JX	O
_	_	_	O
보	보+지	VV+EC	O
도	도	JX	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
공부	공부	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝히	밝히	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## [사설]자원외교 국정조사, 이상득 박영준 소환 불가피하다
## [사설]자원외교 국정조사, <이상득:PER> <박영준:PER> 소환 불가피하다
[	[	SS	O
사설	사설	NNG	O
]	]	SS	O
자원	자원	NNG	O
외교	외교	NNG	O
_	_	_	O
국정	국정	NNG	O
조사	조사	NNG	O
,	,	SP	O
_	_	_	O
이상득	이상득	NNP	B-PER
_	_	_	O
박영준	박영준	NNP	B-PER
_	_	_	O
소환	소환	NNG	O
_	_	_	O
불가피하	불가피하	VA	O
다	다	EF	O

## 3
## 2일 증시는 중소형 개별종목들이 강세를 보여 상한가종목이 1백50개에 육박했지만, 금융주가 부진해 지수상승은 소폭에 그쳤다.
## <2일:DAT> 증시는 중소형 개별종목들이 강세를 보여 상한가종목이 <1백50개:NOH>에 육박했지만, 금융주가 부진해 지수상승은 소폭에 그쳤다.
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
증시	증시	NNG	O
는	는	JX	O
_	_	_	O
중소형	중소형	NNG	O
_	_	_	O
개별	개별	NNG	O
종목	종목	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
강세	강세	NNG	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
_	_	_	O
상한가	상한가	NNG	O
종목	종목	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-NOH
백	백	NR	I-NOH
50	50	SN	I-NOH
개	개	NNB	I-NOH
에	에	JKB	O
_	_	_	O
육박	육박하	VV	O
했	였	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
금융	금융	NNG	O
주	주	NNG	O
가	가	JKS	O
_	_	_	O
부진해	부진하+여	VA+EC	O
_	_	_	O
지수	지수	NNG	O
상승	상승	NNG	O
은	은	JX	O
_	_	_	O
소폭	소폭	NNG	O
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이날 단둥~평양 노선 개통으로 중국인 관광객과 사업가 50여명은 고려항공을 타고 평양 순안국제공항에 환대를 받으며 도착했다고 한다.
## 이날 <단둥:LOC>~<평양:LOC> 노선 개통으로 중국인 관광객과 사업가 <50여명:NOH>은 <고려항공:ORG>을 타고 <평양 순안국제공항:LOC>에 환대를 받으며 도착했다고 한다.
이날	이날	NNG	O
_	_	_	O
단둥	단둥	NNP	B-LOC
~	~	SO	O
평양	평양	NNP	B-LOC
_	_	_	O
노선	노선	NNG	O
_	_	_	O
개통	개통	NNG	O
으로	으로	JKB	O
_	_	_	O
중국인	중국인	NNG	O
_	_	_	O
관광객	관광객	NNG	O
과	과	JC	O
_	_	_	O
사업가	사업가	NNG	O
_	_	_	O
50	50	SN	B-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
고려항공	고려항공	NNP	B-ORG
을	을	JKO	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
평양	평양	NNP	B-LOC
_	_	_	I-LOC
순안	순안	NNP	I-LOC
국제공항	국제공항	NNG	I-LOC
에	에	JKB	O
_	_	_	O
환대	환대	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
으며	으며	EC	O
_	_	_	O
도착	도착하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 우병우 수사를 대충하면 여론과 다음 정권이 가만히 두지 않을 것이고 샅샅이 뒤지자니 검찰 내부의 두 자릿수 정도 고위 간부들이 연루돼서 그것도 여론의 지탄 대상이 될 것 아닌가”라며 “깊은 한숨과 고뇌가 지금 검찰 수뇌부 분위기라고 한다”고 전했다.
## <우병우:PER> 수사를 대충하면 여론과 다음 정권이 가만히 두지 않을 것이고 샅샅이 뒤지자니 검찰 내부의 두 자릿수 정도 고위 간부들이 연루돼서 그것도 여론의 지탄 대상이 될 것 아닌가”라며 “깊은 한숨과 고뇌가 지금 검찰 수뇌부 분위기라고 한다”고 전했다.
우병우	우병우	NNP	B-PER
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
대충	대충	MAG	O
하	하	VV	O
면	면	EC	O
_	_	_	O
여론	여론	NNG	O
과	과	JC	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
정권	정권	NNG	O
이	이	JKS	O
_	_	_	O
가만히	가만히	MAG	O
_	_	_	O
두	두	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
샅샅이	샅샅이	MAG	O
_	_	_	O
뒤지	뒤지	VV	O
자니	자니	EC	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
내부	내부	NNG	O
의	의	JKG	O
_	_	_	O
두	두	MM	O
_	_	_	O
자릿수	자릿수	NNG	O
_	_	_	O
정도	정도	NNG	O
_	_	_	O
고위	고위	NNG	O
_	_	_	O
간부	간부	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
연루돼서	연루되+어서	VV+EC	O
_	_	_	O
그것	그것	NP	O
도	도	JX	O
_	_	_	O
여론	여론	NNG	O
의	의	JKG	O
_	_	_	O
지탄	지탄	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
아닌가	아니+ㄴ가	VCN+EF	O
”	”	SS	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
깊	깊	VA	O
은	은	ETM	O
_	_	_	O
한숨	한숨	NNG	O
과	과	JC	O
_	_	_	O
고뇌	고뇌	NNG	O
가	가	JKS	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
수뇌부	수뇌부	NNG	O
_	_	_	O
분위기	분위기+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 김어준은 자신의 추측이라는 전제를 달며 “아마도, 검찰총장의 사퇴 카드 고민이 이 문제 때문 아니겠는가
## <김어준:PER>은 자신의 추측이라는 전제를 달며 “아마도, 검찰총장의 사퇴 카드 고민이 이 문제 때문 아니겠는가
김어준	김어준	NNP	B-PER
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
추측	추측	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
전제	전제	NNG	O
를	를	JKO	O
_	_	_	O
달	달	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
아마도	아마도	MAG	O
,	,	SP	O
_	_	_	O
검찰	검찰	NNG	O
총장	총장	NNG	O
의	의	JKG	O
_	_	_	O
사퇴	사퇴	NNG	O
_	_	_	O
카드	카드	NNG	O
_	_	_	O
고민	고민	NNG	O
이	이	JKS	O
_	_	_	O
이	이	MM	O
_	_	_	O
문제	문제	NNG	O
_	_	_	O
때문	때문	NNB	O
_	_	_	O
아니	아니	VCN	O
겠	겠	EP	O
는가	는가	EF	O

## 7
## 다국적 관광객 10명과 함께 비행기에 올라탔다.
## 다국적 관광객 <10명:NOH>과 함께 비행기에 올라탔다.
다국적	다국적	NNG	O
_	_	_	O
관광객	관광객	NNG	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
비행기	비행기	NNG	O
에	에	JKB	O
_	_	_	O
올라탔	올라타+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 안 냈다…장근석 미스터리
## 안 냈다…<장근석:PER> 미스터리
안	안	MAG	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EC	O
…	…	SE	O
장근석	장근석	NNP	B-PER
_	_	_	O
미스터리	미스터리	NNG	O

## 9
## 이날 농식품부는 올해 국내에서 스마트팜을 도입한 농지 규모가 364ha로 지난해(60ha)의 6배 수준이었다고 보고했다.
## 이날 <농식품부:ORG>는 올해 국내에서 스마트팜을 도입한 농지 규모가 <364ha:NOH>로 지난해(<60ha:NOH>)의 <6배:PNT> 수준이었다고 보고했다.
이날	이날	NNG	O
_	_	_	O
농	농	NNG	B-ORG
식품	식품	NNG	I-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
스마트	스마트	NNG	O
팜	팜	NNP	O
을	을	JKO	O
_	_	_	O
도입한	도입하+ㄴ	VV+ETM	O
_	_	_	O
농지	농지	NNG	O
_	_	_	O
규모	규모	NNG	O
가	가	JKS	O
_	_	_	O
364	364	SN	B-NOH
ha	ha	SL	I-NOH
로	로	JKB	O
_	_	_	O
지난해	지난해	NNG	O
(	(	SS	O
60	60	SN	B-NOH
ha	ha	SL	I-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
6	6	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
보고	보고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 89년 창립된 후기미술작가협회의 멤버이기도 했던 불모의 회원들은 모더니즘미술과 민중미술로 양분된 미술계에서 제3의 길을 걸어온 것으로 평가된다.
## <89년:DAT> 창립된 <후기미술작가협회:ORG>의 멤버이기도 했던 불모의 회원들은 모더니즘미술과 민중미술로 양분된 미술계에서 <제3:NOH>의 길을 걸어온 것으로 평가된다.
89	89	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
창립된	창립되+ㄴ	VV+ETM	O
_	_	_	O
후기	후기	NNG	B-ORG
미술	미술	NNG	I-ORG
작가	작가	NNG	I-ORG
협회	협회	NNG	I-ORG
의	의	JKG	O
_	_	_	O
멤버	멤버	NNG	O
이	이	VCP	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
불모	불모	NNG	O
의	의	JKG	O
_	_	_	O
회원	회원	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
모더니즘	모더니즘	NNG	O
미술	미술	NNG	O
과	과	JC	O
_	_	_	O
민중	민중	NNG	O
미술	미술	NNG	O
로	로	JKB	O
_	_	_	O
양분된	양분되+ㄴ	VV+ETM	O
_	_	_	O
