## 1
## [똑똑한 금요일] 525조 엔 vs 556조 엔…일본 GDP 31조 엔 차이 왜?
## [<똑똑한 금요일:POH>] <525조 엔:MNY> vs <556조 엔:MNY>…<일본:ORG> GDP <31조 엔:MNY> 차이 왜?
[	[	SS	O
똑똑한	똑똑하+ㄴ	VA+ETM	B-POH
_	_	_	I-POH
금요일	금요일	NNG	I-POH
]	]	SS	O
_	_	_	O
525	525	SN	B-MNY
조	조	NNG	I-MNY
_	_	_	I-MNY
엔	엔	NNB	I-MNY
_	_	_	O
vs	vs	SL	O
_	_	_	O
556	556	SN	B-MNY
조	조	NNG	I-MNY
_	_	_	I-MNY
엔	엔	NNB	I-MNY
…	…	SE	O
일본	일본	NNP	B-ORG
_	_	_	O
GDP	GDP	SL	O
_	_	_	O
31	31	SN	B-MNY
조	조	NNG	I-MNY
_	_	_	I-MNY
엔	엔	NNB	I-MNY
_	_	_	O
차이	차이	NNG	O
_	_	_	O
왜	왜	MAG	O
?	?	SF	O

## 2
## 이민영 기자 lee.minyoung@joongang.co.kr 도움말=강동경희대한방병원 김고운 교수 (웰니스센터), 경상대 축산생명학과 주선태 교수
## <이민영:PER> 기자 <lee.minyoung@joongang.co.kr:POH> 도움말=<강동경희대한방병원:ORG> <김고운:PER> 교수 (<웰니스센터:ORG>), <경상대:ORG> 축산생명학과 <주선태:PER> 교수
이민영	이민영	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
lee	lee	SL	B-POH
.	.	SF	I-POH
minyoung	minyoung	SL	I-POH
@	@	SW	I-POH
joongang	joongang	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
_	_	_	O
도움말	도움말	NNG	O
=	=	SW	O
강동	강동	NNP	B-ORG
경희대	경희대	NNP	I-ORG
한방	한방	NNG	I-ORG
병원	병원	NNG	I-ORG
_	_	_	O
김고운	김고운	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
_	_	_	O
(	(	SS	O
웰니스	웰니스	NNG	B-ORG
센터	센터	NNG	I-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
경상대	경상대	NNP	B-ORG
_	_	_	O
축산	축산	NNG	O
생명학	생명학	NNP	O
과	과	JC	O
_	_	_	O
주선태	주선태	NNP	B-PER
_	_	_	O
교수	교수	NNG	O

## 3
## 과거 산업연수생제도 아래서 상당한 비용을 내야 한국에 올 수 있었던 이주 근로자들은 2004년 고용허가제 시행 이후 상대적으로 적은 비용을 지불하고 한국 근로자들과 똑같은 권리를 인정받으며 일하고 있다.
## 과거 산업연수생제도 아래서 상당한 비용을 내야 <한국:LOC>에 올 수 있었던 이주 근로자들은 <2004년:DAT> 고용허가제 시행 이후 상대적으로 적은 비용을 지불하고 <한국:ORG> 근로자들과 똑같은 권리를 인정받으며 일하고 있다.
과거	과거	NNG	O
_	_	_	O
산업	산업	NNG	O
연수생	연수생	NNG	O
제도	제도	NNG	O
_	_	_	O
아래	아래	NNG	O
서	서	JKB	O
_	_	_	O
상당한	상당하+ㄴ	VA+ETM	O
_	_	_	O
비용	비용	NNG	O
을	을	JKO	O
_	_	_	O
내야	내+어야	VV+EC	O
_	_	_	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
올	오+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
이주	이주	NNG	O
_	_	_	O
근로자	근로자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
고용	고용	NNG	O
허가제	허가제	NNG	O
_	_	_	O
시행	시행	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
적	적	VA	O
은	은	ETM	O
_	_	_	O
비용	비용	NNG	O
을	을	JKO	O
_	_	_	O
지불하	지불하	VV	O
고	고	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
근로자	근로자	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
똑같	똑같	VA	O
은	은	ETM	O
_	_	_	O
권리	권리	NNG	O
를	를	JKO	O
_	_	_	O
인정받	인정받	VV	O
으며	으며	EC	O
_	_	_	O
일하	일하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 황 총리는 “말은 앞뒤를 다 따져서 판단해야 한다.
## <황:PER> 총리는 “말은 앞뒤를 다 따져서 판단해야 한다.
황	황	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
말	말	NNG	O
은	은	JX	O
_	_	_	O
앞뒤	앞뒤	NNG	O
를	를	JKO	O
_	_	_	O
다	다	MAG	O
_	_	_	O
따져서	따지+어서	VV+EC	O
_	_	_	O
판단해야	판단하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 5
