## 1
## 메시는 바르셀로나에서 524경기에 출전해 450골을 터뜨렸고, 아르헨티나 대표팀 멤버로 A매치 107경기에 출전해 50골을 넣었다.
## <메시:PER>는 <바르셀로나:ORG>에서 <524경기:NOH>에 출전해 <450골:NOH>을 터뜨렸고, <아르헨티나:ORG> 대표팀 멤버로 A매치 <107경기:NOH>에 출전해 <50골:NOH>을 넣었다.
메시	메시	NNP	B-PER
는	는	JX	O
_	_	_	O
바르셀로나	바르셀로나	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
524	524	SN	B-NOH
경기	경기	NNG	I-NOH
에	에	JKB	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
450	450	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
터뜨	터뜨리	VV	O
렸	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
아르헨티나	아르헨티나	NNP	B-ORG
_	_	_	O
대표	대표	NNG	O
팀	팀	NNG	O
_	_	_	O
멤버	멤버	NNG	O
로	로	JKB	O
_	_	_	O
A	A	SL	O
매치	매치	NNG	O
_	_	_	O
107	107	SN	B-NOH
경기	경기	NNG	I-NOH
에	에	JKB	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
50	50	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 이 대표는 설 명절을 앞둔 소비자들에게 “국산 농산물을 애용해 달라”고 당부했다.
## 한편 <이:PER> 대표는 설 명절을 앞둔 소비자들에게 “국산 농산물을 애용해 달라”고 당부했다.
한편	한편	MAG	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
설	설	NNG	O
_	_	_	O
명절	명절	NNG	O
을	을	JKO	O
_	_	_	O
앞둔	앞두+ㄴ	VV+ETM	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
국산	국산	NNG	O
_	_	_	O
농산물	농산물	NNG	O
을	을	JKO	O
_	_	_	O
애용해	애용하+여	VV+EC	O
_	_	_	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
당부	당부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [Money&Life]SK텔레콤과 손잡고 대출상품 선봬
## [Money&Life]<SK텔레콤:ORG>과 손잡고 대출상품 선봬
[	[	SS	O
Money	Money	SL	O
&	&	SW	O
Life	Life	SL	O
]	]	SS	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
과	과	JKB	O
_	_	_	O
손잡	손잡	VV	O
고	고	EC	O
_	_	_	O
대출	대출	NNG	O
상품	상품	NNG	O
_	_	_	O
선봬	선뵈+어	VV+EC	O

## 4
## 기존 요금은 주중과 주말 조조 요금은 6000원, 주중 일반은 9000원, 주말 일반은 1만 원이었다.
## 기존 요금은 주중과 주말 조조 요금은 <6000원:MNY>, 주중 일반은 <9000원:MNY>, 주말 일반은 <1만 원:MNY>이었다.
기존	기존	NNG	O
_	_	_	O
요금	요금	NNG	O
은	은	JX	O
_	_	_	O
주	주	NNG	O
중	중	NNB	O
과	과	JC	O
_	_	_	O
주말	주말	NNG	O
_	_	_	O
조조	조조	NNP	O
_	_	_	O
요금	요금	NNG	O
