## 1
## 이날 방송에서 유이는 “최정윤이 수시로 핸드폰을 가지고 다니며 남편과 문자와 전화를 하는데 애교가 엄청나다”며 “최정윤이 남편의 전화를 바꿔준 적이 있었는데 전화를 받아도 아무 말이 없었다”고 말했다.
## 이날 방송에서 <유이:PER>는 “<최정윤:PER>이 수시로 핸드폰을 가지고 다니며 남편과 문자와 전화를 하는데 애교가 엄청나다”며 “<최정윤:PER>이 남편의 전화를 바꿔준 적이 있었는데 전화를 받아도 아무 말이 없었다”고 말했다.
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
유이	유이	NNG	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
최정윤	최정윤	NNP	B-PER
이	이	JKS	O
_	_	_	O
수시로	수시로	MAG	O
_	_	_	O
핸드폰	핸드폰	NNG	O
을	을	JKO	O
_	_	_	O
가지	가지	VV	O
고	고	EC	O
_	_	_	O
다니	다니	VV	O
며	며	EC	O
_	_	_	O
남편	남편	NNG	O
과	과	JC	O
_	_	_	O
문자	문자	NNG	O
와	와	JKB	O
_	_	_	O
전화	전화	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
는데	는데	EC	O
_	_	_	O
애교	애교	NNG	O
가	가	JKS	O
_	_	_	O
엄청나	엄청나	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
최정윤	최정윤	NNP	B-PER
이	이	JKS	O
_	_	_	O
남편	남편	NNG	O
의	의	JKG	O
_	_	_	O
전화	전화	NNG	O
를	를	JKO	O
_	_	_	O
바꿔	바꾸+어	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
전화	전화	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아도	아도	EC	O
_	_	_	O
아무	아무	MM	O
_	_	_	O
말	말	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 최정윤은 “남편이 유이를 너무 좋아하기에 바꿔줬더니 말 한마디 못하더라. 왜 말을 안 했느냐고 하니 10초 만에 유혹해버릴 거 같아서 그랬다더라”고 답했다.
## 이에 <최정윤:PER>은 “남편이 <유이:PER>를 너무 좋아하기에 바꿔줬더니 말 한마디 못하더라. 왜 말을 안 했느냐고 하니 <10초:NOH> 만에 유혹해버릴 거 같아서 그랬다더라”고 답했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
최정윤	최정윤	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
남편	남편	NNG	O
이	이	JKS	O
_	_	_	O
유이	유이	NNP	B-PER
를	를	JKO	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
좋아하	좋아하	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
바꿔	바꾸+어+주	VV+EC+VX	O
줬	었	EP	O
더니	더니	EC	O
_	_	_	O
말	말	NNG	O
_	_	_	O
한마디	한마디	NNG	O
_	_	_	O
못하	못하	VV	O
더라	더라	EF	O
.	.	SF	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
안	안	MAG	O
_	_	_	O
했	+였	+EP	O
느냐고	느냐고	EC	O
_	_	_	O
하	하	VV	O
니	니	EC	O
_	_	_	O
10	10	SN	B-NOH
초	초	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
유혹해	유혹하+여	VV+EC	O
버릴	버리+ㄹ	VX+ETM	O
_	_	_	O
거	것	NNB	O
_	_	_	O
같	같	VA	O
아서	아서	EC	O
_	_	_	O
그	그러	VV	O
랬	었	EP	O
다더라	다더라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이어 최정윤은 “남편이 유이에게 뇌물을 줘서라도 나와 계속 친하게 지내게 하고 싶어 한다”고 덧붙여 웃음을 자아냈다.
## 이어 <최정윤:PER>은 “남편이 <유이:PER>에게 뇌물을 줘서라도 나와 계속 친하게 지내게 하고 싶어 한다”고 덧붙여 웃음을 자아냈다.
이어	이어	MAG	O
_	_	_	O
최정윤	최정윤	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
남편	남편	NNG	O
이	이	JKS	O
_	_	_	O
유이	유이	NNG	B-PER
에게	에게	JKB	O
_	_	_	O
뇌물	뇌물	NNG	O
을	을	JKO	O
_	_	_	O
줘서	주+어서	VV+EC	O
라도	라도	JX	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
친하	친하	VA	O
게	게	EC	O
_	_	_	O
지내	지내	VV	O
게	게	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
어	어	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
여	어	EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 한편 최정윤은 29일 ‘해피투게더3’에 출연해 남편 윤태준에 대해 언급해 화제를 모았다.
## 한편 <최정윤:PER>은 <29일:DAT> ‘<해피투게더3:POH>’에 출연해 남편 <윤태준:PER>에 대해 언급해 화제를 모았다.
한편	한편	MAG	O
_	_	_	O
최정윤	최정윤	NNP	B-PER
은	은	JX	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
해피투게더	해피투게더	NNP	B-POH
3	3	SN	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
남편	남편	NNG	O
_	_	_	O
윤태준	윤태준	NNP	B-PER
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
언급해	언급하+여	VV+EC	O
_	_	_	O
화제	화제	NNG	O
