## 1
## 그러면 칭찬해주고 부각해주는 거예요.”30년 넘게 프로야구와 함께했다.
## 그러면 칭찬해주고 부각해주는 거예요.”<30년:NOH> 넘게 프로야구와 함께했다.
그러면	그러면	MAJ	O
_	_	_	O
칭찬해	칭찬하+여	VV+EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
부각해	부각하+여	VV+EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
예요	에요	EF	O
.	.	SF	O
”	”	SS	O
30	30	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
넘	넘	VV	O
게	게	EC	O
_	_	_	O
프로	프로	NNG	O
야구	야구	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 뮤지컬 배우이자 가수인 남경주가 심야음악프로그램 「밤이 흐르는 곳에」(매일 밤12시5분)를 진행한다.
## 뮤지컬 배우이자 가수인 <남경주:PER>가 심야음악프로그램 「<밤이 흐르는 곳에:POH>」(매일 <밤12시5분:TIM>)를 진행한다.
뮤지컬	뮤지컬	NNG	O
_	_	_	O
배우	배우	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
가수	가수	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
남경주	남경주	NNP	B-PER
가	가	JKS	O
_	_	_	O
심야	심야	NNG	O
음악	음악	NNG	O
프로그램	프로그램	NNG	O
_	_	_	O
「	「	SS	O
밤	밤	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
흐르	흐르	VV	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
곳	곳	NNG	I-POH
에	에	JKB	I-POH
」	」	SS	O
(	(	SS	O
매일	매일	MAG	O
_	_	_	O
밤	밤	NNG	B-TIM
12	12	SN	I-TIM
시	시	NNB	I-TIM
5	5	SN	I-TIM
분	분	NNB	I-TIM
)	)	SS	O
를	를	JKO	O
_	_	_	O
진행한다	진행하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 이날 본 집회는 오후 4시에 시작한다.
## 이날 본 집회는 <오후 4시:TIM>에 시작한다.
이날	이날	NNG	O
_	_	_	O
본	본	MM	O
_	_	_	O
집회	집회	NNG	O
는	는	JX	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
4	4	SN	I-TIM
시	시	NNB	I-TIM
에	에	JKB	O
_	_	_	O
시작한다	시작하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 문 후보 측 주장에 따르면 문 후보는 2006년에서야 이러한 사실을 알았다는 것이다.
## <문:PER> 후보 측 주장에 따르면 <문:PER> 후보는 <2006년:DAT>에서야 이러한 사실을 알았다는 것이다.
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
_	_	_	O
측	측	NNB	O
_	_	_	O
주장	주장	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
2006	2006	SN	B-DAT
년	년	NNB	I-DAT
에서	에서	JKB	O
야	야	JX	O
_	_	_	O
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
알	알	VV	O
았	았	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 박상우 사장은 ‘LH가 원하는 미래 인재상’에 대한 특강에서 제4차 산업혁명 등 최근 세상과 시대의 흐름 속에서 LH의 위치 및 역할, LH가 원하는 인재상에 대해 설명했다.
## <박상우:PER> 사장은 ‘<LH:ORG>가 원하는 미래 인재상’에 대한 특강에서 <제4차 산업혁명:POH> 등 최근 세상과 시대의 흐름 속에서 <LH:ORG>의 위치 및 역할, <LH:ORG>가 원하는 인재상에 대해 설명했다.
박상우	박상우	NNP	B-PER
_	_	_	O
사장	사장	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
LH	LH	SL	B-ORG
가	가	JKS	O
_	_	_	O
원하	원하	VV	O
는	는	ETM	O
_	_	_	O
미래	미래	NNG	O
_	_	_	O
인재	인재	NNG	O
상	상	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
특강	특강	NNG	O
에서	에서	JKB	O
_	_	_	O
제	제	XPN	B-POH
4	4	SN	I-POH
차	차	NNB	I-POH
_	_	_	I-POH
산업혁명	산업혁명	NNG	I-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
세상	세상	NNG	O
과	과	JC	O
_	_	_	O
시대	시대	NNG	O
의	의	JKG	O
_	_	_	O
흐름	흐름	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
LH	LH	SL	B-ORG
의	의	JKG	O
_	_	_	O
위치	위치	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
역할	역할	NNG	O
,	,	SP	O
_	_	_	O
LH	LH	SL	B-ORG
가	가	JKS	O
_	_	_	O
원하	원하	VV	O
는	는	ETM	O
_	_	_	O
인재	인재	NNG	O
상	상	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 13세 미만 어린이 통학 차량의 안전기준을 강화한 이 법은 2015년 1월 29일 시행됐지만, 학원가 등의 혼란을 줄이기 위해 영세규모(15인승 이하) 학원·체육시설 차량은 2년간의 유예기간을 줬다.
## <13세:NOH> 미만 어린이 통학 차량의 안전기준을 강화한 이 법은 <2015년 1월 29일:DAT> 시행됐지만, 학원가 등의 혼란을 줄이기 위해 영세규모(<15인승:NOH> 이하) 학원·체육시설 차량은 <2년간:DUR>의 유예기간을 줬다.
13	13	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
미만	미만	NNG	O
_	_	_	O
어린이	어린이	NNG	O
_	_	_	O
통학	통학	NNG	O
_	_	_	O
차량	차량	NNG	O
의	의	JKG	O
_	_	_	O
안전	안전	NNG	O
기준	기준	NNG	O
을	을	JKO	O
_	_	_	O
강화한	강화하+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
법	법	NNG	O
은	은	JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
29	29	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
시행	시행되	VV	O
됐	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
학원	학원	NNG	O
가	가	XSN	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
혼란	혼란	NNG	O
을	을	JKO	O
_	_	_	O
줄이	줄이	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
영세	영세	NNG	O
규모	규모	NNG	O
(	(	SS	O
15	15	SN	B-NOH
인	인	NNG	I-NOH
승	승	NNB	I-NOH
_	_	_	O
이하	이하	NNG	O
)	)	SS	O
_	_	_	O
학원	학원	NNG	O
·	·	SP	O
체육	체육	NNG	O
시설	시설	NNG	O
_	_	_	O
차량	차량	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
의	의	JKG	O
_	_	_	O
유예	유예	NNG	O
기간	기간	NNG	O
을	을	JKO	O
_	_	_	O
줬	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한 당직자는 “문 대표 처지에서 여전히 대중적 인기가 높고 상대적으로 ‘여의도 정치’에 덜 물든 안 의원이 유일한 해법일 것”이라고 분석했다.
## 한 당직자는 “<문:PER> 대표 처지에서 여전히 대중적 인기가 높고 상대적으로 ‘<여의도:LOC> 정치’에 덜 물든 <안:PER> 의원이 유일한 해법일 것”이라고 분석했다.
한	한	MM	O
_	_	_	O
당직자	당직자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
문	문	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
_	_	_	O
처지	처지	NNG	O
에서	에서	JKB	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
대중적	대중적	NNG	O
_	_	_	O
인기	인기	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
고	고	EC	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
여의도	여의도	NNP	B-LOC
_	_	_	O
정치	정치	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
덜	덜	MAG	O
_	_	_	O
물든	물들+ㄴ	VV+ETM	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
유일한	유일하+ㄴ	VA+ETM	O
_	_	_	O
해법	해법	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 2015년 충남을 방문한 외국인 관광객 17만2000명 중 중국인 관광객은 4만2000명으로 전체 관광객의 24.4%에 달한다.
## <2015년:DAT> 충남을 방문한 외국인 관광객 <17만2000명:NOH> 중 중국인 관광객은 <4만2000명:NOH>으로 전체 관광객의 <24.4%:PNT>에 달한다.
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
충남	충남	NNP	O
을	을	JKO	O
_	_	_	O
방문한	방문하+ㄴ	VV+ETM	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
관광객	관광객	NNG	O
_	_	_	O
17	17	SN	B-NOH
만	만	NR	I-NOH
2000	2000	SN	I-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
중국인	중국인	NNG	O
_	_	_	O
관광객	관광객	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-NOH
만	만	NR	I-NOH
2000	2000	SN	I-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
관광객	관광객	NNG	O
의	의	JKG	O
_	_	_	O
24.4	24.4	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
달한다	달하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 인천시와 강화군은 이 구역을 ‘왕의 길’이란 관광코스로 개발하는 도시재생 사업을 추진하고 있다.
## <인천시:ORG>와 <강화군:ORG>은 이 구역을 ‘왕의 길’이란 관광코스로 개발하는 도시재생 사업을 추진하고 있다.
인천시	인천시	NNP	B-ORG
