## 1
## 『93­94시즌 메트에선 21개 오페라가 2백6회 공연됐습니다.
## 『<93:NOH>­<94시즌:NOH> 메트에선 <21개:NOH> 오페라가 <2백6회:NOH> 공연됐습니다.
『	『	SS	O
93	93	SN	B-NOH
­	­	SS	O
94	94	SN	B-NOH
시즌	시즌	NNG	I-NOH
_	_	_	O
메트	메트	NNP	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
21	21	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
오페라	오페라	NNG	O
가	가	JKS	O
_	_	_	O
2	2	SN	B-NOH
백	백	NR	I-NOH
6	6	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
공연	공연+되	NNG+XSV	O
됐	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## 대박영화 ‘국제시장’은 우리 현대사 속에서 가족애와 가장(家長)의 의미를 실감나게 일깨운 작품으로 오래 기억될 것이다.
## 대박영화 ‘<국제시장:POH>’은 우리 현대사 속에서 가족애와 가장(家長)의 의미를 실감나게 일깨운 작품으로 오래 기억될 것이다.
대박	대박	NNG	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
국제	국제	NNG	B-POH
시장	시장	NNG	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
현대사	현대사	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
가족	가족	NNG	O
애	애	XSN	O
와	와	JKB	O
_	_	_	O
가장	가장	MAG	O
(	(	SS	O
家長	家長	SH	O
)	)	SS	O
의	의	JKG	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
실감	실감	NNG	O
나	나	VV	O
게	게	EC	O
_	_	_	O
일깨운	일깨우+ㄴ	VV+ETM	O
_	_	_	O
작품	작품	NNG	O
으로	으로	JKB	O
_	_	_	O
오래	오래	MAG	O
_	_	_	O
기억될	기억되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 예를 들어 현대차가 한국 조세당국에 제출한 국가별 영업활동이 적힌 자금 흐름 보고서를 미국·일본과 공유할 수 있고, 한국 정부는 미국 과세당국에서 구글이나 애플 등의 국가별 소득·세금 자료를 받을 수 있게 된다.
## 예를 들어 <현대차:ORG>가 <한국:ORG> 조세당국에 제출한 국가별 영업활동이 적힌 자금 흐름 보고서를 <미국:ORG>·<일본:ORG>과 공유할 수 있고, <한국 정부:ORG>는 <미국:ORG> 과세당국에서 <구글:ORG>이나 <애플:ORG> 등의 국가별 소득·세금 자료를 받을 수 있게 된다.
예	예	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
현대차	현대차	NNP	B-ORG
가	가	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
조세	조세	NNG	O
당국	당국	NNG	O
에	에	JKB	O
_	_	_	O
제출한	제출하+ㄴ	VV+ETM	O
_	_	_	O
국가	국가	NNG	O
별	별	XSN	O
_	_	_	O
영업	영업	NNG	O
활동	활동	NNG	O
이	이	JKS	O
_	_	_	O
적힌	적히+ㄴ	VV+ETM	O
_	_	_	O
자금	자금	NNG	O
_	_	_	O
흐름	흐름	NNG	O
_	_	_	O
보고서	보고서	NNG	O
를	를	JKO	O
_	_	_	O
미국	미국	NNP	B-ORG
·	·	SP	O
일본	일본	NNP	B-ORG
과	과	JKB	O
_	_	_	O
공유할	공유하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
과세	과세	NNG	O
당국	당국	NNG	O
에서	에서	JKB	O
_	_	_	O
구글	구글	NNG	B-ORG
이나	이나	JC	O
_	_	_	O
애플	애플	NNP	B-ORG
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
국가	국가	NNG	O
별	별	XSN	O
_	_	_	O
소득	소득	NNG	O
·	·	SP	O
세금	세금	NNG	O
_	_	_	O
자료	자료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 19일에는 1위 OK저축은행을 상대해야 해 승점 추가를 장담하기가 쉽지 않다.
## <19일:DAT>에는 <1위:NOH> <OK저축은행:ORG>을 상대해야 해 승점 추가를 장담하기가 쉽지 않다.
19	19	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
OK	OK	SL	B-ORG
저축은행	저축은행	NNG	I-ORG
을	을	JKO	O
_	_	_	O
상대해야	상대하+여야	VV+EC	O
_	_	_	O
해	해	NNG	O
_	_	_	O
승점	승점	NNG	O
_	_	_	O
추가	추가	NNG	O
를	를	JKO	O
_	_	_	O
장담하	장담하	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 75개 농업경영체 인증사업자 선정
## <75개:NOH> 농업경영체 인증사업자 선정
75	75	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
농업	농업	NNG	O
경영	경영	NNG	O
체	체	XSN	O
_	_	_	O
인증	인증	NNG	O
사업자	사업자	NNG	O
_	_	_	O
선정	선정	NNG	O

## 6
## 이날 긴급최고위 도중 회의장을 먼저 나온 유 원내대표는 “내일 의총 소집 요구에 응했고, 결정에 따르기로 했다”고 전했다.
## 이날 긴급최고위 도중 회의장을 먼저 나온 <유:PER> 원내대표는 “내일 의총 소집 요구에 응했고, 결정에 따르기로 했다”고 전했다.
이날	이날	NNG	O
_	_	_	O
긴급	긴급	NNG	O
최고	최고	NNG	O
위	위	NNB	O
_	_	_	O
도중	도중	NNG	O
_	_	_	O
회의장	회의장	NNG	O
을	을	JKO	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
