## 1
## 한자는 세 나라의 지적·문화적 소통을 가능케 하는 연결고리다.
## 한자는 <세 나라:NOH>의 지적·문화적 소통을 가능케 하는 연결고리다.
한자	한자	NNG	O
는	는	JX	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
나라	나라	NNG	I-NOH
의	의	JKG	O
_	_	_	O
지적	지적	NNG	O
·	·	SP	O
문화적	문화적	NNG	O
_	_	_	O
소통	소통	NNG	O
을	을	JKO	O
_	_	_	O
가능	가능하	VA	O
케	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
연결	연결	NNG	O
고리	고리	NNG	O
다	다	NNG	O
.	.	SF	O

## 2
## 이 승리로 유희관은 4월 22일 목동 넥센전 이후 4연승을 달리며 시즌 5승(1패)을 수확해 SK 김광현과 함께 다승 공동선두로 올라섰다.
## 이 승리로 <유희관:PER>은 <4월 22일:DAT> <목동:LOC> <넥센:ORG>전 이후 <4연승:NOH>을 달리며 시즌 <5승:NOH>(<1패:NOH>)을 수확해 <SK:ORG> <김광현:PER>과 함께 다승 공동선두로 올라섰다.
이	이	MM	O
_	_	_	O
승리	승리	NNG	O
로	로	JKB	O
_	_	_	O
유희관	유희관	NNP	B-PER
은	은	JX	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
22	22	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
목동	목동	NNP	B-LOC
_	_	_	O
넥센	넥센	NNP	B-ORG
전	전	XSN	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
4	4	SN	B-NOH
연승	연승	NNG	I-NOH
을	을	JKO	O
_	_	_	O
달리	달리	VV	O
며	며	EC	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
5	5	SN	B-NOH
승	승	NNB	I-NOH
(	(	SS	O
1	1	SN	B-NOH
패	패	NNB	I-NOH
)	)	SS	O
을	을	JKO	O
_	_	_	O
수확해	수확하+여	VV+EC	O
_	_	_	O
SK	SK	SL	B-ORG
_	_	_	O
김광현	김광현	NNP	B-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
다승	다승	NNG	O
_	_	_	O
공동	공동	NNG	O
선두	선두	NNG	O
로	로	JKB	O
_	_	_	O
올라섰	올라서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 지드래곤 키코, ‘다시 만나는 일 없을 것’…두 사람 SNS에는 ‘심경 고백?’
## <지드래곤:PER> <키코:PER>, ‘다시 만나는 일 없을 것’…<두 사람:NOH> SNS에는 ‘심경 고백?’
지드래곤	지드래곤	NNP	B-PER
_	_	_	O
키코	키코	NNP	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
다시	다시	MAG	O
_	_	_	O
만나	만나	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
’	’	SS	O
…	…	SE	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
_	_	_	O
SNS	SNS	SL	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
심경	심경	NNP	O
_	_	_	O
고백	고백	NNG	O
?	?	SF	O
’	’	SS	O

## 4
## 추석 연휴 전후를 포함해 이 기간 교통사고가 가장 많이 발생하는 날은 ‘연휴 시작 전날’인 것으로 조사됐다.
