## 1
## 지난 24일은 한국과 중국이 수교한 지 24주년 되는 날이었다.
## 지난 <24일:DAT>은 <한국:ORG>과 <중국:ORG>이 수교한 지 <24주년:NOH> 되는 날이었다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
은	은	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
수교한	수교하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
24	24	SN	B-NOH
주년	주년	NNB	I-NOH
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
날	날	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 괌으로 떠난 후엔 노래 부를 기회가 많이 없었다.
## <괌:LOC>으로 떠난 후엔 노래 부를 기회가 많이 없었다.
괌	괌	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
떠난	떠나+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
부를	부르+ㄹ	VV+ETM	O
_	_	_	O
기회	기회	NNG	O
가	가	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 여기에 장시환(29)이 시즌 초 복귀를 목표로 재활 스케줄을 마무리하고 있다.
## 여기에 <장시환:PER>(<29:NOH>)이 시즌 초 복귀를 목표로 재활 스케줄을 마무리하고 있다.
여기	여기	NP	O
에	에	JKB	O
_	_	_	O
장시환	장시환	NNP	B-PER
(	(	SS	O
29	29	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
복귀	복귀	NNG	O
를	를	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
재활	재활	NNG	O
_	_	_	O
스케줄	스케줄	NNG	O
을	을	JKO	O
_	_	_	O
마무리하	마무리하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 어명에 복종하는 이순신은 순순히 함거(옛날 죄수를 이송하기 위해 수레 위에 만든 감옥)에 오르지만 백성들은 그를 그냥 보낼 수가 없다.
## 어명에 복종하는 <이순신:PER>은 순순히 함거(옛날 죄수를 이송하기 위해 수레 위에 만든 감옥)에 오르지만 백성들은 그를 그냥 보낼 수가 없다.
어명	어명	NNG	O
에	에	JKB	O
_	_	_	O
복종하	복종하	VV	O
는	는	ETM	O
_	_	_	O
이순신	이순신	NNP	B-PER
은	은	JX	O
_	_	_	O
순순히	순순히	MAG	O
_	_	_	O
함거	함거	NNG	O
(	(	SS	O
옛날	옛날	NNG	O
_	_	_	O
죄수	죄수	NNG	O
를	를	JKO	O
_	_	_	O
이송하	이송하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
수레	수레	NNG	O
_	_	_	O
위	위	NNG	O
에	에	JKB	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
감옥	감옥	NNG	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
오르	오르	VV	O
지만	지만	EC	O
_	_	_	O
백성	백성	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
그냥	그냥	MAG	O
_	_	_	O
보낼	보내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 5
## ‘슈가맨’ 강성 “조폭 결혼식서 야인시대 OST 축가 많이 불러…우는 사람도 있었다”
## ‘<슈가맨:POH>’ <강성:PER> “조폭 결혼식서 <야인시대:POH> OST 축가 많이 불러…우는 사람도 있었다”
‘	‘	SS	O
슈가맨	슈가맨	NNP	B-POH
’	’	SS	O
_	_	_	O
강성	강성	NNG	B-PER
_	_	_	O
“	“	SS	O
조폭	조폭	NNG	O
_	_	_	O
결혼식	결혼식	NNG	O
서	서	JKB	O
_	_	_	O
야인	야인	NNG	B-POH
시대	시대	NNG	I-POH
_	_	_	O
OST	OST	SL	O
_	_	_	O
축가	축가	NNG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
불	부르	VV	O
러	어	EC	O
…	…	SE	O
우	울	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
”	”	SS	O

## 6
## 당시 다른 간부들은 김 위원장보다 한걸음 뒤에 서서 참배를 했으나 리 총참모장은 같은 선상에서 참배를 했다.
## 당시 다른 간부들은 <김:PER> 위원장보다 한걸음 뒤에 서서 참배를 했으나 <리:PER> 총참모장은 같은 선상에서 참배를 했다.
당시	당시	NNG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
간부	간부	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
위원장	위원장	NNG	O
보다	보다	JKB	O
_	_	_	O
한걸음	한걸음	NNG	O
_	_	_	O
뒤	뒤	NNG	O
에	에	JKB	O
_	_	_	O
서서	서+어서	VV+EC	O
_	_	_	O
참배	참배	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
으나	으나	EC	O
_	_	_	O
리	리	NNB	B-PER
_	_	_	O
총참모장	총참모장	NNG	O
은	은	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
선상	선상	NNG	O
에서	에서	JKB	O
_	_	_	O
참배	참배	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 윤제문 소속사 나무엑터스 측은 7일 “이번 일에 대해 변명의 여지없이 깊이 자숙하고 있다”고 밝혔다.
## <윤제문:PER> 소속사 <나무엑터스:ORG> 측은 <7일:DAT> “이번 일에 대해 변명의 여지없이 깊이 자숙하고 있다”고 밝혔다.
윤제문	윤제문	NNP	B-PER
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
나무	나무	NNG	B-ORG
엑터스	엑터스	NNP	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
_	_	_	O
일	일	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
변명	변명	NNG	O
의	의	JKG	O
_	_	_	O
여지없이	여지없이	MAG	O
_	_	_	O
깊이	깊이	MAG	O
_	_	_	O
자숙하	자숙하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 이날 기자는 수액 주사를 맞는 50분 동안 낮잠을 잤다.
## 이날 기자는 수액 주사를 맞는 <50분 동안:DUR> 낮잠을 잤다.
이날	이날	NNG	O
_	_	_	O
기자	기자	NNG	O
는	는	JX	O
_	_	_	O
수액	수액	NNG	O
_	_	_	O
주사	주사	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
는	는	ETM	O
_	_	_	O
