## 1
## 제과제빵반 윤두남(42) 교사가 김씨를 맞았다.
## 제과제빵반 <윤두남:PER>(<42:NOH>) 교사가 <김:PER>씨를 맞았다.
제과	제과	NNG	O
제빵	제빵	NNG	O
반	반	NNG	O
_	_	_	O
윤두남	윤두남	NNP	B-PER
(	(	SS	O
42	42	SN	B-NOH
)	)	SS	O
_	_	_	O
교사	교사	NNG	O
가	가	JKS	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 인천지검 부천지청 형사2부(부장 최영운)는 상표법 위반 혐의로 온라인 쇼핑몰 운영자 A 씨(38) 등 5명을 구속하고 B 씨(48·여) 등 10명을 불구속했다고 11일 밝혔다.
## <인천지검 부천지청 형사2부:ORG>(부장 <최영운:PER>)는 상표법 위반 혐의로 온라인 쇼핑몰 운영자 <A:PER> 씨(<38:NOH>) 등 <5명:NOH>을 구속하고 <B:PER> 씨(<48:NOH>·여) 등 <10명:NOH>을 불구속했다고 <11일:DAT> 밝혔다.
인천	인천	NNP	B-ORG
지검	지검	NNG	I-ORG
_	_	_	I-ORG
부천	부천	NNP	I-ORG
지청	지청	NNG	I-ORG
_	_	_	I-ORG
형사	형사	NNG	I-ORG
2	2	SN	I-ORG
부	부	NNB	I-ORG
(	(	SS	O
부장	부장	NNG	O
_	_	_	O
최영운	최영운	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
상표법	상표법	NNG	O
_	_	_	O
위반	위반	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
쇼핑몰	쇼핑몰	NNG	O
_	_	_	O
운영	운영	NNG	O
자	자	XSN	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
38	38	SN	B-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
구속하	구속하	VV	O
고	고	EC	O
_	_	_	O
B	B	SL	B-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
48	48	SN	B-NOH
·	·	SP	O
여	여	NNG	O
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
불구속	불구속하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 미국 기준금리 동결로 진정되는 듯 했던 신흥국 화폐가치 하락세가 재연되면서 낙폭이 큰 브라질과 말레이시아 등에서 외환위기 우려가 나오고 있다고 블룸버그, 파이낸셜타임스(FT) 등이 23일 보도했다.
## <미국:ORG> 기준금리 동결로 진정되는 듯 했던 신흥국 화폐가치 하락세가 재연되면서 낙폭이 큰 <브라질:ORG>과 <말레이시아:ORG> 등에서 외환위기 우려가 나오고 있다고 <블룸버그:POH>, <파이낸셜타임스:POH>(<FT:POH>) 등이 <23일:DAT> 보도했다.
미국	미국	NNP	B-ORG
_	_	_	O
기준	기준	NNG	O
금리	금리	NNG	O
_	_	_	O
동결	동결	NNG	O
로	로	JKB	O
_	_	_	O
진정되	진정되	VV	O
는	는	ETM	O
_	_	_	O
듯	듯	NNB	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
신흥	신흥	NNG	O
국	국	XSN	O
_	_	_	O
화폐	화폐	NNG	O
가치	가치	NNG	O
_	_	_	O
하락세	하락세	NNG	O
가	가	JKS	O
_	_	_	O
재연되	재연되	VV	O
면서	면서	EC	O
_	_	_	O
낙폭	낙폭	NNG	O
이	이	JKS	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
브라질	브라질	NNP	B-ORG
과	과	JC	O
_	_	_	O
말레이시아	말레이시아	NNP	B-ORG
_	_	_	O
