## 1
## 처벌 수준을 현행 최고 1억원 벌금에서 2년 이하 징역으로 높이고 해외 계열사 현황을 의무적으로 공시토록 하는 내용이다.
## 처벌 수준을 현행 최고 <1억원:MNY> 벌금에서 <2년:DUR> 이하 징역으로 높이고 해외 계열사 현황을 의무적으로 공시토록 하는 내용이다.
처벌	처벌	NNG	O
_	_	_	O
수준	수준	NNG	O
을	을	JKO	O
_	_	_	O
현행	현행	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
벌금	벌금	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
이하	이하	NNG	O
_	_	_	O
징역	징역	NNG	O
으로	으로	JKB	O
_	_	_	O
높이	높이	VV	O
고	고	EC	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
계열사	계열사	NNG	O
_	_	_	O
현황	현황	NNG	O
을	을	JKO	O
_	_	_	O
의무적	의무적	NNG	O
으로	으로	JKB	O
_	_	_	O
공시	공시하	VV	O
토록	도록	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
내용	내용	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 「당근­채찍」 병행… 분규손실 75%나 줄어
## 「당근­채찍」 병행… 분규손실 <75%:PNT>나 줄어
「	「	SS	O
당근	당근	NNG	O
­	­	SS	O
채찍	채찍	NNG	O
」	」	SS	O
_	_	_	O
병행	병행	NNG	O
…	…	SE	O
_	_	_	O
분규	분규	NNG	O
손실	손실	NNG	O
_	_	_	O
75	75	SN	B-PNT
%	%	SW	I-PNT
나	나	JX	O
_	_	_	O
줄	줄	VV	O
어	어	EC	O

## 3
## 또 눈에는 보이지 않지만 우주 공간의 대부분을 채우고 있는 암흑물질에 관한 정보도 얻을 수 있다.
## 또 눈에는 보이지 않지만 우주 공간의 대부분을 채우고 있는 <암흑물질:POH>에 관한 정보도 얻을 수 있다.
또	또	MAG	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
지만	지만	EC	O
_	_	_	O
우주	우주	NNG	O
_	_	_	O
공간	공간	NNG	O
의	의	JKG	O
_	_	_	O
대부분	대부분	NNG	O
을	을	JKO	O
_	_	_	O
채우	채우	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
암흑	암흑	NNG	B-POH
물질	물질	NNG	I-POH
에	에	JKB	O
_	_	_	O
관한	관하+ㄴ	VV+ETM	O
_	_	_	O
정보	정보	NNG	O
도	도	JX	O
_	_	_	O
얻	얻	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 세계적인 이론물리학자 스티븐 호킹 박사는 “중력파를 검출할 수 있는 능력은 우주를 바라보는 완전히 새로운 방법을 제공한다”며 “눈에 보이지 않는 암흑물질과 빅뱅 이론 등 이전까지는 알 수 없었던 미지의 우주를 밝혀내는 데 크게 기여할 것”이라고 말했다.
## 세계적인 이론물리학자 <스티븐 호킹:PER> 박사는 “<중력파:POH>를 검출할 수 있는 능력은 우주를 바라보는 완전히 새로운 방법을 제공한다”며 “눈에 보이지 않는 <암흑물질:POH>과 <빅뱅 이론:POH> 등 이전까지는 알 수 없었던 미지의 우주를 밝혀내는 데 크게 기여할 것”이라고 말했다.
세계적	세계적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이론	이론	NNG	O
물리학자	물리학자	NNG	O
_	_	_	O
스티븐	스티븐	NNP	B-PER
_	_	_	I-PER
호킹	호킹	NNP	I-PER
_	_	_	O
박사	박사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
중력파	중력파	NNG	B-POH
를	를	JKO	O
_	_	_	O
검출할	검출하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
능력	능력	NNG	O
은	은	JX	O
_	_	_	O
우주	우주	NNG	O
를	를	JKO	O
_	_	_	O
바라보	바라보	VV	O
는	는	ETM	O
_	_	_	O
완전히	완전히	MAG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
방법	방법	NNG	O
을	을	JKO	O
_	_	_	O
제공한다	제공하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
눈	눈	NNG	O
에	에	JKB	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
암흑	암흑	NNG	B-POH
물질	물질	NNG	I-POH
과	과	JC	O
_	_	_	O
빅뱅	빅뱅	NNG	B-POH
_	_	_	I-POH
이론	이론	NNG	I-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
이전	이전	NNG	O
까지	까지	JX	O
는	는	JX	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
미지	미지	NNG	O
의	의	JKG	O
_	_	_	O
우주	우주	NNG	O
를	를	JKO	O
_	_	_	O
밝혀내	밝혀내	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
기여할	기여하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 뿐만 아니라 중력파는 여러 힘의 결합, 중력 연결 양자 이론과 같은 물리학에서의 중요한 문제들을 해결하는 데도 도움이 될 전망이다.
## 뿐만 아니라 <중력파:POH>는 여러 힘의 결합, 중력 연결 양자 이론과 같은 물리학에서의 중요한 문제들을 해결하는 데도 도움이 될 전망이다.
뿐	뿐	NNB	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
중력파	중력파	NNG	B-POH
는	는	JX	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
힘	힘	NNG	O
의	의	JKG	O
_	_	_	O
결합	결합	NNG	O
,	,	SP	O
_	_	_	O
중력	중력	NNG	O
_	_	_	O
연결	연결	NNG	O
_	_	_	O
양자	양자	NNG	O
_	_	_	O
이론	이론	NNG	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
물리학	물리학	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
문제	문제	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
해결하	해결하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
도	도	JX	O
_	_	_	O
도움	도움	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 단즈만 교수는 “힉스 입자 발견 이래 과학계에서 가장 중요한 진전을 이뤘다”며 “중력파의 관측은 새로운 연구 대상으로서의 우주를 열어 줄 것”이라고 말했다.
## <단즈만:PER> 교수는 “<힉스 입자:POH> 발견 이래 과학계에서 가장 중요한 진전을 이뤘다”며 “<중력파:POH>의 관측은 새로운 연구 대상으로서의 우주를 열어 줄 것”이라고 말했다.
단즈	단즈	NNG	B-PER
만	만	JX	I-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
힉스	힉스	NNP	B-POH
_	_	_	I-POH
입자	입자	NNG	I-POH
_	_	_	O
발견	발견	NNG	O
_	_	_	O
이래	이래	NNB	O
_	_	_	O
과학계	과학계	NNG	O
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
진전	진전	NNG	O
을	을	JKO	O
_	_	_	O
이	이루	VV	O
뤘	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
중력파	중력파	NNG	B-POH
의	의	JKG	O
_	_	_	O
관측	관측	NNG	O
은	은	JX	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
연구	연구	NNG	O
_	_	_	O
대상	대상	NNG	O
으로서	으로서	JKB	O
의	의	JKG	O
_	_	_	O
우주	우주	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
_	_	_	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 박수련·심새롬 기자
## <박수련:PER>·<심새롬:PER> 기자
박수련	박수련	NNP	B-PER
·	·	SP	O
심새롬	심새롬	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 8
## 향후 남북 대화 국면이 조성되면 김영철이 물꼬를 트는 역할을 할 수 있다는 것이다.
## 향후 <남북:ORG> 대화 국면이 조성되면 <김영철:PER>이 물꼬를 트는 역할을 할 수 있다는 것이다.
향후	향후	NNG	O
_	_	_	O
남북	남북	NNP	B-ORG
_	_	_	O
대화	대화	NNG	O
_	_	_	O
국면	국면	NNG	O
이	이	JKS	O
_	_	_	O
조성되	조성되	VV	O
면	면	EC	O
_	_	_	O
김	김	NNP	B-PER
영철이	영철이	NNP	O
_	_	_	O
물꼬	물꼬	NNG	O
를	를	JKO	O
_	_	_	O
트	트	VV	O
는	는	ETM	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
