## 1
## 서울 동대문에서 꽃집을 운영하는 김성철(가명·35)씨는 “궂은일에 현금도 아니고 꽃을 보내 주는 미풍양속까지 청탁이라며 법으로 다루는 건 난센스”라고 목소리를 높였다.
## <서울 동대문:LOC>에서 꽃집을 운영하는 <김성철:PER>(가명·<35:NOH>)씨는 “궂은일에 현금도 아니고 꽃을 보내 주는 미풍양속까지 청탁이라며 법으로 다루는 건 난센스”라고 목소리를 높였다.
서울	서울	NNP	B-LOC
_	_	_	I-LOC
동대문	동대문	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
꽃집	꽃집	NNG	O
을	을	JKO	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
김성철	김성철	NNP	B-PER
(	(	SS	O
가명	가명	NNG	O
·	·	SP	O
35	35	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
궂은일	궂은일	NNG	O
에	에	JKB	O
_	_	_	O
현금	현금	NNG	O
도	도	JX	O
_	_	_	O
아니	아니	VCN	O
고	고	EC	O
_	_	_	O
꽃	꽃	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내+어	VV+EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
미풍양속	미풍양속	NNG	O
까지	까지	JX	O
_	_	_	O
청탁	청탁	NNG	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
법	법	NNG	O
으로	으로	JKB	O
_	_	_	O
다루	다루	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
난센스	난센스	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
목소리	목소리	NNG	O
를	를	JKO	O
_	_	_	O
높	높이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 기혼 남성 10명 중 6명은 ‘결혼이 반드시 필요하다’고 생각하고 있는 반면, 기혼 여성 10명 중 7명은 정반대의 생각을 갖고 있는 것으로 나타났다.
## 기혼 남성 <10명:NOH> 중 <6명:NOH>은 ‘결혼이 반드시 필요하다’고 생각하고 있는 반면, 기혼 여성 <10명:NOH> 중 <7명:NOH>은 정반대의 생각을 갖고 있는 것으로 나타났다.
기혼	기혼	NNG	O
_	_	_	O
남성	남성	NNG	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
6	6	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
‘	‘	SS	O
결혼	결혼	NNG	O
이	이	JKS	O
_	_	_	O
반드시	반드시	MAG	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
생각하	생각하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
반면	반면	NNG	O
,	,	SP	O
_	_	_	O
기혼	기혼	NNG	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
정반대	정반대	NNG	O
의	의	JKG	O
_	_	_	O
생각	생각	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 성유리는 과거 KBS2 ‘해피투게더3’에 출연해 데이트 경험담을 털어놨다.
## <성유리:PER>는 과거 <KBS2:POH> ‘<해피투게더3:POH>’에 출연해 데이트 경험담을 털어놨다.
성유리	성유리	NNP	B-PER
는	는	JX	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
KBS	KBS	SL	B-POH
2	2	SN	I-POH
_	_	_	O
‘	‘	SS	O
해피투게더	해피투게더	NNP	B-POH
3	3	SN	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
데이트	데이트	NNG	O
_	_	_	O
경험담	경험담	NNG	O
을	을	JKO	O
_	_	_	O
털어	털어놓	VV	O
놨	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 유희경은 그쪽으로 몸을 틀고 나서 술잔을 마저 비웠다.
## <유희경:PER>은 그쪽으로 몸을 틀고 나서 술잔을 마저 비웠다.
유희경	유희경	NNP	B-PER
은	은	JX	O
_	_	_	O
그쪽	그쪽	NP	O
