## 1
## 당시 채국희는 극 중 마카오 박(김윤석 분)과 손을 잡고 사기를 치는 사모님 역할을 맡아 눈길을 모았다.
## 당시 <채국희:PER>는 극 중 <마카오 박:PER>(<김윤석:PER> 분)과 손을 잡고 사기를 치는 사모님 역할을 맡아 눈길을 모았다.
당시	당시	NNG	O
_	_	_	O
채국희	채국희	NNP	B-PER
는	는	JX	O
_	_	_	O
극	극	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
마카오	마카오	NNP	B-PER
_	_	_	I-PER
박	박	NNP	I-PER
(	(	SS	O
김윤석	김윤석	NNP	B-PER
_	_	_	O
분	분	NNB	O
)	)	SS	O
과	과	JKB	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
고	고	EC	O
_	_	_	O
사기	사기	NNG	O
를	를	JKO	O
_	_	_	O
치	치	VV	O
는	는	ETM	O
_	_	_	O
사모님	사모님	NNG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 4일 오전 한 매체는 두 사람 측근의 말을 인용해 “오달수와 채국희가 오랜 연인이며 연극계 쪽에서는 유명한 커플”이라고 보도했다.
## 한편 <4일:DAT> 오전 한 매체는 <두 사람:NOH> 측근의 말을 인용해 “<오달수:PER>와 <채국희:PER>가 오랜 연인이며 연극계 쪽에서는 유명한 커플”이라고 보도했다.
한편	한편	MAG	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
_	_	_	O
측근	측근	NNG	O
의	의	JKG	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
인용해	인용하+여	VV+EC	O
_	_	_	O
“	“	SS	O
오달수	오달수	NNP	B-PER
와	와	JC	O
_	_	_	O
채국희	채국희	NNP	B-PER
가	가	JKS	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
연인	연인	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
연극계	연극계	NNG	O
_	_	_	O
쪽	쪽	NNB	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
커플	커플	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그저 흥분, 혼란을 원한다”며 “개인적으로 푸틴이 에스토니아를 집어 먹어도 나는 숙면을 취할 수 있을 것이다.
## 그저 흥분, 혼란을 원한다”며 “개인적으로 <푸틴:PER>이 <에스토니아:ORG>를 집어 먹어도 나는 숙면을 취할 수 있을 것이다.
그저	그저	MAG	O
_	_	_	O
흥분	흥분	NNG	O
,	,	SP	O
_	_	_	O
혼란	혼란	NNG	O
을	을	JKO	O
_	_	_	O
원한다	원하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
개인적	개인적	NNG	O
으로	으로	JKB	O
_	_	_	O
푸틴	푸틴	NNP	B-PER
이	이	JKS	O
_	_	_	O
에스토니아	에스토니아	NNP	B-ORG
를	를	JKO	O
_	_	_	O
집	집	VV	O
어	어	EC	O
_	_	_	O
먹	먹	VV	O
어도	어도	EC	O
_	_	_	O
나	나	NP	O
는	는	JX	O
_	_	_	O
숙면	숙면	NNG	O
을	을	JKO	O
_	_	_	O
취할	취하+ㄹ	VV+ETM	O
