## 1
## 글로벌 펀드 감소에도 베트남 펀드에 돈 몰려 28일 금융정보 제공 업체 에프앤가이드에 따르면 27일 현재 운용 중인 베트남 펀드 37개 가운데 14개(37.8%)가 올해 선보였다.
## 글로벌 펀드 감소에도 <베트남:ORG> 펀드에 돈 몰려 <28일:DAT> 금융정보 제공 업체 <에프앤가이드:ORG>에 따르면 <27일:DAT> 현재 운용 중인 <베트남:ORG> 펀드 <37개:NOH> 가운데 <14개:NOH>(<37.8%:PNT>)가 올해 선보였다.
글로벌	글로벌	NNG	O
_	_	_	O
펀드	펀드	NNG	O
_	_	_	O
감소	감소	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
베트남	베트남	NNP	B-ORG
_	_	_	O
펀드	펀드	NNG	O
에	에	JKB	O
_	_	_	O
돈	돈	NNG	O
_	_	_	O
몰려	몰리+어	VV+EC	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
금융	금융	NNG	O
정보	정보	NNG	O
_	_	_	O
제공	제공	NNG	O
_	_	_	O
업체	업체	NNG	O
_	_	_	O
에프앤가이드	에프엔가이드	NNP	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
현재	현재	MAG	O
_	_	_	O
운용	운용	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
베트남	베트남	NNP	B-ORG
_	_	_	O
펀드	펀드	NNG	O
_	_	_	O
37	37	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
14	14	SN	B-NOH
개	개	NNB	I-NOH
(	(	SS	O
37.8	37.8	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
가	가	JKS	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
선보	선보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 10월 기준 아시아 국가가 보유한 국부펀드 자산은 전세계 국부펀드 시장의 39.1%를 차지하게 됩니다.
## <10월:DAT> 기준 <아시아:LOC> 국가가 보유한 국부펀드 자산은 전세계 국부펀드 시장의 <39.1%:PNT>를 차지하게 됩니다.
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
기준	기준	NNG	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
국가	국가	NNG	O
가	가	JKS	O
_	_	_	O
보유한	보유하+ㄴ	VV+ETM	O
_	_	_	O
국부	국부	NNG	O
펀드	펀드	NNG	O
_	_	_	O
자산	자산	NNG	O
은	은	JX	O
_	_	_	O
전	전	MM	O
세계	세계	NNG	O
_	_	_	O
국부	국부	NNG	O
펀드	펀드	NNG	O
_	_	_	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
39.1	39.1	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지하	차지하	VV	O
게	게	EC	O
_	_	_	O
됩니다	되+ㅂ니다	VV+EF	O
.	.	SF	O

## 3
## 2007년 대선 대패 직후 폐족(廢族)을 자처했던 친노가 한 의원의 범죄 사실 앞에서도 다시 ‘패권’을 노릴 수 있을지 모르겠다.
## <2007년:DAT> 대선 대패 직후 폐족(廢族)을 자처했던 친노가 한 의원의 범죄 사실 앞에서도 다시 ‘패권’을 노릴 수 있을지 모르겠다.
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대선	대선	NNG	O
_	_	_	O
대패	대패	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
폐족	폐족	NNG	O
(	(	SS	O
廢族	廢族	SH	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
자처	자처하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
친	친	XPN	O
노	노	NNP	O
가	가	JKS	O
_	_	_	O
한	한	MM	O
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
범죄	범죄	NNG	O
_	_	_	O
사실	사실	NNG	O
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
‘	‘	SS	O
패권	패권	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
노릴	노리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을지	을지	EC	O
_	_	_	O
모르	모르	VV	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 동아대병원 의료관광객 전담팀에는 ‘러시아 3인방’이 있다.
## <동아대병원:ORG> 의료관광객 전담팀에는 ‘<러시아:ORG> <3인방:NOH>’이 있다.
동아대	동아대	NNP	B-ORG
병원	병원	NNG	I-ORG
_	_	_	O
의료	의료	NNG	O
관광	관광	NNG	O
객	객	XSN	O
_	_	_	O
전담	전담	NNG	O
팀	팀	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
러시아	러시아	NNP	B-ORG
_	_	_	O
3	3	SN	B-NOH
인	인	NNG	I-NOH
방	방	NNG	I-NOH
’	’	SS	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 출근길에 교통사고를 당해 4개월간 입원 치료를 받으면서 아이의 병원비가 없어 고민하는 저소득층 부모를 봤기 때문이다.
## 출근길에 교통사고를 당해 <4개월간:DUR> 입원 치료를 받으면서 아이의 병원비가 없어 고민하는 저소득층 부모를 봤기 때문이다.
출근길	출근길	NNG	O
에	에	JKB	O
_	_	_	O
교통사고	교통사고	NNG	O
를	를	JKO	O
_	_	_	O
당해	당하+여	VV+EC	O
_	_	_	O
4	4	SN	B-DUR
개월	개월	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
입원	입원	NNG	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
으면서	으면서	EC	O
_	_	_	O
아이	아이	NNG	O
의	의	JKG	O
_	_	_	O
병원	병원	NNG	O
비	비	XSN	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
고민하	고민하	VV	O
는	는	ETM	O
_	_	_	O
저소득층	저소득층	NNG	O
_	_	_	O
부모	부모	NNG	O
를	를	JKO	O
_	_	_	O
봤	+았	+EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 독특한 색상과 디자인이 특징인 안나수이의 여행용 가방 역시 4월 중 선보일 예정이다.
## 독특한 색상과 디자인이 특징인 <안나수이:ORG>의 여행용 가방 역시 <4월:DAT> 중 선보일 예정이다.
독특한	독특하+ㄴ	VA+ETM	O
_	_	_	O
색상	색상	NNG	O
과	과	JC	O
_	_	_	O
디자인	디자인	NNG	O
이	이	JKS	O
_	_	_	O
특징	특징	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
안나	안나	NNP	B-ORG
수이	수이	NNP	I-ORG
의	의	JKG	O
_	_	_	O
여행용	여행용	NNG	O
_	_	_	O
가방	가방	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
중	중	NNB	O
_	_	_	O
선보일	선보이+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 양훈 “어떤 보직이든 상관없다”
## <양훈:PER> “어떤 보직이든 상관없다”
양훈	양훈	NNP	B-PER
_	_	_	O
“	“	SS	O
어떤	어떤	MM	O
_	_	_	O
보직	보직	NNG	O
이든	이든	JX	O
_	_	_	O
상관없	상관없	VA	O
다	다	EF	O
”	”	SS	O

## 8
## 올해 첫 태풍 ‘네파탁’ 괌 남쪽서 발생
## 올해 <첫:NOH> 태풍 ‘<네파탁:POH>’ <괌:LOC> 남쪽서 발생
올해	올해	NNG	O
_	_	_	O
첫	첫	MM	B-NOH
_	_	_	O
태풍	태풍	NNG	O
_	_	_	O
‘	‘	SS	O
네파탁	네파탁	NNP	B-POH
’	’	SS	O
_	_	_	O
괌	괌	NNP	B-LOC
_	_	_	O
남쪽	남쪽	NNG	O
서	서	JKB	O
_	_	_	O
발생	발생	NNG	O

## 9
## 서창현 소방장은 “인파가 집중되는 곳일수록 화재 시 비상구의 역할이 크다”며 “LOUD 기사를 읽고 바로 적용하게 됐다”고 말했습니다.
## <서창현:PER> 소방장은 “인파가 집중되는 곳일수록 화재 시 비상구의 역할이 크다”며 “<LOUD:POH> 기사를 읽고 바로 적용하게 됐다”고 말했습니다.
서창현	서창현	NNP	B-PER
_	_	_	O
소방장	소방장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
인파	인파	NNG	O
가	가	JKS	O
_	_	_	O
집중되	집중되	VV	O
는	는	ETM	O
_	_	_	O
곳	곳	NNG	O
일수록	이+ㄹ수록	VCP+EC	O
_	_	_	O
화재	화재	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
비상구	비상구	NNG	O
의	의	JKG	O
_	_	_	O
역할	역할	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
LOUD	LOUD	SL	B-POH
_	_	_	O
기사	기사	NNG	O
를	를	JKO	O
_	_	_	O
읽	읽	VV	O
고	고	EC	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
적용하	적용하	VV	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 10
## 무디스 “한국 국가신용등급 현 수준 Aa2 ‘안정적’ 유지”
## <무디스:ORG> “<한국:ORG> 국가신용등급 현 수준 <Aa2:NOH> ‘안정적’ 유지”
무디스	무디스	NNP	B-ORG
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
_	_	_	O
국가	국가	NNG	O
신용	신용	NNG	O
등급	등급	NNG	O
_	_	_	O
현	현	MM	O
_	_	_	O
수준	수준	NNG	O
_	_	_	O
Aa	Aa	SL	B-NOH
2	2	SN	I-NOH
_	_	_	O
‘	‘	SS	O
안정적	안정적	NNG	O
’	’	SS	O
_	_	_	O
유지	유지	NNG	O
”	”	SS	O

