## 1
## NC는 그의 야구인생에서 전환점이었다.
## <NC:ORG>는 그의 야구인생에서 전환점이었다.
NC	NC	SL	B-ORG
는	는	JX	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
야구	야구	NNG	O
인생	인생	NNG	O
에서	에서	JKB	O
_	_	_	O
전환점	전환점	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김영철이 "왜 식초를 넣냐"고 묻자 이찬오는 "식초를 넣어야 수란이 굳는다"며 팁을 전수했다.
## <김영철:PER>이 "왜 식초를 넣냐"고 묻자 <이찬오:PER>는 "식초를 넣어야 수란이 굳는다"며 팁을 전수했다.
김	김	NNP	B-PER
영철이	영철이	NNP	O
_	_	_	O
"	"	SS	O
왜	왜	MAG	O
_	_	_	O
식초	식초	NNG	O
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
냐	냐	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
묻	묻	VV	O
자	자	EC	O
_	_	_	O
이찬오	이찬오	NNP	B-PER
는	는	JX	O
_	_	_	O
"	"	SS	O
식초	식초	NNG	O
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
어야	어야	EC	O
_	_	_	O
수란이	수란이	NNP	O
_	_	_	O
굳	굳	VV	O
는다	는다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
팁	팁	NNG	O
을	을	JKO	O
_	_	_	O
전수	전수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 화보와 함께 진행된 인터뷰에서 김유정은 고3 수험생의 고충에 대해 "고민이 없을 거라 생각했는데, 신기하게도 그렇지 않다"며 "고민 끝에는 항상 공통점이 있는데 바로 김유정 나 자신을 찾는 일이다"라고 밝혔다.
## 한편 화보와 함께 진행된 인터뷰에서 <김유정:PER>은 <고3:NOH> 수험생의 고충에 대해 "고민이 없을 거라 생각했는데, 신기하게도 그렇지 않다"며 "고민 끝에는 항상 공통점이 있는데 바로 <김유정:PER> 나 자신을 찾는 일이다"라고 밝혔다.
한편	한편	MAG	O
_	_	_	O
화보	화보	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
진행된	진행되+ㄴ	VV+ETM	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
김유정	김유정	NNP	B-PER
은	은	JX	O
_	_	_	O
고	고	NNG	B-NOH
3	3	SN	I-NOH
_	_	_	O
수험생	수험생	NNG	O
의	의	JKG	O
_	_	_	O
고충	고충	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
"	"	SS	O
고민	고민	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
라	라	EC	O
_	_	_	O
생각	생각하	VV	O
했	였	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
신기하	신기하	VA	O
게	게	EC	O
도	도	JX	O
_	_	_	O
그렇	그렇	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
"	"	SS	O
고민	고민	NNG	O
_	_	_	O
끝	끝	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
공통점	공통점	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
