## 1
## 코스콤은 2011년 자매결연 이후 쪽방촌 주민 김장김치 및 냉방용품 지원과 저소득 계층을 위한 명절 음식 구입에 필요한 물품 등을 15차례에 걸쳐 대신시장에서 샀다.
## <코스콤:ORG>은 <2011년:DAT> 자매결연 이후 쪽방촌 주민 김장김치 및 냉방용품 지원과 저소득 계층을 위한 명절 음식 구입에 필요한 물품 등을 <15차례:NOH>에 걸쳐 대신시장에서 샀다.
코스콤	코스콤	NNP	B-ORG
은	은	JX	O
_	_	_	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
자매결연	자매결연	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
쪽방	쪽방	NNG	O
촌	촌	XSN	O
_	_	_	O
주민	주민	NNG	O
_	_	_	O
김장	김장	NNG	O
김치	김치	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
냉방	냉방	NNG	O
용품	용품	NNG	O
_	_	_	O
지원	지원	NNG	O
과	과	JC	O
_	_	_	O
저소득	저소득	NNG	O
_	_	_	O
계층	계층	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
명절	명절	NNG	O
_	_	_	O
음식	음식	NNG	O
_	_	_	O
구입	구입	NNG	O
에	에	JKB	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
물품	물품	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
15	15	SN	B-NOH
차례	차례	NNG	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
대신	대신	NNG	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
샀	사+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 20개월된 딸을 둔 이윤영씨(32·서울 성북구 성북동)는 “순하지도 않는 별난 손녀 키우느라 외출 한번 못하는 친정엄마가 건강이 나빠져 요즘 병원에 다닌다”며 “애한테 소홀해져서 오히려 내게 미안하다고 하는 걸 보고 가슴이 찡했다”고 말했다.
## <20개월:NOH>된 딸을 둔 <이윤영:PER>씨(<32:NOH>·<서울 성북구 성북동:LOC>)는 “순하지도 않는 별난 손녀 키우느라 외출 한번 못하는 친정엄마가 건강이 나빠져 요즘 병원에 다닌다”며 “애한테 소홀해져서 오히려 내게 미안하다고 하는 걸 보고 가슴이 찡했다”고 말했다.
20	20	SN	B-NOH
개월	개월	NNB	I-NOH
된	되+ㄴ	VV+ETM	O
_	_	_	O
딸	딸	NNG	O
을	을	JKO	O
_	_	_	O
둔	두+ㄴ	VV+ETM	O
_	_	_	O
이윤영	이윤영	NNP	B-PER
씨	씨	NNB	O
(	(	SS	O
32	32	SN	B-NOH
·	·	SP	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
성북구	성북구	NNP	I-LOC
_	_	_	I-LOC
