## 1
## 문제는 이 후보자의 기용과 함께 박 대통령의 국정운영 스타일이 변하느냐다.
## 문제는 <이:PER> 후보자의 기용과 함께 <박:PER> 대통령의 국정운영 스타일이 변하느냐다.
문제	문제	NNG	O
는	는	JX	O
_	_	_	O
이	이	MM	B-PER
_	_	_	O
후보자	후보자	NNG	O
의	의	JKG	O
_	_	_	O
기용	기용	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
국정	국정	NNG	O
운영	운영	NNG	O
_	_	_	O
스타일	스타일	NNG	O
이	이	JKS	O
_	_	_	O
변하	변하	VV	O
느냐	느냐+이	EC+VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 외부 압력으로 교수를 갑작스레 해임하는 것은 대학의 자치, 민주주의의 역행이라고 생각한 시민들과 언론, 변호사들이 가세하면서 ‘우에무라 해임’건은 공론화됐다.
## 하지만 외부 압력으로 교수를 갑작스레 해임하는 것은 대학의 자치, 민주주의의 역행이라고 생각한 시민들과 언론, 변호사들이 가세하면서 ‘<우에무라 해임:POH>’건은 공론화됐다.
하지만	하지만	MAJ	O
_	_	_	O
외부	외부	NNG	O
_	_	_	O
압력	압력	NNG	O
으로	으로	JKB	O
_	_	_	O
교수	교수	NNG	O
를	를	JKO	O
_	_	_	O
갑작스레	갑작스레	MAG	O
_	_	_	O
해임하	해임하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
대학	대학	NNG	O
의	의	JKG	O
_	_	_	O
자치	자치	NNG	O
,	,	SP	O
_	_	_	O
민주주의	민주주의	NNG	O
의	의	JKG	O
_	_	_	O
역행	역행	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
생각한	생각하+ㄴ	VV+ETM	O
_	_	_	O
시민	시민	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
언론	언론	NNG	O
,	,	SP	O
_	_	_	O
변호사	변호사	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
가세하	가세하	VV	O
면서	면서	EC	O
_	_	_	O
‘	‘	SS	O
우에무라	우에무라	NNP	B-POH
_	_	_	I-POH
해임	해임	NNG	I-POH
’	’	SS	O
건	건	NNB	O
은	은	JX	O
_	_	_	O
공론화	공론화되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 3개월 동안 골프아카데미에 다녔지만 생각했던 것과 달랐다.
## <3개월:DUR> 동안 골프아카데미에 다녔지만 생각했던 것과 달랐다.
3	3	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
골프	골프	NNG	O
아카데미	아카데미	NNG	O
에	에	JKB	O
_	_	_	O
다	다니	VV	O
녔	었	EP	O
지만	지만	EC	O
_	_	_	O
생각	생각하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
_	_	_	O
달	다르	VA	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 유 교수는 “탄산이 장을 자극하는 정도로 변비를 해소할 수 없다.
## <유:PER> 교수는 “탄산이 장을 자극하는 정도로 변비를 해소할 수 없다.
유	유	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
탄산	탄산	NNG	O
이	이	JKS	O
