## 1
## 바로 ‘월드스타’ 김윤진(사진)이다.
## 바로 ‘월드스타’ <김윤진:PER>(사진)이다.
바로	바로	MAG	O
_	_	_	O
‘	‘	SS	O
월드	월드	NNG	O
스타	스타	NNG	O
’	’	SS	O
_	_	_	O
김윤진	김윤진	NNP	B-PER
(	(	SS	O
사진	사진	NNG	O
)	)	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 경찰청 지능범죄수사대는 구속 기소된 예비역 육군 소령 김모 씨(46) 사건을 추가 수사하는 과정에서 신중돈 전 총리실 공보실장(56)과 남모 씨(42), 이모 씨(42) 등 3명에 대해 변호사법 위반 혐의를 포착해 이들을 구속했다고 27일 밝혔다.
## <경찰청 지능범죄수사대:ORG>는 구속 기소된 예비역 육군 소령 <김모:PER> 씨(<46:NOH>) 사건을 추가 수사하는 과정에서 <신중돈:PER> 전 총리실 공보실장(<56:NOH>)과 <남모:PER> 씨(<42:NOH>), <이모:PER> 씨(<42:NOH>) 등 <3명:NOH>에 대해 변호사법 위반 혐의를 포착해 이들을 구속했다고 <27일:DAT> 밝혔다.
경찰청	경찰청	NNG	B-ORG
_	_	_	I-ORG
지능	지능	NNG	I-ORG
범죄	범죄	NNG	I-ORG
수사대	수사대	NNG	I-ORG
는	는	JX	O
_	_	_	O
구속	구속	NNG	O
_	_	_	O
기소된	기소되+ㄴ	VV+ETM	O
_	_	_	O
예비역	예비역	NNG	O
_	_	_	O
육군	육군	NNG	O
_	_	_	O
소령	소령	NNG	O
_	_	_	O
김	김	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
46	46	SN	B-NOH
)	)	SS	O
_	_	_	O
사건	사건	NNG	O
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
수사하	수사하	VV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
신중돈	신중돈	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
총리	총리	NNG	O
실	실	XSN	O
_	_	_	O
공보	공보	NNG	O
실장	실장	NNG	O
(	(	SS	O
56	56	SN	B-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
남모	남모	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
42	42	SN	B-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
이	이	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
42	42	SN	B-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
변호사법	변호사법	NNG	O
_	_	_	O
위반	위반	NNG	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
포착해	포착하+여	VV+EC	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
구속	구속하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 온라인 중앙일보 '채시라 김태욱'
## 온라인 <중앙일보:ORG> '<채시라:PER> <김태욱:PER>'
온라인	온라인	NNG	O
_	_	_	O
중앙일보	중앙일보	NNP	B-ORG
_	_	_	O
'	'	SS	O
채시라	채시라	NNP	B-PER
_	_	_	O
김태욱	김태욱	NNP	B-PER
'	'	SS	O

## 4
## 고객이 자신의 기술과 경력 목표를 입력하면 모젠탈이 만든 앨고리즘이 세 명의 이름을 알려준다.
## 고객이 자신의 기술과 경력 목표를 입력하면 <모젠탈:PER>이 만든 앨고리즘이 <세 명:NOH>의 이름을 알려준다.
고객	고객	NNG	O
이	이	JKS	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
기술	기술	NNG	O
과	과	JC	O
_	_	_	O
경력	경력	NNG	O
_	_	_	O
목표	목표	NNG	O
를	를	JKO	O
_	_	_	O
입력하	입력하	VV	O
면	면	EC	O
_	_	_	O
모젠탈	모젠탈	NNG	B-PER
이	이	JKS	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
앨고리즘	앨고리즘	NNG	O
이	이	JKS	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
알려	알리+어	VV+EC	O
준다	주+ㄴ다	VX+EF	O
.	.	SF	O

## 5
## 지프 브랜드는 10월 31일부터 1박2일 일정으로 경기도 가평에서 열린 ‘2015 아이사랑캠핑’을 협찬했다고 2일 밝혔다.
## <지프:POH> 브랜드는 <10월 31일:DAT>부터 <1박:NOH><2일:NOH> 일정으로 <경기도:LOC> <가평:LOC>에서 열린 ‘<2015 아이사랑캠핑:POH>’을 협찬했다고 <2일:DAT> 밝혔다.
지프	지프	NNG	B-POH
_	_	_	O
브랜드	브랜드	NNG	O
는	는	JX	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
31	31	SN	I-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
1	1	SN	B-NOH
박	박	NNB	I-NOH
2	2	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
일정	일정	NNG	O
으로	으로	JKB	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
가평	가평	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-POH
_	_	_	I-POH
아이	아이	NNG	I-POH
사랑	사랑	NNG	I-POH
캠핑	캠핑	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
협찬	협찬하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 서울문화사의 베스트베이비와 우먼센스, 그리고 여성경제신문의 주최로 열린 ‘2015 아이사랑캠핑 부제: 할로윈 페스티벌’에는 자녀와 부모로 구성된 약 200팀 1000여 명이 참가해 즐거운 시간을 보냈다.
## <서울문화사:ORG>의 <베스트베이비:ORG>와 <우먼센스:ORG>, 그리고 <여성경제신문:ORG>의 주최로 열린 ‘<2015 아이사랑캠핑 부제: 할로윈 페스티벌:POH>’에는 자녀와 부모로 구성된 약 <200팀:NOH> <1000여 명:NOH>이 참가해 즐거운 시간을 보냈다.
서울문화사	서울문화사	NNP	B-ORG
의	의	JKG	O
_	_	_	O
베스트	베스트	NNG	B-ORG
베이비	베이비	NNG	I-ORG
와	와	JC	O
_	_	_	O
우먼	우먼	NNG	B-ORG
센스	센스	NNG	I-ORG
,	,	SP	O
_	_	_	O
그리고	그리고	MAG	O
_	_	_	O
여성	여성	NNG	B-ORG
경제	경제	NNG	I-ORG
신문	신문	NNG	I-ORG
의	의	JKG	O
_	_	_	O
주최	주최	NNG	O
로	로	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-POH
_	_	_	I-POH
아이	아이	NNG	I-POH
사랑	사랑	NNG	I-POH
캠핑	캠핑	NNG	I-POH
_	_	_	I-POH
부제	부제	NNG	I-POH
:	:	SP	I-POH
_	_	_	I-POH
할로윈	할로윈	NNG	I-POH
_	_	_	I-POH
페스티벌	페스티벌	NNG	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
자녀	자녀	NNG	O
와	와	JC	O
_	_	_	O
부모	부모	NNG	O
로	로	JKB	O
_	_	_	O
구성된	구성되+ㄴ	VV+ETM	O
_	_	_	O
약	약	MM	O
_	_	_	O
200	200	SN	B-NOH
팀	팀	NNG	I-NOH
_	_	_	O
1000	1000	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
참가해	참가하+여	VV+EC	O
_	_	_	O
즐거	즐겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
보냈	보내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 지프 브랜드는 아이와 부모가 함께 즐긴 이번 행사를 협찬하며 정통 SUV 브랜드 지프의 최신 모델인 올 뉴 레니게이드를 행사장에 전시해 캠핑 참가자들의 많은 관심을 받았다.
## <지프:ORG> 브랜드는 아이와 부모가 함께 즐긴 이번 행사를 협찬하며 정통 SUV 브랜드 <지프:ORG>의 최신 모델인 <올 뉴 레니게이드:POH>를 행사장에 전시해 캠핑 참가자들의 많은 관심을 받았다.
지프	지프	NNG	B-ORG
_	_	_	O
브랜드	브랜드	NNG	O
는	는	JX	O
_	_	_	O
아이	아이	NNG	O
와	와	JC	O
_	_	_	O
부모	부모	NNG	O
가	가	JKS	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
즐긴	즐기+ㄴ	VV+ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
협찬하	협찬하	VV	O
며	며	EC	O
_	_	_	O
정통	정통	NNG	O
_	_	_	O
SUV	SUV	SL	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
지프	지프	NNG	B-ORG
의	의	JKG	O
_	_	_	O
최신	최신	NNG	O
_	_	_	O
모델	모델	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
올	올	NNG	B-POH
_	_	_	I-POH
뉴	뉴	NNG	I-POH
_	_	_	I-POH
레니게이드	레니게이드	NNP	I-POH
를	를	JKO	O
_	_	_	O
행사장	행사장	NNG	O
에	에	JKB	O
_	_	_	O
전시해	전시하+여	VV+EC	O
_	_	_	O
캠핑	캠핑	NNG	O
_	_	_	O
참가자	참가자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘응답하라1988’ 류준열, 실상에서도 ‘상남자’ 포스 셀카 공개
## ‘<응답하라1988:POH>’ <류준열:PER>, 실상에서도 ‘상남자’ 포스 셀카 공개
‘	‘	SS	O
응답하	응답하	VV	B-POH
라	라	EC	I-POH
1988	1988	SN	I-POH
’	’	SS	O
_	_	_	O
류준열	류준열	NNP	B-PER
,	,	SP	O
_	_	_	O
실상	실상	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
‘	‘	SS	O
상	상	NNG	O
남자	남자	NNG	O
’	’	SS	O
_	_	_	O
포스	포스	NNG	O
_	_	_	O
셀카	셀카	NNG	O
_	_	_	O
공개	공개	NNG	O

## 9
## ‘인명피해’는?일본 내 미군기지서 폭발사고일본 가나가와현에 있는 미군 기지서 큰 폭발사고가 일어났다.
## ‘인명피해’는?<일본:LOC> 내 <미군기지:LOC>서 폭발사고<일본:LOC> <가나가와현:LOC>에 있는 <미군 기지:LOC>서 큰 폭발사고가 일어났다.
‘	‘	SS	O
인명	인명	NNG	O
피해	피해	NNG	O
’	’	SS	O
는	는	JX	O
?	?	SF	O
일본	일본	NNP	B-LOC
_	_	_	O
내	내	NNB	O
_	_	_	O
미군	미군	NNG	B-LOC
기지	기지	NNG	I-LOC
서	서	JKB	O
_	_	_	O
폭발	폭발	NNG	O
사고	사고	NNG	O
일본	일본	NNP	B-LOC
_	_	_	O
가나가와현	가나가와현	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
미군	미군	NNG	B-LOC
_	_	_	I-LOC
기지	기지	NNG	I-LOC
서	서	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
폭발	폭발	NNG	O
사고	사고	NNG	O
가	가	JKS	O
_	_	_	O
일어났	일어나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 일본 NHK방송 등은 24일 오전 0시 45분께 가나가와(神耐川)현 사가미하라(相模原)의 미국 육군 보급기지에서 원인 불명의 폭발사고가 있었다고 전했다.
## <일본:ORG> <NHK방송:ORG> 등은 <24일:DAT> <오전 0시 45분:TIM>께 <가나가와(神耐川)현:LOC> <사가미하라(相模原):LOC>의 <미국 육군 보급기지:LOC>에서 원인 불명의 폭발사고가 있었다고 전했다.
일본	일본	NNP	B-ORG
_	_	_	O
NHK	NHK	SL	B-ORG
방송	방송	NNG	I-ORG
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
0	0	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
45	45	SN	I-TIM
분	분	NNB	I-TIM
께	께	XSN	O
_	_	_	O
가나가와	가나가와	NNP	B-LOC
(	(	SS	I-LOC
神耐川	神耐川	SH	I-LOC
)	)	SS	I-LOC
현	현	NNG	I-LOC
_	_	_	O
사가	사가	NNG	B-LOC
미하라	미하라	NNP	I-LOC
(	(	SS	I-LOC
相模原	相模原	SH	I-LOC
)	)	SS	I-LOC
의	의	JKG	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
육군	육군	NNG	I-LOC
_	_	_	I-LOC
보급	보급	NNG	I-LOC
기지	기지	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
원인	원인	NNG	O
_	_	_	O
불명	불명	NNG	O
의	의	JKG	O
_	_	_	O
폭발	폭발	NNG	O
사고	사고	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 폭발사고가 일어난 보급기지는 200헥타르(2㎢) 면적의 부지에 물품 보관이나 군용 차량 수리 공장 등이 들어서 있으며 580여 명의 인원이 근무하고 있는 것으로 알려졌다.
## 폭발사고가 일어난 보급기지는 <200헥타르:NOH>(<2㎢:NOH>) 면적의 부지에 물품 보관이나 군용 차량 수리 공장 등이 들어서 있으며 <580여 명:NOH>의 인원이 근무하고 있는 것으로 알려졌다.
폭발	폭발	NNG	O
사고	사고	NNG	O
가	가	JKS	O
_	_	_	O
일어난	일어나+ㄴ	VV+ETM	O
_	_	_	O
보급	보급	NNG	O
기지	기지	NNG	O
는	는	JX	O
_	_	_	O
200	200	SN	B-NOH
헥타르	헥타르	NNB	I-NOH
(	(	SS	O
2	2	SN	B-NOH
㎢	㎢	SW	I-NOH
)	)	SS	O
_	_	_	O
면적	면적	NNG	O
의	의	JKG	O
_	_	_	O
부지	부지	NNG	O
에	에	JKB	O
_	_	_	O
물품	물품	NNG	O
_	_	_	O
보관	보관	NNG	O
이나	이나	JC	O
_	_	_	O
군용	군용	NNG	O
_	_	_	O
차량	차량	NNG	O
_	_	_	O
수리	수리	NNG	O
_	_	_	O
공장	공장	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
들어서	들어서+어	VV+EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
_	_	_	O
580	580	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
인원	인원	NNG	O
이	이	JKS	O
_	_	_	O
근무하	근무하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

