## 1
## 【서울=뉴시스】
## 【<서울:LOC>=<뉴시스:ORG>】
【	【	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴시스	뉴시스	NNP	B-ORG
】	】	SS	O

## 2
## 우승 일보직전에서 2%가 모자랐다.
## 우승 일보직전에서 <2%:PNT>가 모자랐다.
우승	우승	NNG	O
_	_	_	O
일보	일보	NNG	O
직전	직전	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
모자랐	모자라+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 농식품부에 따르면 지정 도계가공업체가 계열사육농가에 출고하는 생계 가격은 한 마리 당 2560원이다.
## <농식품부:ORG>에 따르면 지정 도계가공업체가 계열사육농가에 출고하는 생계 가격은 <한 마리:NOH> 당 <2560원:MNY>이다.
농	농	NNG	B-ORG
식품	식품	NNG	I-ORG
부	부	XSN	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
지정	지정	NNG	O
_	_	_	O
도계	도계	NNG	O
가공	가공	NNG	O
업체	업체	NNG	O
가	가	JKS	O
_	_	_	O
계열	계열	NNG	O
사육	사육	NNG	O
농가	농가	NNG	O
에	에	JKB	O
_	_	_	O
출고하	출고하	VV	O
는	는	ETM	O
_	_	_	O
생계	생계	NNG	O
_	_	_	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
마리	마리	NNB	I-NOH
_	_	_	O
당	당	NNG	O
_	_	_	O
2560	2560	SN	B-MNY
원	원	NNB	I-MNY
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 그러나 양석환은 정규시즌 마지막을 향해 달려가고 있는 시점에서 좋은 부분보다 아쉬웠던 부분을 토로했다.
## 그러나 <양석환:PER>은 정규시즌 마지막을 향해 달려가고 있는 시점에서 좋은 부분보다 아쉬웠던 부분을 토로했다.
그러나	그러나	MAJ	O
_	_	_	O
양석환	양석환	NNP	B-PER
은	은	JX	O
_	_	_	O
정규	정규	NNG	O
시즌	시즌	NNG	O
_	_	_	O
마지막	마지막	NNG	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
달려가	달려가	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
시점	시점	NNG	O
에서	에서	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
부분	부분	NNG	O
보다	보다	JKB	O
_	_	_	O
아쉬	아쉽	VA	O
웠	었	EP	O
던	던	ETM	O
_	_	_	O
부분	부분	NNG	O
을	을	JKO	O
_	_	_	O
토로	토로하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## SK그룹 연계 카드혜택, SK 텔레콤 IOT서비스, SK 와이파이 서비스 등 SK그룹과 연계된 서비스와 방문 세차, 차량점검, 입주민 프리렌탈 서비스(공구류·자전거20대 등 무료대여), 이사지원 서비스(입주지정기간에 한함) 등을 통해 입주민들의 주거 만족도를 높일 예정이다.
## <SK그룹:ORG> 연계 카드혜택, <SK 텔레콤:ORG> IOT서비스, <SK:ORG> 와이파이 서비스 등 <SK그룹:ORG>과 연계된 서비스와 방문 세차, 차량점검, 입주민 프리렌탈 서비스(공구류·자전거<20대:NOH> 등 무료대여), 이사지원 서비스(입주지정기간에 한함) 등을 통해 입주민들의 주거 만족도를 높일 예정이다.
SK	SK	SL	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
연계	연계	NNG	O
_	_	_	O
카드	카드	NNG	O
혜택	혜택	NNG	O
,	,	SP	O
_	_	_	O
SK	SK	SL	B-ORG
_	_	_	I-ORG
텔레콤	텔레콤	NNG	I-ORG
_	_	_	O
IOT	IOT	SL	O
서비스	서비스	NNG	O
,	,	SP	O
_	_	_	O
SK	SK	SL	B-ORG
_	_	_	O
와이	와이	NNG	O
파이	파이	NNG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
SK	SK	SL	B-ORG
그룹	그룹	NNG	I-ORG
과	과	JC	O
