## 1
## 소속사 없이 독립적으로 활동하던 김용만과 노홍철은 FNC와 계약을 맺으면서 새로운 방송활동에 나설 예정이다.
## 소속사 없이 독립적으로 활동하던 <김용만:PER>과 <노홍철:PER>은 <FNC:ORG>와 계약을 맺으면서 새로운 방송활동에 나설 예정이다.
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
독립적	독립적	NNG	O
으로	으로	JKB	O
_	_	_	O
활동하	활동하	VV	O
던	던	ETM	O
_	_	_	O
김용만	김용만	NNP	B-PER
과	과	JC	O
_	_	_	O
노홍철	노홍철	NNP	B-PER
은	은	JX	O
_	_	_	O
FNC	FNC	SL	B-ORG
와	와	JKB	O
_	_	_	O
계약	계약	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
으면서	으면서	EC	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
방송	방송	NNG	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
나설	나서+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편, FNC에는 이외에도 FT아일랜드, 씨엔블루 AOA, 주니엘, 엔플라잉 등 가수를 비롯해 배우 이다해, 이동건, 박광현, 정우, 조재윤, 윤진서, 김민서 등이 소속돼있다.
## 한편, <FNC:ORG>에는 이외에도 <FT아일랜드:POH>, <씨엔블루:POH> <AOA:POH>, <주니엘:PER>, <엔플라잉:POH> 등 가수를 비롯해 배우 <이다해:PER>, <이동건:PER>, <박광현:PER>, <정우:PER>, <조재윤:PER>, <윤진서:PER>, <김민서:PER> 등이 소속돼있다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
FNC	FNC	SL	B-ORG
에	에	JKB	O
는	는	JX	O
_	_	_	O
이외	이외	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
FT	FT	SL	B-POH
아일랜드	아일랜드	NNP	I-POH
,	,	SP	O
_	_	_	O
씨엔블루	씨엔블루	NNP	B-POH
_	_	_	O
AOA	AOA	SL	B-POH
,	,	SP	O
_	_	_	O
주니엘	주니엘	NNP	B-PER
,	,	SP	O
_	_	_	O
엔플라잉	엔플라잉	NNP	B-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
가수	가수	NNG	O
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
이다해	이다해	NNP	B-PER
,	,	SP	O
_	_	_	O
이동건	이동건	NNP	B-PER
,	,	SP	O
_	_	_	O
박광현	박광현	NNP	B-PER
,	,	SP	O
_	_	_	O
정우	정우	NNP	B-PER
,	,	SP	O
_	_	_	O
조재윤	조재윤	NNP	B-PER
,	,	SP	O
_	_	_	O
윤진서	윤진서	NNP	B-PER
,	,	SP	O
_	_	_	O
김민서	김민서	NNP	B-PER
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
소속돼	소속되+어	VV+EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 이미 앞서 지어진 종암아파트(1958년)에도 연탄보일러를 도입하고도 방은 온돌식 난방을 유지했다.
## 이미 앞서 지어진 <종암아파트:LOC>(<1958년:DAT>)에도 연탄보일러를 도입하고도 방은 온돌식 난방을 유지했다.
이미	이미	MAG	O
_	_	_	O
앞서	앞서	MAG	O
_	_	_	O
지	짓	VV	O
어	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
종암	종암	NNP	B-LOC
아파트	아파트	NNG	I-LOC
(	(	SS	O
1958	1958	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
연탄보일러	연탄보일러	NNG	O
를	를	JKO	O
_	_	_	O
도입하	도입하	VV	O
고	고	EC	O
도	도	JX	O
_	_	_	O
방	방	NNG	O
은	은	JX	O
_	_	_	O
온돌	온돌	NNG	O
식	식	XSN	O
_	_	_	O
난방	난방	NNG	O
을	을	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 대법원 3부(주심 박보영 대법관)는 1조3000억 원대 사기성 기업어음(CP)과 회사채를 발행해 투자자 4만여 명에게 손해를 끼친 혐의(특정경제범죄가중처벌법상 사기) 등으로 재판에 넘겨진 현재현 전 동양그룹 회장(66)에게 15일 징역 7년을 확정했다.
## <대법원 3부:ORG>(주심 <박보영:PER> 대법관)는 <1조3000억 원:MNY>대 사기성 기업어음(CP)과 회사채를 발행해 투자자 <4만여 명:NOH>에게 손해를 끼친 혐의(특정경제범죄가중처벌법상 사기) 등으로 재판에 넘겨진 현재현 전 <동양그룹:ORG> 회장(<66:NOH>)에게 <15일:DAT> <징역 7년:NOH>을 확정했다.
대법원	대법원	NNG	B-ORG
_	_	_	I-ORG
3	3	SN	I-ORG
부	부	NNB	I-ORG
(	(	SS	O
주심	주심	NNG	O
_	_	_	O
박보영	박보영	NNP	B-PER
_	_	_	O
대법관	대법관	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
1	1	SN	B-MNY
조	조	NNG	I-MNY
3000	3000	SN	I-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
대	대	XSN	O
_	_	_	O
사기	사기	NNG	O
성	성	XSN	O
_	_	_	O
기업	기업	NNG	O
어음	어음	NNG	O
(	(	SS	O
CP	CP	SL	O
)	)	SS	O
과	과	JKB	O
_	_	_	O
회사채	회사채	NNG	O
를	를	JKO	O
_	_	_	O
발행해	발행하+여	VV+EC	O
_	_	_	O
투자자	투자자	NNG	O
_	_	_	O
4	4	SN	B-NOH
만	만	NR	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
손해	손해	NNG	O
를	를	JKO	O
_	_	_	O
끼친	끼치+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
(	(	SS	O
특정	특정	NNG	O
경제	경제	NNG	O
범죄	범죄	NNG	O
가중	가중	NNG	O
처벌	처벌	NNG	O
법	법	NNG	O
상	상	XSN	O
_	_	_	O
사기	사기	NNG	O
)	)	SS	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
재판	재판	NNG	O
에	에	JKB	O
_	_	_	O
넘겨	넘기+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
현재현	현재현	NNP	O
_	_	_	O
전	전	MM	O
_	_	_	O
동양	동양	NNG	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
회장	회장	NNG	O
(	(	SS	O
66	66	SN	B-NOH
)	)	SS	O
에게	에게	JKB	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
징역	징역	NNG	B-NOH
_	_	_	I-NOH
7	7	SN	I-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
확정	확정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 박소담이 재벌 삼 형제와의 동거를 시작했다.
## <박소담:PER>이 재벌 삼 형제와의 동거를 시작했다.
박소담	박소담	NNP	B-PER
이	이	JKS	O
_	_	_	O
재벌	재벌	NNG	O
_	_	_	O
삼	삼	NR	O
_	_	_	O
형제	형제	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
동거	동거	NNG	O
를	를	JKO	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 백 22로 중앙 백 대마를 보강하면서 반상은 잠시 소강상태에 들어갔다.
## <백 22:NOH>로 중앙 백 대마를 보강하면서 반상은 잠시 소강상태에 들어갔다.
백	백	NR	B-NOH
_	_	_	I-NOH
22	22	SN	I-NOH
로	로	JKB	O
_	_	_	O
중앙	중앙	NNG	O
_	_	_	O
백	백	NNG	O
_	_	_	O
대마	대마	NNG	O
를	를	JKO	O
_	_	_	O
보강하	보강하	VV	O
면서	면서	EC	O
_	_	_	O
반상은	반상은	NNP	O
_	_	_	O
잠시	잠시	MAG	O
_	_	_	O
소강상태	소강상태	NNG	O
에	에	JKB	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 과거에도 쉽진 않았지만, 2018러시아월드컵으로 향하는 길은 유난히 멀고 험난한 느낌이다.
## 과거에도 쉽진 않았지만, <2018:DAT><러시아월드컵:POH>으로 향하는 길은 유난히 멀고 험난한 느낌이다.
과거	과거	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
쉽	쉽	VA	O
진	지+ㄴ	EC+JX	O
_	_	_	O
않	않	VX	O
았	았	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
2018	2018	SN	B-DAT
러시아	러시아	NNP	B-POH
월드컵	월드컵	NNG	I-POH
으로	으로	JKB	O
_	_	_	O
향하	향하	VV	O
는	는	ETM	O
_	_	_	O
길	길	NNG	O
은	은	JX	O
_	_	_	O
유난히	유난히	MAG	O
_	_	_	O
멀	멀	VA	O
고	고	EC	O
_	_	_	O
험난한	험난하+ㄴ	VA+ETM	O
_	_	_	O
느낌	느낌	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 서울 동작구 신대방동 현대아파트에 사는 주부 허정자(51)씨는 여름철이면 급증하는 전기요금 때문에 걱정이다.
## <서울:LOC> <동작구:LOC> <신대방동:LOC> <현대아파트:LOC>에 사는 주부 <허정자:PER>(<51:NOH>)씨는 여름철이면 급증하는 전기요금 때문에 걱정이다.
서울	서울	NNP	B-LOC
_	_	_	O
동작구	동작구	NNP	B-LOC
_	_	_	O
신대방동	신대방동	NNP	B-LOC
_	_	_	O
현대	현대	NNP	B-LOC
아파트	아파트	NNG	I-LOC
에	에	JKB	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
주부	주부	NNG	O
_	_	_	O
허정자	허정자	NNP	B-PER
(	(	SS	O
51	51	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
여름철	여름철	NNG	O
이	이	VCP	O
면	면	EC	O
_	_	_	O
급증하	급증하	VV	O
는	는	ETM	O
_	_	_	O
전기	전기	NNG	O
요금	요금	NNG	O
