## 1
## 서현진, 광고 비하인드컷… 감탄 자아낸 미모 [화보]
## <서현진:PER>, 광고 비하인드컷… 감탄 자아낸 미모 [화보]
서현진	서현진	NNP	B-PER
,	,	SP	O
_	_	_	O
광고	광고	NNG	O
_	_	_	O
비하인드	비하인드	NNG	O
컷	컷	NNG	O
…	…	SE	O
_	_	_	O
감탄	감탄	NNG	O
_	_	_	O
자아낸	자아내+ㄴ	VV+ETM	O
_	_	_	O
미모	미모	NNG	O
_	_	_	O
[	[	SS	O
화보	화보	NNG	O
]	]	SS	O

## 2
## 그런데도 철도시설공단은 지난달 ‘일반·고속열차용 열차제어시스템 국산화 개발과제 제작사 공모’의 제작사에 또다시 L사를 포함시켰다.
## 그런데도 철도시설공단은 지난달 ‘일반·고속열차용 열차제어시스템 국산화 개발과제 제작사 공모’의 제작사에 또다시 <L사:POH>를 포함시켰다.
그런데	그런데	MAJ	O
도	도	JX	O
_	_	_	O
철도	철도	NNG	O
시설	시설	NNG	O
공단	공단	NNG	O
은	은	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
‘	‘	SS	O
일반	일반	NNG	O
·	·	SP	O
고속	고속	NNG	O
열차	열차	NNG	O
용	용	XSN	O
_	_	_	O
열차	열차	NNG	O
제어	제어	NNG	O
시스템	시스템	NNG	O
_	_	_	O
국산화	국산화	NNG	O
_	_	_	O
개발	개발	NNG	O
과제	과제	NNG	O
_	_	_	O
제작사	제작사	NNG	O
_	_	_	O
공모	공모	NNG	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
제작사	제작사	NNG	O
에	에	JKB	O
_	_	_	O
또다시	또다시	MAG	O
_	_	_	O
L	L	SL	B-POH
사	사	NNG	I-POH
를	를	JKO	O
_	_	_	O
포함	포함	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 오바마 대통령은 그럼에도 “동맹국들을 감히 공격할 수는 없다”는 말로 군사적 도발은 파멸임을 시사했다.
## <오바마:PER> 대통령은 그럼에도 “동맹국들을 감히 공격할 수는 없다”는 말로 군사적 도발은 파멸임을 시사했다.
오바마	오바마	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
그럼에도	그렇+ㅁ에도	VA+EC	O
_	_	_	O
“	“	SS	O
동맹국	동맹국	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
감히	감히	MAG	O
_	_	_	O
공격할	공격하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
는	는	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
말	말	NNG	O
로	로	JKB	O
_	_	_	O
군사적	군사적	NNG	O
_	_	_	O
도발	도발	NNG	O
은	은	JX	O
_	_	_	O
파멸	파멸	NNG	O
임	이+ㅁ	VCP+ETN	O
을	을	JKO	O
_	_	_	O
시사	시사하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 유선통신 기술 발달이 가져온 ‘통신 혁명’ 안데르센의 동화 중에 ‘거대한 바다뱀(The Great Sea Serpent)’이 있다.
## 유선통신 기술 발달이 가져온 ‘통신 혁명’ <안데르센:PER>의 동화 중에 ‘<거대한 바다뱀:POH>(<The Great Sea Serpent:POH>)’이 있다.
유선	유선	NNG	O
통신	통신	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
발달	발달	NNG	O
이	이	JKS	O
_	_	_	O
가져온	가져오+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
통신	통신	NNG	O
_	_	_	O
혁명	혁명	NNG	O
’	’	SS	O
_	_	_	O
안데르센	안데르센	NNP	B-PER
의	의	JKG	O
_	_	_	O
동화	동화	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
거대한	거대하+ㄴ	VA+ETM	B-POH
_	_	_	I-POH
바다뱀	바다뱀	NNG	I-POH
(	(	SS	O
The	The	SL	B-POH
_	_	_	I-POH
Great	Great	SL	I-POH
_	_	_	I-POH
Sea	Sea	SL	I-POH
_	_	_	I-POH
Serpent	Serpent	SL	I-POH
)	)	SS	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 1987년 시민 항쟁에서 승리한 후 국력을 모아 분열을 막았으면 지금과 같은 지역주의 또한 없었을 겁니다.
## <1987년:DAT> 시민 항쟁에서 승리한 후 국력을 모아 분열을 막았으면 지금과 같은 지역주의 또한 없었을 겁니다.
1987	1987	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
시민	시민	NNG	O
_	_	_	O
항쟁	항쟁	NNG	O
에서	에서	JKB	O
_	_	_	O
승리한	승리하+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
국력	국력	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
분열	분열	NNG	O
을	을	JKO	O
_	_	_	O
막	막	VV	O
았	았	EP	O
으면	으면	EC	O
_	_	_	O
지금	지금	NNG	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
지역주의	지역주의	NNG	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
없	없	VA	O
었	었	EP	O
을	을	ETM	O
_	_	_	O
겁니다	것+이+ㅂ니다	NNB+VCP+EF	O
.	.	SF	O

## 6
## 사고 당시 소득이 없었다는 점을 고려해 보통 인부 노임단가(월 193만원)를 적용했다.
## 사고 당시 소득이 없었다는 점을 <고려:ORG>해 보통 인부 노임단가(월 <19:NOH>3만원)를 적용했다.
사고	사고	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
소득	소득	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
고려해	고려하+여	VV+EC	O
_	_	_	O
보통	보통	NNG	O
_	_	_	O
인부	인부	NNG	O
_	_	_	O
노임	노임	NNG	O
단가	단가	NNG	O
(	(	SS	O
월	월	NNG	O
_	_	_	O
193	193	SN	O
만	만	NR	O
원	원	NNB	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
적용	적용하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 그게 정부에서 받아들여져 2018학년도부터 통합 교육과정이 시행된다.
## 그게 <정부:ORG>에서 받아들여져 <2018:DAT>학년도부터 통합 교육과정이 시행된다.
그게	그것+이	NP+JKS	O
_	_	_	O
정부	정부	NNG	B-ORG
에서	에서	JKB	O
_	_	_	O
받아들	받아들이	VV	O
여	어	EC	O
져	지+어	VX+EC	O
_	_	_	O
2018	2018	SN	B-DAT
학년도	학년도	NNG	O
부터	부터	JX	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
교육	교육	NNG	O
과정	과정	NNG	O
이	이	JKS	O
_	_	_	O
시행된다	시행되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 그런가 하면 하이테크, 우주항공 등 첨단산업은 10%를 웃도는 성장세를 보이고 있다.
## 그런가 하면 하이테크, 우주항공 등 첨단산업은 <10%:PNT>를 웃도는 성장세를 보이고 있다.
그런가	그렇+ㄴ가	VA+EC	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
하이테크	하이테크	NNG	O
,	,	SP	O
_	_	_	O
우주	우주	NNG	O
항공	항공	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
첨단	첨단	NNG	O
산업	산업	NNG	O
은	은	JX	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
웃도	웃돌	VV	O
는	는	ETM	O
_	_	_	O
성장세	성장세	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 중국 통신업체들과 협력해서 대규모의 유저를 커버하는 방법도 있다"이어 래리 왕은 "중국에서 가장 효율적인 것은 iOS 광고다"라고 귀띔하며, 유료 게임 랭킹을 활용할 것을 방법으로 제시했다.
## <중국:ORG> 통신업체들과 협력해서 대규모의 유저를 커버하는 방법도 있다"이어 래리 왕은 "<중국:ORG>에서 가장 효율적인 것은 <iOS:POH> 광고다"라고 귀띔하며, 유료 게임 랭킹을 활용할 것을 방법으로 제시했다.
중국	중국	NNP	B-ORG
_	_	_	O
통신	통신	NNG	O
업체	업체	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
협력해서	협력하+여서	VV+EC	O
_	_	_	O
대규모	대규모	NNG	O
의	의	JKG	O
_	_	_	O
유저	유저	NNG	O
를	를	JKO	O
_	_	_	O
커버하	커버하	VV	O
는	는	ETM	O
_	_	_	O
방법	방법	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
"	"	SS	O
이어	이어	MAG	O
_	_	_	O
래리	래리	NNP	O
_	_	_	O
왕	왕	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
중국	중국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
효율적	효율적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
iOS	iOS	SL	B-POH
_	_	_	O
광고	광고+이	NNG+VCP	O
다	다	EF	O
"	"	SS	O
라고	라고	JKQ	O
_	_	_	O
귀띔하	귀띔하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
유료	유료	NNG	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
랭킹	랭킹	NNG	O
을	을	JKO	O
_	_	_	O
활용할	활용하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
방법	방법	NNG	O
으로	으로	JKB	O
_	_	_	O
제시	제시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## "안드로이드는 각각 분산되어 있지만, 아이폰은 그렇지 않기 때문에 보다 효율적으로 마케팅을 할 수 있다.
## "<안드로이드:POH>는 각각 분산되어 있지만, <아이폰:POH>은 그렇지 않기 때문에 보다 효율적으로 마케팅을 할 수 있다.
"	"	SS	O
안드로이드	안드로이드	NNG	B-POH
는	는	JX	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
분산되	분산되	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
아이폰	아이폰	NNG	B-POH
은	은	JX	O
_	_	_	O
그렇	그렇	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
보다	보다	MAG	O
_	_	_	O
효율적	효율적	NNG	O
으로	으로	JKB	O
_	_	_	O
마케팅	마케팅	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 오락실에서 해봤던 미니 퍼즐 게임 모음을 얘기할 때 빠지지 않는 게임이죠. '비시바시챔프' 시리즈는 언제 한 번 깊히 다뤄보고 싶은 게임인데, 이번에 소개가 되었네요.
## 오락실에서 해봤던 미니 퍼즐 게임 모음을 얘기할 때 빠지지 않는 게임이죠. '<비시바시챔프:POH>' 시리즈는 언제 한 번 깊히 다뤄보고 싶은 게임인데, 이번에 소개가 되었네요.
오락실	오락실	NNG	O
에서	에서	JKB	O
_	_	_	O
해	하+여+보	VV+EC+VX	O
봤	았	EP	O
던	던	ETM	O
_	_	_	O
미니	미니	NNG	O
_	_	_	O
퍼즐	퍼즐	NNG	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
모음	모음	NNG	O
을	을	JKO	O
_	_	_	O
얘기할	얘기하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
빠지	빠지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
게임	게임	NNG	O
이	이	VCP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
'	'	SS	O
비시	비시	NNP	B-POH
바시	바시	NNP	I-POH
챔프	챔프	NNG	I-POH
'	'	SS	O
_	_	_	O
시리즈	시리즈	NNG	O
는	는	JX	O
_	_	_	O
언제	언제	MAG	O
_	_	_	O
한	한	MM	O
_	_	_	O
번	번	NNB	O
_	_	_	O
깊히	깊이	MAG	O
_	_	_	O
다뤄	다루+어	VV+EC	O
보	보	VX	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
은	은	ETM	O
_	_	_	O
게임	게임	NNG	O
인데	이+ㄴ데	VCP+EC	O
,	,	SP	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
소개	소개	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
네	네	EC	O
요	요	JX	O
.	.	SF	O

## 12
## KAIST, 충남대, 목원대 등 각 대학도 다양한 대회를 주관한다.
## <KAIST:ORG>, <충남대:ORG>, <목원대:ORG> 등 각 <대학:POH>도 다양한 대회를 주관한다.
KAIST	KAIST	SL	B-ORG
,	,	SP	O
_	_	_	O
충남대	충남대	NNP	B-ORG
,	,	SP	O
_	_	_	O
목원대	목원대	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
각	각	MM	O
_	_	_	O
대학	대학	NNG	B-POH
도	도	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
대회	대회	NNG	O
를	를	JKO	O
_	_	_	O
주관한다	주관하+ㄴ다	VV+EF	O
.	.	SF	O

## 13
## 레니 감독은 참가자들의 프로필을 보지 않고 현장에서 확인한 실력만으로 선수를 뽑았다.
## <레니:PER> 감독은 참가자들의 프로필을 보지 않고 현장에서 확인한 실력만으로 선수를 뽑았다.
레니	레니	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
참가자	참가자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
프로필	프로필	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
_	_	_	O
확인한	확인하+ㄴ	VV+ETM	O
_	_	_	O
실력	실력	NNG	O
만	만	JX	O
으로	으로	JKB	O
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
뽑	뽑	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 일본에서는 늙거나 아픈 가족을 돌보기 위해 회사를 그만두는 이른바 ‘가족 돌봄(개호) 이직’이 골칫거리다.
## <일본:ORG>에서는 늙거나 아픈 가족을 돌보기 위해 회사를 그만두는 이른바 ‘가족 돌봄(개호) 이직’이 골칫거리다.
일본	일본	NNP	B-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
늙	늙	VV	O
거나	거나	EC	O
_	_	_	O
아픈	아프+ㄴ	VA+ETM	O
_	_	_	O
가족	가족	NNG	O
을	을	JKO	O
_	_	_	O
돌보	돌보	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
회사	회사	NNG	O
를	를	JKO	O
_	_	_	O
그만두	그만두	VV	O
는	는	ETM	O
_	_	_	O
이른바	이른바	MAG	O
_	_	_	O
‘	‘	SS	O
가족	가족	NNG	O
_	_	_	O
돌봄	돌보+ㅁ	VV+ETN	O
(	(	SS	O
개호	개호	NNG	O
)	)	SS	O
_	_	_	O
이직	이직	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
골칫거리	골칫거리+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 15
## 문 대표의 새정치연합이 정부와 여당의 실패에 따른 반사이익에만 기댈 경우 국민에게 희망을 줄 수 없다.
## <문:PER> 대표의 새정치연합이 정부와 여당의 실패에 따른 반사이익에만 기댈 경우 국민에게 희망을 줄 수 없다.
문	문	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
의	의	JKG	O
_	_	_	O
새정치연합	새정치연합	NNP	O
이	이	JKS	O
_	_	_	O
정부	정부	NNG	O
와	와	JC	O
_	_	_	O
여당	여당	NNG	O
의	의	JKG	O
_	_	_	O
실패	실패	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
반사	반사	NNG	O
이익	이익	NNG	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
기댈	기대+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
국민	국민	NNG	O
에게	에게	JKB	O
_	_	_	O
희망	희망	NNG	O
을	을	JKO	O
_	_	_	O
줄	주+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 16
## 강남권 등이 투기과열지구로 지정하면 조합설립인가
## <강남권:LOC> 등이 투기과열지구로 지정하면 조합설립인가
강남	강남	NNP	B-LOC
권	권	XSN	I-LOC
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
투기	투기	NNG	O
과열	과열	NNG	O
지구	지구	NNG	O
로	로	JKB	O
_	_	_	O
지정하	지정하	VV	O
면	면	EC	O
_	_	_	O
조합	조합	NNG	O
설립	설립	NNG	O
인가	인가	NNG	O

