## 1
## 인구 10만명당 환자수로 하면 80대 이상이 8836명으로 가장 많았고, 70대가 6103명으로 다음이었다.
## 인구 <10만명:NOH>당 환자수로 하면 <80대:NOH> 이상이 <8836명:NOH>으로 가장 많았고, <70대:NOH>가 <6103명:NOH>으로 다음이었다.
인구	인구	NNG	O
_	_	_	O
10	10	SN	B-NOH
만	만	NR	I-NOH
명	명	NNB	I-NOH
당	당	XSN	O
_	_	_	O
환자	환자	NNG	O
수	수	NNG	O
로	로	JKB	O
_	_	_	O
하	하	VV	O
면	면	EC	O
_	_	_	O
80	80	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
이	이	JKS	O
_	_	_	O
8836	8836	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
70	70	SN	B-NOH
대	대	NNB	I-NOH
가	가	JKS	O
_	_	_	O
6103	6103	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
다음	다음	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 조 씨가 유서를 남기지 않았을 뿐만 아니라 지난해 말부터 탄핵 반대 집회에 참석한다는 이유로 가정 내 불화를 겪고 있다는 정황이 제기되고 있기 때문이다.
## <조:PER> 씨가 유서를 남기지 않았을 뿐만 아니라 지난해 말부터 탄핵 반대 집회에 참석한다는 이유로 가정 내 불화를 겪고 있다는 정황이 제기되고 있기 때문이다.
조	조	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
유서	유서	NNG	O
를	를	JKO	O
_	_	_	O
남기	남기	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
말	말	NNB	O
부터	부터	JX	O
_	_	_	O
탄핵	탄핵	NNG	O
_	_	_	O
반대	반대	NNG	O
_	_	_	O
집회	집회	NNG	O
에	에	JKB	O
_	_	_	O
참석한다는	참석하+ㄴ다는	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
가정	가정	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
불화	불화	NNG	O
를	를	JKO	O
_	_	_	O
겪	겪	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
정황	정황	NNG	O
이	이	JKS	O
_	_	_	O
제기되	제기되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 부천은 루키안(15골·4도움)-바그닝요(9골·3도움), 강원은 마테우스(12골)와 클래식 전북현대 출신의 루이스(7골·4도움)에게 기대를 걸고 있다.
## <부천:ORG>은 <루키안:PER>(<15골:NOH>·<4도움:NOH>)-<바그닝요:PER>(<9골:NOH>·<3도움:NOH>), <강원:ORG>은 <마테우스:PER>(<12골:NOH>)와 <클래식 전북현대:ORG> 출신의 <루이스:ORG>(<7골:NOH>·<4도움:NOH>)에게 기대를 걸고 있다.
부천	부천	NNP	B-ORG
은	은	JX	O
_	_	_	O
루키	루키	NNG	B-PER
안	안	NNP	I-PER
(	(	SS	O
15	15	SN	B-NOH
골	골	NNG	I-NOH
·	·	SP	O
4	4	SN	B-NOH
도움	도움	NNG	I-NOH
)	)	SS	O
-	-	SO	O
바그닝	바그닝	NNG	B-PER
요	요	JX	I-PER
(	(	SS	O
9	9	SN	B-NOH
골	골	NNG	I-NOH
·	·	SP	O
3	3	SN	B-NOH
도움	도움	NNG	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
강원	강원	NNP	B-ORG
은	은	JX	O
_	_	_	O
마테우스	마테우스	NNP	B-PER
(	(	SS	O
12	12	SN	B-NOH
골	골	NNG	I-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
클래식	클래식	NNG	B-ORG
_	_	_	I-ORG
전북	전북	NNP	I-ORG
현대	현대	NNP	I-ORG
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
루이스	루이스	NNP	B-ORG
(	(	SS	O
7	7	SN	B-NOH
골	골	NNG	I-NOH
·	·	SP	O
4	4	SN	B-NOH
도움	도움	NNG	I-NOH
)	)	SS	O
에게	에게	JKB	O
_	_	_	O
기대	기대	NNG	O
를	를	JKO	O
_	_	_	O
걸	걸	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## [날씨] 6일, 기온 ‘뚝’ 당분간 강추위…눈·비 얼어 도로 미끌
## [날씨] <6일:DAT>, 기온 ‘뚝’ 당분간 강추위…눈·비 얼어 도로 미끌
[	[	SS	O
날씨	날씨	NNG	O
]	]	SS	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
,	,	SP	O
_	_	_	O
기온	기온	NNG	O
_	_	_	O
‘	‘	SS	O
뚝	뚝	MAG	O
’	’	SS	O
_	_	_	O
당분간	당분간	MAG	O
_	_	_	O
강추위	강추위	NNG	O
…	…	SE	O
눈	눈	NNG	O
·	·	SP	O
비	비	NNG	O
_	_	_	O
얼	얼	VV	O
어	어	EC	O
_	_	_	O
도로	도로	NNG	O
_	_	_	O
미끌	미끌	MAG	O

## 5
## 그밖에는 포항 스틸러스(2009년)와 울산현대(2012년)가 한 차례씩 정상에 선 바 있다.
## 그밖에는 <포항 스틸러스:ORG>(<2009년:DAT>)와 <울산현대:ORG>(<2012년:DAT>)가 <한 차례:NOH>씩 정상에 선 바 있다.
그	그	NP	O
밖에	밖에	JX	O
는	는	JX	O
_	_	_	O
포항	포항	NNP	B-ORG
_	_	_	I-ORG
스틸러스	스틸러스	NNP	I-ORG
(	(	SS	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
와	와	JKB	O
_	_	_	O
울산	울산	NNP	B-ORG
현대	현대	NNP	I-ORG
(	(	SS	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
가	가	JKS	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
씩	씩	XSN	O
_	_	_	O
정상	정상	NNG	O
에	에	JKB	O
_	_	_	O
선	선	NNG	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 재래시장에서 소매치기한 50대…잠복수사에 덜미
## 재래시장에서 소매치기한 <50대:NOH>…잠복수사에 덜미
재래시장	재래시장	NNG	O
