## 1
## 국방부는 또 정전협정이 유엔군사령관, 조선인민군최고사령관, 중국인민지원군사령관 등 3자의 상호합의로 쳬결된 것이기 때문에 상호합의가 없는 북한측의 일방적인 철수는 의미가 없고 정전협정 체제는 계속 유효하다는 점을 강조하고 있다.
## 국방부는 또 정전협정이 유엔군사령관, 조선인민군최고사령관, 중국인민지원군사령관 등 <3자:NOH>의 상호합의로 쳬결된 것이기 때문에 상호합의가 없는 북한측의 일방적인 철수는 의미가 없고 정전협정 체제는 계속 유효하다는 점을 강조하고 있다.
국방부	국방부	NNG	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
정전	정전	NNG	O
협정	협정	NNG	O
이	이	JKS	O
_	_	_	O
유엔군	유엔군	NNG	O
사령관	사령관	NNG	O
,	,	SP	O
_	_	_	O
조선	조선	NNP	O
인민군	인민군	NNG	O
최고	최고	NNG	O
사령관	사령관	NNG	O
,	,	SP	O
_	_	_	O
중국	중국	NNP	O
인민	인민	NNG	O
지원군	지원군	NNG	O
사령관	사령관	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
3	3	SN	B-NOH
자	자	NNB	I-NOH
의	의	JKG	O
_	_	_	O
상호	상호	NNG	O
합의	합의	NNG	O
로	로	JKB	O
_	_	_	O
쳬결	쳬결	NNG	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
상호	상호	NNG	O
합의	합의	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
북한	북한	NNP	O
측	측	NNB	O
의	의	JKG	O
_	_	_	O
일방적	일방적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
철수	철수	NNG	O
는	는	JX	O
_	_	_	O
의미	의미	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
고	고	EC	O
_	_	_	O
정전	정전	NNG	O
협정	협정	NNG	O
_	_	_	O
체제	체제	NNG	O
는	는	JX	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
유효하	유효하	VA	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
강조하	강조하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 이 장치가 빛을 본 것은 다름 아닌 2차 세계 대전이었다.
## 이 장치가 빛을 본 것은 다름 아닌 <2차 세계 대전:POH>이었다.
이	이	MM	O
_	_	_	O
장치	장치	NNG	O
가	가	JKS	O
_	_	_	O
빛	빛	NNG	O
을	을	JKO	O
_	_	_	O
본	보+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
다름	다르+ㅁ	VA+ETN	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
2	2	SN	B-POH
차	차	NNB	I-POH
_	_	_	I-POH
세계	세계	NNG	I-POH
_	_	_	I-POH
대전	대전	NNG	I-POH
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그런 뒤 국영 언론 매체를 찾아간 건 창간쯔의 다음 순서로 비간쯔를 휘어잡는 작업에 착수한 것으로 받아들여진다.
