## 1
## 전명운 의사는 1908년 미국 샌프란스시코에서 대한제국의 외교고문이던 친일미국인 스티븐스에 대한 암살을 기도, 전세계에 일본의 한국침략문제의 심각성을 환기시킨 항일독립운동가이다.
## <전명운:PER> 의사는 <1908년:DAT> <미국:LOC> <샌프란스시코:LOC>에서 <대한제국:ORG>의 외교고문이던 친일미국인 <스티븐스:PER>에 대한 암살을 기도, 전세계에 <일본:ORG>의 한국침략문제의 심각성을 환기시킨 항일독립운동가이다.
전명운	전명운	NNP	B-PER
_	_	_	O
의사	의사	NNG	O
는	는	JX	O
_	_	_	O
1908	1908	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
샌프란스시코	샌프란스시코	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
대한	대한	NNP	B-ORG
제국	제국	NNG	I-ORG
의	의	JKG	O
_	_	_	O
외교	외교	NNG	O
고문	고문	NNG	O
이	이	VCP	O
던	던	ETM	O
_	_	_	O
친일	친일	NNG	O
미국인	미국인	NNG	O
_	_	_	O
스티븐스	스티븐스	NNP	B-PER
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
암살	암살	NNG	O
을	을	JKO	O
_	_	_	O
기도	기도	NNG	O
,	,	SP	O
_	_	_	O
전	전	MM	O
세계	세계	NNG	O
에	에	JKB	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
한국	한국	NNP	O
침략	침략	NNG	O
문제	문제	NNG	O
의	의	JKG	O
_	_	_	O
심각성	심각성	NNG	O
을	을	JKO	O
_	_	_	O
환기	환기	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
항일	항일	NNG	O
독립	독립	NNG	O
운동가	운동가	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 뱅뱅뱅 빅뱅 지드래곤, 음원사이트 1~4위 줄세우기에 ‘어머어머’ 그룹 빅뱅이 또 다시 차트를 휩쓸었다.
## <뱅뱅뱅:POH> <빅뱅:ORG> <지드래곤:PER>, 음원사이트 <1:NOH>~<4위:NOH> 줄세우기에 ‘어머어머’ 그룹 <빅뱅:ORG>이 또 다시 차트를 휩쓸었다.
뱅뱅뱅	뱅뱅뱅	NNP	B-POH
_	_	_	O
빅뱅	빅뱅	NNG	B-ORG
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
,	,	SP	O
_	_	_	O
음원	음원	NNG	O
사이트	사이트	NNG	O
_	_	_	O
1	1	SN	B-NOH
~	~	SO	O
4	4	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
줄	줄	NNG	O
세우	세우	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
어머어머	어머어머	IC	O
’	’	SS	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
빅뱅	빅뱅	NNP	B-ORG
이	이	JKS	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
차트	차트	NNG	O
를	를	JKO	O
_	_	_	O
휩쓸	휩쓸	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그룹 빅뱅은 1일 밤 12시 6월 신곡 ‘뱅뱅뱅(BANG BANG BANG)’과 ‘위 라이크 투 파티(We Like 2 Party)’를 공개했다.
## 그룹 <빅뱅:ORG>은 <1일:DAT> <밤 12시:TIM> <6월:DAT> 신곡 ‘<뱅뱅뱅:POH>(<BANG BANG BANG:POH>)’과 ‘<위 라이크 투 파티:POH>(<We Like 2 Party:POH>)’를 공개했다.
그룹	그룹	NNG	O
_	_	_	O
빅뱅	빅뱅	NNP	B-ORG
은	은	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밤	밤	NNG	B-TIM
_	_	_	I-TIM
12	12	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
신곡	신곡	NNG	O
_	_	_	O
‘	‘	SS	O
뱅뱅뱅	뱅뱅뱅	NNP	B-POH
(	(	SS	O
BANG	BANG	SL	B-POH
_	_	_	I-POH
BANG	BANG	SL	I-POH
_	_	_	I-POH
BANG	BANG	SL	I-POH
)	)	SS	O
’	’	SS	O
과	과	JC	O
_	_	_	O
‘	‘	SS	O
위	위	NNG	B-POH
_	_	_	I-POH
라이크	라이크	NNG	I-POH
_	_	_	I-POH
투	투	NNB	I-POH
_	_	_	I-POH
파티	파티	NNG	I-POH
(	(	SS	O
We	We	SL	B-POH
_	_	_	I-POH
