## 1
## 첫 주행은 전기모터로 구동되고 이후 가솔린 엔진이 사용되는 차세대 볼트는 이번 EPA 조사에서 전기와 가솔린을 포함한 최대 주행가능 거리가 675km로 1세대에 비해 64km 연장 됐다.
## 첫 주행은 전기모터로 구동되고 이후 가솔린 엔진이 사용되는 차세대 <볼트:POH>는 이번 <EPA:ORG> 조사에서 전기와 가솔린을 포함한 최대 주행가능 거리가 <675km:NOH>로 <1세대:NOH>에 비해 <64km:NOH> 연장 됐다.
첫	첫	MM	O
_	_	_	O
주행	주행	NNG	O
은	은	JX	O
_	_	_	O
전기모터	전기모터	NNG	O
로	로	JKB	O
_	_	_	O
구동	구동	NNG	O
되	되	XSV	O
고	고	EC	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
가솔린	가솔린	NNG	O
_	_	_	O
엔진	엔진	NNG	O
이	이	JKS	O
_	_	_	O
사용되	사용되	VV	O
는	는	ETM	O
_	_	_	O
차세대	차세대	NNG	O
_	_	_	O
볼트	볼트	NNB	B-POH
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
EPA	EPA	SL	B-ORG
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
전기	전기	NNG	O
와	와	JC	O
_	_	_	O
가솔린	가솔린	NNG	O
을	을	JKO	O
_	_	_	O
포함한	포함하+ㄴ	VV+ETM	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
주행	주행	NNG	O
가능	가능	NNG	O
_	_	_	O
거리	거리	NNG	O
가	가	JKS	O
_	_	_	O
675	675	SN	B-NOH
km	km	SL	I-NOH
로	로	JKB	O
_	_	_	O
1	1	SN	B-NOH
세대	세대	NNG	I-NOH
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
64	64	SN	B-NOH
km	km	SL	I-NOH
_	_	_	O
연장	연장	NNG	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 2
## ADHD에 대한 오해, ADHD 앓으면 성공못한다?…애덤 리바인-마이클 펠프스-솔란지 놀스도 ADHDADHD, 즉 주의력결핍과잉행동장애를 진단하는 경우는 증가 중이지만 아직 ADHD에 대한 일반의 이해가 부족해 다양한 오해들을 낳고 있는 것으로 알려졌다.
## <ADHD:POH>에 대한 오해, <ADHD:POH> 앓으면 성공못한다?…<애덤 리바인:PER>-<마이클 펠프스:PER>-<솔란지 놀스:PER>도 <ADHD:POH><ADHD:POH>, 즉 <주의력결핍과잉행동장애:POH>를 진단하는 경우는 증가 중이지만 아직 <ADHD:POH>에 대한 일반의 이해가 부족해 다양한 오해들을 낳고 있는 것으로 알려졌다.
ADHD	ADHD	SL	B-POH
에	에	JKB	O
_	_	_	O
