## 1
## 한식당에서 음식 조리에 사용되는 식재료의 7.5%가 음식물 쓰레기로 아깝게 버려지는 것으로 조사됐다.
## 한식당에서 음식 조리에 사용되는 식재료의 <7.5%:PNT>가 음식물 쓰레기로 아깝게 버려지는 것으로 조사됐다.
한	한	NNP	O
식당	식당	NNG	O
에서	에서	JKB	O
_	_	_	O
음식	음식	NNG	O
_	_	_	O
조리	조리	NNG	O
에	에	JKB	O
_	_	_	O
사용되	사용되	VV	O
는	는	ETM	O
_	_	_	O
식	식	NNG	O
재료	재료	NNG	O
의	의	JKG	O
_	_	_	O
7.5	7.5	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
음식물	음식물	NNG	O
_	_	_	O
쓰레기	쓰레기	NNG	O
로	로	JKB	O
_	_	_	O
아깝	아깝	VA	O
게	게	EC	O
_	_	_	O
버려지	버려지	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
조사	조사되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 전반 전북현대 김진수가 프리킥으로 선취골을 성공시킨 후 팬들을 향해 하트 세리머니를 하고 있다.
## 전반 <전북현대:ORG> <김진수:PER>가 프리킥으로 선취골을 성공시킨 후 팬들을 향해 하트 세리머니를 하고 있다.
전반	전반	NNG	O
_	_	_	O
전북	전북	NNP	B-ORG
현대	현대	NNP	I-ORG
_	_	_	O
김진수	김진수	NNP	B-PER
가	가	JKS	O
_	_	_	O
프리킥	프리킥	NNG	O
으로	으로	JKB	O
_	_	_	O
선취	선취	NNG	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
성공	성공	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
하트	하트	NNG	O
_	_	_	O
세리머니	세리머니	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 올해 온도탑 눈금이 100도를 넘겼는지는 모금 액수가 최종 집계되는 1일 오전 10시 이후 온라인 중앙일보에서 확인할 수 있습니다.
## 올해 온도탑 눈금이 <100도:NOH>를 넘겼는지는 모금 액수가 최종 집계되는 <1일:DAT> <오전 10시:TIM> 이후 <온라인 중앙일보:POH>에서 확인할 수 있습니다.
올해	올해	NNG	O
_	_	_	O
온도	온도	NNG	O
탑	탑	NNG	O
_	_	_	O
눈금	눈금	NNG	O
이	이	JKS	O
_	_	_	O
100	100	SN	B-NOH
도	도	NNB	I-NOH
를	를	JKO	O
_	_	_	O
넘	넘기	VV	O
겼	었	EP	O
는지	는지	EC	O
는	는	JX	O
_	_	_	O
모금	모금	NNB	O
_	_	_	O
액수	액수	NNG	O
가	가	JKS	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
집계되	집계되	VV	O
는	는	ETM	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
이후	이후	NNG	O
_	_	_	O
온라인	온라인	NNG	B-POH
_	_	_	I-POH
중앙일보	중앙일보	NNP	I-POH
에서	에서	JKB	O
_	_	_	O
확인할	확인하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
습니다	습니다	EF	O
.	.	SF	O

## 4
## 앞으로 망우역사문화공원을 중랑 캠핑숲과 연계하여 청소년을 위한 인성교육장으로 활용하였으면 한다.
## 앞으로 <망우역사문화공원:LOC>을 중랑 캠핑숲과 연계하여 청소년을 위한 인성교육장으로 활용하였으면 한다.
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
망우	망우	NNG	B-LOC
역사	역사	NNG	I-LOC
문화	문화	NNG	I-LOC
공원	공원	NNG	I-LOC
을	을	JKO	O
_	_	_	O
중랑	중랑	NNP	O
_	_	_	O
캠핑	캠핑	NNG	O
숲	숲	NNG	O
과	과	JC	O
_	_	_	O
연계하	연계하	VV	O
여	여	EC	O
_	_	_	O
청소년	청소년	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
인성	인성	NNG	O
교육	교육	NNG	O
장	장	XSN	O
으로	으로	JKB	O
_	_	_	O
활용하	활용하	VV	O
였	였	EP	O
으면	으면	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 5
## 하지만 감사원에 낸 심사청구가 기각됐고, 장학재단의 재산과 계좌가 압류됐다.
## 하지만 <감사원:ORG>에 낸 심사청구가 기각됐고, <장학재단:ORG>의 재산과 계좌가 압류됐다.
하지만	하지만	MAJ	O
_	_	_	O
감사원	감사원	NNG	B-ORG
에	에	JKB	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
심사	심사	NNG	O
청구	청구	NNG	O
가	가	JKS	O
_	_	_	O
기각	기각되	VV	O
됐	었	EP	O
고	고	JKQ	O
,	,	SP	O
_	_	_	O
장학	장학	NNG	B-ORG
재단	재단	NNG	I-ORG
의	의	JKG	O
_	_	_	O
재산	재산	NNG	O
과	과	JC	O
_	_	_	O
계좌	계좌	NNG	O
가	가	JKS	O
_	_	_	O
압류	압류되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 18일 현재 고객예탁금은 전날보다 3백97억원 늘어난 3조6천6백8억원.
## <18일:DAT> 현재 고객예탁금은 전날보다 <3백97억원:MNY> 늘어난 <3조6천6백8억원:MNY>.
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
현재	현재	MAG	O
_	_	_	O
고객	고객	NNG	O
예탁	예탁	NNG	O
금	금	XSN	O
은	은	JX	O
_	_	_	O
전날	전날	NNG	O
보다	보다	JKB	O
_	_	_	O
3	3	SN	B-MNY
백	백	NR	I-MNY
97	97	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
늘어난	늘어나+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-MNY
조	조	NNG	I-MNY
6	6	SN	I-MNY
천	천	NR	I-MNY
6	6	SN	I-MNY
백	백	NR	I-MNY
8	8	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
.	.	SF	O

## 7
## 오는 7월 이후 출발상품부터 배정될 예정이며 인천공항과 김포공항에서 출발하는 상품에 한하여 인솔하게 된다.
## 오는 <7월:DAT> 이후 출발상품부터 배정될 예정이며 <인천공항:LOC>과 <김포공항:LOC>에서 출발하는 상품에 한하여 인솔하게 된다.
오	오	VV	O
는	는	ETM	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
이후	이후	NNG	O
_	_	_	O
출발	출발	NNG	O
상품	상품	NNG	O
부터	부터	JX	O
_	_	_	O
배정될	배정되+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
며	며	EC	O
_	_	_	O
인천공항	인천공항	NNP	B-LOC
과	과	JC	O
_	_	_	O
김포공항	김포공항	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
출발하	출발하	VV	O
는	는	ETM	O
_	_	_	O
상품	상품	NNG	O
에	에	JKB	O
_	_	_	O
한하	한하	VV	O
여	여	EC	O
_	_	_	O
인솔하	인솔하	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 상·하위 스플릿의 구분점이 되는 6위 싸움도 매우 치열해졌다.
## 상·하위 스플릿의 구분점이 되는 <6위:NOH> 싸움도 매우 치열해졌다.
상	상	NNG	O
·	·	SP	O
하위	하위	NNG	O
_	_	_	O
스플릿	스플릿	NNG	O
의	의	JKG	O
_	_	_	O
구분	구분	NNG	O
점	점	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
6	6	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
싸움	싸움	NNG	O
도	도	JX	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
치열해	치열하	VA	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 9
## 택시 트렁크에 현금 100만 원이 있었지만 황 씨 등은 택시에서 현금 6000원 밖에 찾지 못했다.
## 택시 트렁크에 현금 <100만 원:MNY>이 있었지만 <황:PER> 씨 등은 택시에서 현금 <6000원:MNY> 밖에 찾지 못했다.
택시	택시	NNG	O
_	_	_	O
트렁크	트렁크	NNG	O
에	에	JKB	O
_	_	_	O
현금	현금	NNG	O
_	_	_	O
100	100	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
황	황	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
택시	택시	NNG	O
에서	에서	JKB	O
_	_	_	O
현금	현금	NNG	O
_	_	_	O
6000	6000	SN	B-MNY
원	원	NNB	I-MNY
_	_	_	O
밖	밖	NNG	O
에	에	JKB	O
_	_	_	O
찾	찾	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이 모임을 이끄는 이장희 한국외대 명예교수는 "단순히 탄핵만을 요구할 게 아니라 현 정권의 퇴진 이후 이뤄져야 할 개혁 과제들을 제시해 다음 정권에도 이어가도록 해야 한다"고 말했다.
## 이 모임을 이끄는 <이장희:PER> <한국외대:ORG> 명예교수는 "단순히 탄핵만을 요구할 게 아니라 현 정권의 퇴진 이후 이뤄져야 할 개혁 과제들을 제시해 다음 정권에도 이어가도록 해야 한다"고 말했다.
이	이	MM	O
_	_	_	O
모임	모임	NNG	O
을	을	JKO	O
_	_	_	O
이끄	이끌	VV	O
는	는	ETM	O
_	_	_	O
이장희	이장희	NNP	B-PER
_	_	_	O
한국외대	한국외대	NNP	B-ORG
_	_	_	O
명예교수	명예교수	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
단순히	단순히	MAG	O
_	_	_	O
탄핵	탄핵	NNG	O
만	만	JX	O
을	을	JKO	O
_	_	_	O
요구할	요구하+ㄹ	VV+ETM	O
_	_	_	O
게	것+이	NNB+JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
현	현	MM	O
_	_	_	O
