## 1
## 우리에게는 2010년 광저우 아시안게임 개폐회식 때 화려한 조명를 뽐내던 광저우탑과 어우러진 야경으로 잘 알려진 곳이다.
## 우리에게는 <2010년:DAT> <광저우 아시안게임:POH> 개폐회식 때 화려한 조명를 뽐내던 <광저우탑:LOC>과 어우러진 야경으로 잘 알려진 곳이다.
우리	우리	NP	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
광저우	광저우	NNP	B-POH
_	_	_	I-POH
아시안	아시안	NNG	I-POH
게임	게임	NNG	I-POH
_	_	_	O
개	개	NNG	O
폐회식	폐회식	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
화려한	화려하+ㄴ	VA+ETM	O
_	_	_	O
조명	조명	NNG	O
를	를	JKO	O
_	_	_	O
뽐내	뽐내	VV	O
던	던	ETM	O
_	_	_	O
광저우	광저우	NNP	B-LOC
탑	탑	NNG	I-LOC
과	과	JC	O
_	_	_	O
어우러진	어우러지+ㄴ	VV+ETM	O
_	_	_	O
야경	야경	NNG	O
으로	으로	JKB	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 중국 신사상·신문화 탄생한 곳주장은 예로부터 광둥성 하류에서 삼각주를 이루며 많은 이의 삶의 터전을 만들어줬고, 중국 역사의 영욕과 변화를 지켜보았다.
## <중국:ORG> 신사상·신문화 탄생한 곳주장은 예로부터 <광둥성:LOC> 하류에서 삼각주를 이루며 많은 이의 삶의 터전을 만들어줬고, <중국:ORG> 역사의 영욕과 변화를 지켜보았다.
중국	중국	NNP	B-ORG
_	_	_	O
신사상	신사상	NNG	O
·	·	SP	O
신문화	신문화	NNG	O
_	_	_	O
탄생한	탄생하+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
주장	주장	NNG	O
은	은	JX	O
_	_	_	O
예	예	NNG	O
로부터	로부터	JKB	O
_	_	_	O
광둥성	광둥성	NNP	B-LOC
_	_	_	O
하류	하류	NNG	O
에서	에서	JKB	O
_	_	_	O
삼각주	삼각주	NNG	O
를	를	JKO	O
_	_	_	O
이루	이루	VV	O
며	며	EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
이	이	NNB	O
의	의	JKG	O
_	_	_	O
삶	삶	NNG	O
의	의	JKG	O
_	_	_	O
터전	터전	NNG	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
줬	주+었	VX+EP	O
고	고	JKQ	O
,	,	SP	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
역사	역사	NNG	O
의	의	JKG	O
_	_	_	O
영욕	영욕	NNG	O
과	과	JC	O
_	_	_	O
변화	변화	NNG	O
를	를	JKO	O
_	_	_	O
지켜보	지켜보	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ”폐차나 신차 구입 시 지원책은.“현재 2000년 이전 차는 중고차 잔존가액의 100%를, 2000~2005년 이전 차는 85%를 지원하고 있다.
## ”폐차나 신차 구입 시 지원책은.“현재 <2000년:DAT> 이전 차는 중고차 잔존가액의 <100%:PNT>를, <2000~2005년:DUR> 이전 차는 <85%:PNT>를 지원하고 있다.
”	”	SS	O
폐차	폐차	NNG	O
나	나	JC	O
_	_	_	O
신차	신차	NNG	O
_	_	_	O
구입	구입	NNG	O
_	_	_	O
시	시	NNG	O
_	_	_	O
지원	지원	NNG	O
책	책	XSN	O
은	은	JX	O
.	.	SF	O
“	“	SS	O
현재	현재	MAG	O
_	_	_	O
2000	2000	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이전	이전	NNG	O
_	_	_	O
차	차	NNG	O
는	는	JX	O
_	_	_	O
중고차	중고차	NNG	O
_	_	_	O
잔존	잔존	NNG	O
가액	가액	NNG	O
의	의	JKG	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
,	,	SP	O
_	_	_	O
2000	2000	SN	B-DUR
~	~	SO	I-DUR
2005	2005	SN	I-DUR
년	년	NNB	I-DUR
_	_	_	O
이전	이전	NNG	O
_	_	_	O
차	차	NNG	O
는	는	JX	O
_	_	_	O
85	85	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
지원하	지원하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 그 결과 여성의 경제활동참가율은 같은 기간 48.8%에서 51.3%로 증가했다.
## 그 결과 여성의 경제활동참가율은 같은 기간 <48.8%:PNT>에서 <51.3%:PNT>로 증가했다.
그	그	MM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
여성	여성	NNG	O
의	의	JKG	O
_	_	_	O
경제활동	경제활동	NNG	O
참가율	참가율	NNG	O
은	은	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
48.8	48.8	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
51.3	51.3	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 세계의 지옥철, 韓 최악의 구간은? 구간 혼잡도 237%…"숨 쉬기 힘들 정도"
## 세계의 지옥철, <韓:ORG> 최악의 구간은? 구간 혼잡도 <237%:PNT>…"숨 쉬기 힘들 정도"
세계	세계	NNG	O
의	의	JKG	O
_	_	_	O
지옥철	지옥철	NNG	O
,	,	SP	O
_	_	_	O
韓	韓	SH	B-ORG
_	_	_	O
최악	최악	NNG	O
의	의	JKG	O
_	_	_	O
구간	구간	NNG	O
은	은	JX	O
?	?	SF	O
_	_	_	O
구간	구간	NNG	O
_	_	_	O
혼잡도	혼잡도	NNG	O
_	_	_	O
237	237	SN	B-PNT
%	%	SW	I-PNT
…	…	SE	O
"	"	SS	O
숨	숨	NNG	O
_	_	_	O
쉬	쉬	VV	O
기	기	ETN	O
_	_	_	O
힘들	힘들+ㄹ	VA+ETM	O
_	_	_	O
정도	정도	NNG	O
"	"	SS	O

## 6
## 14일 부동산114에 따르면 올해 분양을 했거나 분양이 예정된 단지 중 1000채가 넘는 대단지는 전국 104개 단지로 총 17만4045채에 이른다.
## <14일:DAT> <부동산114:ORG>에 따르면 올해 분양을 했거나 분양이 예정된 단지 중 <1000채:NOH>가 넘는 대단지는 전국 <104개:NOH> 단지로 총 <17만4045채:NOH>에 이른다.
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
부동산	부동산	NNG	B-ORG
114	114	SN	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
분양	분양	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
거나	거나	EC	O
_	_	_	O
분양	분양	NNG	O
이	이	JKS	O
_	_	_	O
예정된	예정되+ㄴ	VV+ETM	O
_	_	_	O
단지	단지	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
1000	1000	SN	B-NOH
채	채	NNB	I-NOH
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
