## 1
## 미국은 최근 북한과의 무기거래를 중단하라고 미얀마 정부를 압박해 오고 있다.
## <미국:ORG>은 최근 <북한:ORG>과의 무기거래를 중단하라고 <미얀마 정부:ORG>를 압박해 오고 있다.
미국	미국	NNP	B-ORG
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
북한	북한	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
무기	무기	NNG	O
거래	거래	NNG	O
를	를	JKO	O
_	_	_	O
중단하	중단하	VV	O
라고	라고	EC	O
_	_	_	O
미얀마	미얀마	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
를	를	JKO	O
_	_	_	O
압박해	압박하+여	VV+EC	O
_	_	_	O
오	오	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 전두환 전 대통령 수사에 참여한 경험이 있다.
## <전두환:PER> 전 대통령 수사에 참여한 경험이 있다.
전두환	전두환	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
수사	수사	NNG	O
에	에	JKB	O
_	_	_	O
참여한	참여하+ㄴ	VV+ETM	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 호주 일간 시드니모닝헤럴드는 10일 “지인과 병원 등을 취재한 결과 깁슨의 투병기는 거짓”이라고 전했다.
## <호주:ORG> 일간 <시드니모닝헤럴드:POH>는 <10일:DAT> “지인과 병원 등을 취재한 결과 깁슨의 투병기는 거짓”이라고 전했다.
호주	호주	NNP	B-ORG
_	_	_	O
일	일	NNB	O
간	간	XSN	O
_	_	_	O
시드니모닝헤럴드	시드니모닝헤럴드	NNP	B-POH
는	는	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
지인	지인	NNG	O
과	과	JC	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
취재한	취재하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
깁슨	깁슨	NNP	O
의	의	JKG	O
_	_	_	O
투병기	투병기	NNG	O
는	는	JX	O
_	_	_	O
거짓	거짓	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 현재 삼성전자는 모바일을 담당하는 IM사업부, TVㆍ가전을 관할하는 소비자가전(CE)사업부, 반도체 및 부품을 담당하는 디바이스솔루션(DS) 사업부 등 총 3개 사업부가 통합돼 있다.
