## 1
## 하지만 수준 높은 팀인 레버쿠젠을 반드시 꺾겠다＂며 옛정에 휘둘리지 않겠다는 각오를 보였다.
## 하지만 수준 높은 팀인 <레버쿠젠:ORG>을 반드시 꺾겠다＂며 옛정에 휘둘리지 않겠다는 각오를 보였다.
하지만	하지만	MAJ	O
_	_	_	O
수준	수준	NNG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
팀	팀	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
레버쿠젠	레버쿠젠	NNP	B-ORG
을	을	JKO	O
_	_	_	O
반드시	반드시	MAG	O
_	_	_	O
꺾	꺾	VV	O
겠	겠	EP	O
다	다	EF	O
＂	＂	SS	O
며	며	EC	O
_	_	_	O
옛정	옛정	NNG	O
에	에	JKB	O
_	_	_	O
휘둘리	휘둘리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
각오	각오	NNG	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 7∼9일 ‘펜타포트’ 연계상품 내놔… 국내외 록 마니아 10만명 방문 예상
## <7∼9일:DUR> ‘펜타포트’ 연계상품 내놔… 국내외 록 마니아 <10만명:NOH> 방문 예상
7	7	SN	B-DUR
∼	∼	SO	I-DUR
9	9	SN	I-DUR
일	일	NNB	I-DUR
_	_	_	O
‘	‘	SS	O
펜	펜	NNG	O
타	타	NNG	O
포트	포트	NNG	O
’	’	SS	O
_	_	_	O
연계	연계	NNG	O
상품	상품	NNG	O
_	_	_	O
내놔	내놓+아	VV+EC	O
…	…	SE	O
_	_	_	O
국내외	국내외	NNG	O
_	_	_	O
록	록	NNG	O
_	_	_	O
마니아	마니아	NNG	O
_	_	_	O
10	10	SN	B-NOH
만	만	NR	I-NOH
명	명	NNB	I-NOH
_	_	_	O
방문	방문	NNG	O
_	_	_	O
예상	예상	NNG	O

## 3
## 해수부는 검찰과 권익위 조사결과가 나올 때까지 임 과장을 대기발령할 것으로 알려졌다.
## <해수부:ORG>는 검찰과 <권익위:ORG> 조사결과가 나올 때까지 임 과장을 대기발령할 것으로 알려졌다.
해수	해수	NNG	B-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
검찰	검찰	NNG	O
과	과	JC	O
_	_	_	O
권익	권익	NNG	B-ORG
위	위	NNG	I-ORG
_	_	_	O
조사	조사	NNG	O
결과	결과	NNG	O
가	가	JKS	O
_	_	_	O
나올	나오+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
까지	까지	JX	O
_	_	_	O
임	임	NNP	O
_	_	_	O
과장	과장	NNG	O
을	을	JKO	O
_	_	_	O
대기	대기	NNG	O
발령할	발령하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 이어 서 상무는 ＂동아리 활동도 직무와 맞게 지원해야 한다”고 덧붙였다.
## 이어 <서:PER> 상무는 ＂동아리 활동도 직무와 맞게 지원해야 한다”고 덧붙였다.
이	잇	VV	O
어	어	EC	O
_	_	_	O
서	서+어	VV+EC	B-PER
_	_	_	O
상무	상무	NNG	O
는	는	JX	O
_	_	_	O
＂	＂	SS	O
동아리	동아리	NNG	O
_	_	_	O
활동	활동	NNG	O
도	도	JX	O
_	_	_	O
직무	직무	NNG	O
와	와	JKB	O
_	_	_	O
맞	맞	VV	O
게	게	EC	O
_	_	_	O
지원해야	지원하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이 골은 정조국의 K리그 개인통산 100호 골이었다.
## 이 골은 <정조국:PER>의 <K리그:ORG> 개인통산 <100호:NOH> 골이었다.
이	이	MM	O
_	_	_	O
골	골	NNG	O
은	은	JX	O
_	_	_	O
정조국	정조국	NNP	B-PER
의	의	JKG	O
_	_	_	O
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
_	_	_	O
개인	개인	NNG	O
통산	통산	NNG	O
_	_	_	O
100	100	SN	B-NOH
호	호	NNB	I-NOH
_	_	_	O
골	골	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이번 회의는 지난해 10월 전국시도지사협의회의 9대 회장을 맡은 유정복 인천시장의 적극적인 노력의 결실이다.
## 이번 회의는 지난해 <10월:DAT> <전국시도지사협의회:ORG>의 <9대:NOH> 회장을 맡은 <유정복:PER> 인천시장의 적극적인 노력의 결실이다.
이번	이번	NNG	O
_	_	_	O
회의	회의	NNG	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
전국	전국	NNG	B-ORG
시도	시도	NNG	I-ORG
지사	지사	NNG	I-ORG
협의회	협의회	NNG	I-ORG
의	의	JKG	O
_	_	_	O
9	9	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
회장	회장	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
은	은	ETM	O
_	_	_	O
유정복	유정복	NNP	B-PER
_	_	_	O
인천	인천	NNP	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
적극적	적극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
노력	노력	NNG	O
의	의	JKG	O
_	_	_	O
결실	결실	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 복면가왕 우체통, 린으로 밝혀져… 정체 숨기기 위해 창법까지 바꿨다
## <복면가왕 우체통:PER>, <린:PER>으로 밝혀져… 정체 숨기기 위해 창법까지 바꿨다
복면	복면	NNG	B-PER
가왕	가왕	NNG	I-PER
_	_	_	I-PER
우체통	우체통	NNG	I-PER
,	,	SP	O
_	_	_	O
린	린	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
밝혀져	밝혀지+어	VV+EC	O
…	…	SE	O
_	_	_	O
정체	정체	NNG	O
_	_	_	O
숨기	숨기	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
창법	창법	NNG	O
까지	까지	JX	O
_	_	_	O
바	바꾸	VV	O
꿨	었	EP	O
다	다	EF	O

## 8
## 기준은 ▶지지도 여론조사(35%) ▶의정 활동 및 공약 이행(35%) ▶지역 내 광역·기초의원 당선 등 선거 기여도(10%) ▶지역구 활동(10%) ▶상임위 의원 간 다면평가(10%) 등이다.
## 기준은 ▶지지도 여론조사(<35%:PNT>) ▶의정 활동 및 공약 이행(<35%:PNT>) ▶지역 내 광역·기초의원 당선 등 선거 기여도(<10%:PNT>) ▶지역구 활동(<10%:PNT>) ▶상임위 의원 간 다면평가(<10%:PNT>) 등이다.
기준	기준	NNG	O
은	은	JX	O
_	_	_	O
▶	▶	SW	O
지지	지지	NNG	O
도	도	JX	O
_	_	_	O
여론	여론	NNG	O
조사	조사	NNG	O
(	(	SS	O
35	35	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
▶	▶	SW	O
의정	의정	NNG	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
공약	공약	NNG	O
_	_	_	O
이행	이행	NNG	O
(	(	SS	O
35	35	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
▶	▶	SW	O
지역	지역	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
광역	광역	NNG	O
·	·	SP	O
기초	기초	NNG	O
의원	의원	NNG	O
_	_	_	O
당선	당선	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
선거	선거	NNG	O
_	_	_	O
기여	기여	NNG	O
도	도	NNG	O
(	(	SS	O
10	10	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
▶	▶	SW	O
지역구	지역구	NNG	O
_	_	_	O
활동	활동	NNG	O
(	(	SS	O
10	10	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
▶	▶	SW	O
상임위	상임위	NNG	O
_	_	_	O
의원	의원	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
다면	다면	NNG	O
평가	평가	NNG	O
(	(	SS	O
10	10	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## [현장취재] 서울 대중교통에 새 바람? 콜버스-쿱택시 실험
## [현장취재] <서울:LOC> 대중교통에 새 바람? <콜버스:POH>-<쿱택시:POH> 실험
[	[	SS	O
현장	현장	NNG	O
취재	취재	NNG	O
]	]	SS	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
대중교통	대중교통	NNG	O
에	에	JKB	O
_	_	_	O
새	새	MM	O
_	_	_	O
바람	바람	NNG	O
?	?	SF	O
_	_	_	O
콜버스	콜버스	NNP	B-POH
-	-	SO	O
쿱	쿱	NNP	B-POH
택시	택시	NNG	I-POH
_	_	_	O
실험	실험	NNG	O

## 10
## ‘이재용 삼성’은 장기간의 성공 신화 뒤에 가려졌던 오만이나 방심, 관료주의, 기술 경시 같은 그늘이 있다면 개혁의 메스를 들이댈 필요가 있다.
## ‘<이재용:PER> <삼성:ORG>’은 장기간의 성공 신화 뒤에 가려졌던 오만이나 방심, 관료주의, 기술 경시 같은 그늘이 있다면 개혁의 메스를 들이댈 필요가 있다.
‘	‘	SS	O
이재용	이재용	NNP	B-PER
_	_	_	O
삼성	삼성	NNP	B-ORG
’	’	SS	O
은	은	JX	O
_	_	_	O
장기간	장기간	NNG	O
의	의	JKG	O
_	_	_	O
성공	성공	NNG	O
_	_	_	O
신화	신화	NNG	O
_	_	_	O
뒤	뒤	NNG	O
에	에	JKB	O
_	_	_	O
가려	가려지	VV	O
졌	었	EP	O
던	던	ETM	O
_	_	_	O
