## 1
## 또 제안을 받고 흔들리지 않았느냐는 질문에 “흔들림이 조금이라도 있었다면 리우 올림픽에 나가지 않았을 것”이라고 말했다.
## 또 제안을 받고 흔들리지 않았느냐는 질문에 “흔들림이 조금이라도 있었다면 <리우 올림픽:POH>에 나가지 않았을 것”이라고 말했다.
또	또	MAG	O
_	_	_	O
제안	제안	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
흔들리	흔들리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
느냐는	느냐는	ETM	O
_	_	_	O
질문	질문	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
흔들림	흔들리+ㅁ	VV+ETN	O
이	이	JKS	O
_	_	_	O
조금	조금	NNG	O
이라도	이라도	JX	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다면	다면	EC	O
_	_	_	O
리우	리우	NNP	B-POH
_	_	_	I-POH
올림픽	올림픽	NNG	I-POH
에	에	JKB	O
_	_	_	O
나가	나가	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 특히 신혼부부답게 진한 키스를 나눴고, 배용준이 박수진의 엉덩이를 만지는 등 스킨쉽을 하기도 했다.
## 특히 신혼부부답게 진한 키스를 나눴고, <배용준:PER>이 <박수진:PER>의 엉덩이를 만지는 등 스킨쉽을 하기도 했다.
특히	특히	MAG	O
_	_	_	O
신혼부부	신혼부부	NNG	O
답	답	XSA	O
게	게	EC	O
_	_	_	O
진한	진하+ㄴ	VA+ETM	O
_	_	_	O
키스	키스	NNG	O
를	를	JKO	O
_	_	_	O
나	나누	VV	O
눴	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
배용준	배용준	NNP	B-PER
이	이	JKS	O
_	_	_	O
박수진	박수진	NNP	B-PER
의	의	JKG	O
_	_	_	O
엉덩이	엉덩이	NNG	O
를	를	JKO	O
_	_	_	O
만지	만지	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
스킨	스킨	NNG	O
쉽	쉽	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 3.1운동 직후, 국외에 건설된 국립운동 기지를 기반으로 국경 지대와 만주 지역에서 무장 독립 투쟁이 전개되었고, 3부 결성 이후 독립군 통합 운동으로 발전했다.
## <3.1운동:POH> 직후, 국외에 건설된 국립운동 기지를 기반으로 국경 지대와 <만주:LOC> 지역에서 무장 독립 투쟁이 전개되었고, <3부:NOH> 결성 이후 독립군 통합 운동으로 발전했다.
3.1	3.1	SN	B-POH
운동	운동	NNG	I-POH
_	_	_	O
직후	직후	NNG	O
,	,	SP	O
_	_	_	O
국외	국외	NNG	O
에	에	JKB	O
_	_	_	O
건설된	건설되+ㄴ	VV+ETM	O
_	_	_	O
국립	국립	NNG	O
운동	운동	NNG	O
_	_	_	O
기지	기지	NNG	O
를	를	JKO	O
_	_	_	O
기반	기반	NNG	O
으로	으로	JKB	O
_	_	_	O
국경	국경	NNG	O
_	_	_	O
지대	지대	NNG	O
와	와	JC	O
_	_	_	O
만주	만주	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
에서	에서	JKB	O
_	_	_	O
무장	무장	NNG	O
_	_	_	O
독립	독립	NNG	O
_	_	_	O
투쟁	투쟁	NNG	O
이	이	JKS	O
_	_	_	O
전개되	전개되	VV	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
부	부	NNB	I-NOH
_	_	_	O
결성	결성	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
독립군	독립군	NNG	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
운동	운동	NNG	O
으로	으로	JKB	O
_	_	_	O
발전	발전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 박종철씨 고문치사 사건 수사 검사팀의 일원이었던 박 후보자를 두고는 민주주의를 소중히 여기는 많은 국민은 물론 법원 내부에서조차 ‘자격 미달’이라는 목소리가 높았다.
## <박종철:PER>씨 고문치사 사건 수사 검사팀의 일원이었던 <박:PER> 후보자를 두고는 민주주의를 소중히 여기는 많은 국민은 물론 법원 내부에서조차 ‘자격 미달’이라는 목소리가 높았다.
박종철	박종철	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
고문치사	고문치사	NNG	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
검사	검사	NNG	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
일원	일원	NNG	O
