## 1
## 그는 ‘캠프 내에서 상황인식을 어떻게 하고 있냐’는 기자의 질문에는 “지금 세월호 추모식에 다녀왔기 때문에 캠프 상황을 많이 모른다”면서도 “당협위원장들이 이 사실 듣고 부글부글하고 있다고 들었다”고 강조했다.
## 그는 ‘캠프 내에서 상황인식을 어떻게 하고 있냐’는 기자의 질문에는 “지금 <세월호:POH> 추모식에 다녀왔기 때문에 캠프 상황을 많이 모른다”면서도 “당협위원장들이 이 사실 듣고 부글부글하고 있다고 들었다”고 강조했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
캠프	캠프	NNG	O
_	_	_	O
내	내	NNB	O
에서	에서	JKB	O
_	_	_	O
상황	상황	NNG	O
인식	인식	NNG	O
을	을	JKO	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
냐	냐	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
기자	기자	NNG	O
의	의	JKG	O
_	_	_	O
질문	질문	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
지금	지금	MAG	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
추모식	추모식	NNG	O
에	에	JKB	O
_	_	_	O
다녀	다녀오	VV	O
왔	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
캠프	캠프	NNG	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
모른다	모르+ㄴ다	VV+EF	O
”	”	SS	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
“	“	SS	O
당	당	NNG	O
협	협	NNG	O
위원장	위원장	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이	이	MM	O
_	_	_	O
사실	사실	NNG	O
_	_	_	O
듣	듣	VV	O
고	고	EC	O
_	_	_	O
부글부글	부글부글	MAG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다고	다고	EC	O
_	_	_	O
들	듣	VV	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 김장관은 국제 무역협상과 무역기구의 운용면에서 높은 식견과 경륜을 가졌다고 소개한 르 몽드는 특히 한국이 개발도상국가들에 하나의 모델이라는 점을 강조했다.
## <김:PER>장관은 국제 무역협상과 무역기구의 운용면에서 높은 식견과 경륜을 가졌다고 소개한 <르 몽드:PER>는 특히 <한국:ORG>이 개발도상국가들에 <하나:NOH>의 모델이라는 점을 강조했다.
김	김	NNP	B-PER
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
국제	국제	NNG	O
_	_	_	O
무역	무역	NNG	O
협상	협상	NNG	O
과	과	JKB	O
_	_	_	O
무역	무역	NNG	O
기구	기구	NNG	O
의	의	JKG	O
_	_	_	O
운용	운용	NNG	O
면	면	NNG	O
에서	에서	JKB	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
식견	식견	NNG	O
과	과	JC	O
_	_	_	O
경륜	경륜	NNG	O
을	을	JKO	O
_	_	_	O
가	가지	VV	O
졌	었	EP	O
다고	다고	EC	O
_	_	_	O
소개한	소개하+ㄴ	VV+ETM	O
_	_	_	O
르	르	NNP	B-PER
_	_	_	I-PER
