## 1
## 프로야구 두산이 ‘매직넘버’를 1로 줄였다.
## 프로야구 <두산:ORG>이 ‘매직넘버’를 <1:NOH>로 줄였다.
프로	프로	NNG	O
야구	야구	NNG	O
_	_	_	O
두산	두산	NNP	B-ORG
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
매직넘버	매직넘버	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
1	1	SN	B-NOH
로	로	JKB	O
_	_	_	O
줄	줄이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 매장은 구로구에 위치해 있는 레드불스로 카닥 워시 서비스와 함께 자동차 틴팅과 블랙박스, 내비게이션 설치 등을 담당하고 있었다.
## 매장은 <구로구:ORG>에 위치해 있는 <레드불스:ORG>로 <카닥 워시:POH> 서비스와 함께 자동차 틴팅과 블랙박스, 내비게이션 설치 등을 담당하고 있었다.
매장	매장	NNG	O
은	은	JX	O
_	_	_	O
구로구	구로구	NNP	B-ORG
에	에	JKB	O
_	_	_	O
위치해	위치하+여	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
레드	레드	NNG	B-ORG
불스	불스	NNP	I-ORG
로	로	JKB	O
_	_	_	O
카닥	카닥	NNP	B-POH
_	_	_	I-POH
워시	워시	NNG	I-POH
_	_	_	O
서비스	서비스	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
틴팅	틴팅	NNG	O
과	과	JC	O
_	_	_	O
블랙박스	블랙박스	NNG	O
,	,	SP	O
_	_	_	O
내비게이션	내비게이션	NNG	O
_	_	_	O
설치	설치	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
담당하	담당하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2000년대 초반 인터넷이 발달하면서 대중들은 포털사이트와 커뮤니티 게시판 등에 손쉽게 의견을 올리기 시작했고, 더 직접적이고 빠른 의견 개진을 위해 기사에 달린 댓글 기능을 활용하기 시작했다.
