## 1
## 기존 확진자 중 4번째(여, 46세), 12번째(여, 49세) 확진자 등 2명이 6.16일 퇴원하여 전체 퇴원자는 19명으로 늘어났다.
## 기존 확진자 중 <4번째:NOH>(여, <46세:NOH>), <12번째:NOH>(여, <49세:NOH>) 확진자 등 <2명:NOH>이 <6.16일:DAT> 퇴원하여 전체 퇴원자는 <19명:NOH>으로 늘어났다.
기존	기존	NNG	O
_	_	_	O
확진	확진	NNG	O
자	자	XSN	O
_	_	_	O
중	중	NNP	O
_	_	_	O
4	4	SN	B-NOH
번째	번째	NNB	I-NOH
(	(	SS	O
여	여	NNG	O
,	,	SP	O
_	_	_	O
46	46	SN	B-NOH
세	세	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
12	12	SN	B-NOH
번째	번째	NNB	I-NOH
(	(	SS	O
여	여	NNG	O
,	,	SP	O
_	_	_	O
49	49	SN	B-NOH
세	세	NNB	I-NOH
)	)	SS	O
_	_	_	O
확진	확진	NNG	O
자	자	XSN	O
_	_	_	O
등	등	NNB	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
6.16	6.16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
퇴원하	퇴원하	VV	O
여	여	EC	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
퇴원	퇴원	NNG	O
자	자	NNG	O
는	는	JX	O
_	_	_	O
19	19	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘어났	늘어나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이들은 항생제 및 항바이러스제 투여, 대증요법 등을 통한 치료를 받아왔고, 발열 등 호흡기 증상이 호전되어 2차례 메르스 검사를 실시한 결과 모두 음성으로 나타나 완치 판정을 받았다.
## 이들은 항생제 및 항바이러스제 투여, 대증요법 등을 통한 치료를 받아왔고, 발열 등 호흡기 증상이 호전되어 <2차례:NOH> <메르스:POH> 검사를 실시한 결과 모두 음성으로 나타나 완치 판정을 받았다.
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
항생제	항생제	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
항바이러스제	항바이러스제	NNG	O
_	_	_	O
투여	투여	NNG	O
,	,	SP	O
_	_	_	O
대증	대증	NNG	O
요법	요법	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아	아+오	EC+VX	O
왔	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
발열	발열	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
호흡기	호흡기	NNG	O
_	_	_	O
증상	증상	NNG	O
이	이	JKS	O
_	_	_	O
호전되	호전되	VV	O
어	어	EC	O
_	_	_	O
2	2	SN	B-NOH
차례	차례	NNG	I-NOH
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
검사	검사	NNG	O
를	를	JKO	O
