## 1
## 28일 국립생태원에 따르면 이번에 확인된 영동지역 번식지는 2012년 국립환경과학원에 의해 조사된 60여쌍의 왜가리와 해오라기의 집단번식지다.
## <28일:DAT> <국립생태원:ORG>에 따르면 이번에 확인된 <영동:LOC>지역 번식지는 <2012년:DAT> <국립환경과학원:ORG>에 의해 조사된 <60여쌍:NOH>의 왜가리와 해오라기의 집단번식지다.
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국립	국립	NNG	B-ORG
생태	생태	NNG	I-ORG
원	원	XSN	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
확인된	확인되+ㄴ	VV+ETM	O
_	_	_	O
영동	영동	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
번식지	번식지	NNG	O
는	는	JX	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
국립	국립	NNG	B-ORG
환경	환경	NNG	I-ORG
과학원	과학원	NNG	I-ORG
에	에	JKB	O
_	_	_	O
의해	의하+여	VV+EC	O
_	_	_	O
조사된	조사되+ㄴ	VV+ETM	O
_	_	_	O
60	60	SN	B-NOH
여	여	XSN	I-NOH
쌍	쌍	NNG	I-NOH
의	의	JKG	O
_	_	_	O
왜가리	왜가리	NNG	O
와	와	JC	O
_	_	_	O
해오라기	해오라기	NNG	O
의	의	JKG	O
_	_	_	O
집단	집단	NNG	O
번식지	번식지	NNG	O
다	다	NNG	O
.	.	SF	O

## 2
## 민물가마우지가 내륙지역에 집단 서식하는 모습은 국립생태원이 시행하고 있는 전국자연환경조사일환으로 진행된 ‘영동지역일대 조류 봄철 번식 서식현황 조사’과정에서 관찰됐다.
## <민물가마우지:POH>가 내륙지역에 집단 서식하는 모습은 <국립생태원:ORG>이 시행하고 있는 전국자연환경조사일환으로 진행된 ‘<영동:LOC>지역일대 조류 봄철 번식 서식현황 조사’과정에서 관찰됐다.
민물가마우지	민물가마우지	NNG	B-POH
가	가	JKS	O
_	_	_	O
내륙	내륙	NNG	O
지역	지역	NNG	O
