## 1
## 스포츠 브랜드 뉴발란스가 미국 프로야구 미네소타 트윈스의 박병호(30·사진)를 후원한다.
## 스포츠 브랜드 <뉴발란스:ORG>가 <미국:ORG> 프로야구 <미네소타 트윈스:ORG>의 <박병호:PER>(<30:NOH>·사진)를 후원한다.
스포츠	스포츠	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
뉴발란스	뉴발란스	NNP	B-ORG
가	가	JKS	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
프로	프로	NNG	O
야구	야구	NNG	O
_	_	_	O
미네소타	미네소타	NNP	B-ORG
_	_	_	I-ORG
트윈스	트윈스	NNP	I-ORG
의	의	JKG	O
_	_	_	O
박병호	박병호	NNP	B-PER
(	(	SS	O
30	30	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
후원한다	후원하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 1995년 롯데 지휘봉을 잡았을 때는 KBO 리그 사상 처음으로 200도루를 돌파하기도 했다.
## <1995년:DAT> <롯데:ORG> 지휘봉을 잡았을 때는 <KBO 리그:ORG> 사상 처음으로 <200도루:NOH>를 돌파하기도 했다.
1995	1995	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
롯데	롯데	NNP	B-ORG
_	_	_	O
지휘봉	지휘봉	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
았	았	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
는	는	JX	O
_	_	_	O
KBO	KBO	SL	B-ORG
_	_	_	I-ORG
리그	리그	NNG	I-ORG
_	_	_	O
사상	사상	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
200	200	SN	B-NOH
도루	도루	NNG	I-NOH
를	를	JKO	O
_	_	_	O
돌파하	돌파하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 홍기택(64) KDB산업은행 회장이 ‘중국판 세계은행’인 아시아인프라투자은행(AIIB) 부총재를 맡는다.
## <홍기택:PER>(<64:NOH>) <KDB산업은행:ORG> 회장이 ‘<중국:ORG>판 세계은행’인 <아시아인프라투자은행:ORG>(<AIIB:ORG>) 부총재를 맡는다.
홍기택	홍기택	NNP	B-PER
(	(	SS	O
64	64	SN	B-NOH
)	)	SS	O
_	_	_	O
KDB	KDB	SL	B-ORG
산업은행	산업은행	NNP	I-ORG
_	_	_	O
회장	회장	NNG	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
중국	중국	NNP	B-ORG
판	판	XSN	O
_	_	_	O
세계은행	세계은행	NNP	O
’	’	SS	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
아시아인프라투자은행	아시아인프라투자은행	NNP	B-ORG
(	(	SS	O
AIIB	AIIB	SL	B-ORG
)	)	SS	O
_	_	_	O
부총재	부총재	NNG	O
를	를	JKO	O
_	_	_	O
맡	맡	VV	O
는다	는다	EF	O
.	.	SF	O

## 4
## 동아에스티(대표이사 사장 박찬일)는 올해 글로벌 마케팅 강화를 통해 박카스의 해외 매출 확대에 나서겠다고 21일 밝혔다.
## <동아에스티:ORG>(대표이사 사장 <박찬일:PER>)는 올해 글로벌 마케팅 강화를 통해 <박카스:POH>의 해외 매출 확대에 나서겠다고 <21일:DAT> 밝혔다.
동아	동아	NNP	B-ORG
에스티	에스티	NNP	I-ORG
(	(	SS	O
대표	대표	NNG	O
이사	이사	NNG	O
_	_	_	O
사장	사장	NNG	O
_	_	_	O
박찬일	박찬일	NNP	B-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
강화	강화	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
박카스	박카스	NNG	B-POH
의	의	JKG	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
매출	매출	NNG	O
_	_	_	O
확대	확대	NNG	O
에	에	JKB	O
_	_	_	O
나서	나서	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 평소 린썬은 장제스가 무슨 말을 하건 듣기만 했다.
## 평소 <린썬:PER>은 <장제스:PER>가 무슨 말을 하건 듣기만 했다.
평소	평소	NNG	O
_	_	_	O
린썬	린썬	NNP	B-PER
은	은	JX	O
_	_	_	O
장제스	장제스	NNP	B-PER
가	가	JKS	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
건	건	EC	O
_	_	_	O
듣	듣	VV	O
기	기	ETN	O
만	만	JX	O
_	_	_	O
