## 1
## 우리나라의 바다와 국민의 생명 및 재산을 지키는 것에는 한 치의 틈도 있어서는 안 된다”며 경비 강화를 지시했다.
## 우리나라의 바다와 국민의 생명 및 재산을 지키는 것에는 <한 치:NOH>의 틈도 있어서는 안 된다”며 경비 강화를 지시했다.
우리나라	우리나라	NNG	O
의	의	JKG	O
_	_	_	O
바다	바다	NNG	O
와	와	JC	O
_	_	_	O
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
생명	생명	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
재산	재산	NNG	O
을	을	JKO	O
_	_	_	O
지키	지키	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
치	치	NNB	I-NOH
의	의	JKG	O
_	_	_	O
틈	틈	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
어서	어서	EC	O
는	는	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
경비	경비	NNG	O
_	_	_	O
강화	강화	NNG	O
를	를	JKO	O
_	_	_	O
지시	지시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 서울 용산구 한강대로(동자동) ‘트윈시티 남산’은 오피스동의 2층 절반 정도를 ‘테넌트 라운지’와 카페, 미팅룸 등으로 꾸몄다.
## <서울:LOC> <용산구:LOC> <한강대로:LOC>(<동자동:LOC>) ‘<트윈시티 남산:ORG>’은 오피스동의 <2층:NOH> 절반 정도를 ‘테넌트 라운지’와 카페, 미팅룸 등으로 꾸몄다.
서울	서울	NNP	B-LOC
_	_	_	O
용산구	용산구	NNP	B-LOC
_	_	_	O
한강대	한강대	NNP	B-LOC
로	로	JKB	I-LOC
(	(	SS	O
동자동	동자동	NNP	B-LOC
)	)	SS	O
_	_	_	O
‘	‘	SS	O
트윈	트윈	NNG	B-ORG
시티	시티	NNG	I-ORG
_	_	_	I-ORG
남산	남산	NNP	I-ORG
’	’	SS	O
은	은	JX	O
_	_	_	O
오피스	오피스	NNG	O
동의	동의	NNG	O
_	_	_	O
2	2	SN	B-NOH
층	층	NNG	I-NOH
_	_	_	O
절반	절반	NNG	O
_	_	_	O
정도	정도	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
테넌트	테넌트	NNP	O
_	_	_	O
라운지	라운지	NNG	O
’	’	SS	O
와	와	JKB	O
_	_	_	O
카페	카페	NNG	O
,	,	SP	O
_	_	_	O
미팅	미팅	NNG	O
룸	룸	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
꾸	꾸미	VV	O
몄	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 법원이 인정한 링 전 부장과 부인 구리핑(谷麗萍)의 뇌물액은 7078만 위안(121억 7천700만 원)에 달한다.
## 법원이 인정한 <링:PER> 전 부장과 부인 <구리핑:PER>(<谷麗萍:PER>)의 뇌물액은 <7078만 위안:MNY>(<121억 7천700만 원:MNY>)에 달한다.
법원	법원	NNG	O
이	이	JKS	O
_	_	_	O
인정한	인정하+ㄴ	VV+ETM	O
_	_	_	O
링	링	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부장	부장	NNG	O
과	과	JC	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
구리핑	구리핑	NNP	B-PER
(	(	SS	O
谷麗萍	谷麗萍	SH	B-PER
)	)	SS	O
의	의	JKG	O
_	_	_	O
뇌물	뇌물	NNG	O
액	액	XSN	O
은	은	JX	O
_	_	_	O
7078	7078	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
위안	위안	NNG	I-MNY
(	(	SS	O
121	121	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
7	7	SN	I-MNY
천	천	NR	I-MNY
700	700	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
에	에	JKB	O
_	_	_	O
달한다	달하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 대전∼대구 구간(약 45km)에 고속선 건설이 6월경 마무리되면 그 다음 달부터 요금이 현행보다 2100원 오른 4만4600원으로 조정된다.
## <대전:LOC>∼<대구:LOC> 구간(약 <45km:NOH>)에 고속선 건설이 <6월:DAT>경 마무리되면 그 다음 달부터 요금이 현행보다 <2100원:MNY> 오른 <4만4600원:MNY>으로 조정된다.
대전	대전	NNG	B-LOC
∼	∼	SO	O
대구	대구	NNP	B-LOC
_	_	_	O
구간	구간	NNG	O
