## 1
## 한 팀에서 한꺼번에 6명을 준 것은 이때가 유일했다.
## <한 팀:NOH>에서 한꺼번에 <6명:NOH>을 준 것은 이때가 유일했다.
한	한	MM	B-NOH
_	_	_	I-NOH
팀	팀	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
한꺼번에	한꺼번에	MAG	O
_	_	_	O
6	6	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
준	주+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
이때	이때	NNG	O
가	가	JKS	O
_	_	_	O
유일	유일하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 역대 단일 트레이드에서 가장 많은 선수가 오간 건 2015년 롯데와 kt의 5대4 트레이드로, 총 9명이 엮인 거래였다.
## 역대 단일 트레이드에서 가장 많은 선수가 오간 건 <2015년:DAT> <롯데:ORG>와 <kt:ORG>의 <5대4:NOH> 트레이드로, 총 <9명:NOH>이 엮인 거래였다.
역대	역대	NNG	O
_	_	_	O
단일	단일	NNG	O
_	_	_	O
트레이드	트레이드	NNG	O
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
오간	오가+ㄴ	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
롯데	롯데	NNP	B-ORG
와	와	JKB	O
_	_	_	O
kt	kt	SL	B-ORG
의	의	JKG	O
_	_	_	O
5	5	SN	B-NOH
대	대	NNB	I-NOH
4	4	SN	I-NOH
_	_	_	O
트레이드	트레이드	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
총	총	MM	O
_	_	_	O
9	9	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
엮인	엮이+ㄴ	VV+ETM	O
_	_	_	O
거래	거래+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 실수가 용납되지 않은 상황이 발생했지만 꼭 러시아로 갈 수 있도록 하겠다”고 전했다.
## 실수가 용납되지 않은 상황이 발생했지만 꼭 <러시아:LOC>로 갈 수 있도록 하겠다”고 전했다.
실수	실수	NNG	O
가	가	JKS	O
_	_	_	O
용납되	용납되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
발생	발생하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
러시아	러시아	NNP	B-LOC
로	로	JKB	O
_	_	_	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 삼성물산은 다음달 17일 임시 주총을 열어 제일모직과의 합병을 결의할 예정이었는데 이를 법원이 막아달라는 주장이다.
## <삼성물산:ORG>은 다음달 <17일:DAT> 임시 주총을 열어 <제일모직:ORG>과의 합병을 결의할 예정이었는데 이를 법원이 막아달라는 주장이다.
삼성물산	삼성물산	NNP	B-ORG
은	은	JX	O
_	_	_	O
다음	다음	NNG	O
달	달	NNG	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
임시	임시	NNG	O
_	_	_	O
주총	주총	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
_	_	_	O
제일모직	제일모직	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
합병	합병	NNG	O
을	을	JKO	O
_	_	_	O
결의할	결의하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
법원	법원	NNG	O
이	이	JKS	O
_	_	_	O
막	막	VV	O
아	아	EC	O
달	달	VX	O
라는	라는	ETM	O
_	_	_	O
주장	주장	NNG	O
