## 1
## 트럼프의 정체도 모르겠고 대응할 지렛대도 마땅찮다면 이 책부터 꼼꼼히 들여다볼 필요가 있어 보인다.
## <트럼프:PER>의 정체도 모르겠고 대응할 지렛대도 마땅찮다면 이 책부터 꼼꼼히 들여다볼 필요가 있어 보인다.
트럼프	트럼프	NNG	B-PER
의	의	JKG	O
_	_	_	O
정체	정체	NNG	O
도	도	JX	O
_	_	_	O
모르	모르	VV	O
겠	겠	EP	O
고	고	EC	O
_	_	_	O
대응할	대응하+ㄹ	VV+ETM	O
_	_	_	O
지렛대	지렛대	NNG	O
도	도	JX	O
_	_	_	O
마땅찮	마땅찮	VA	O
다면	다면	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
책	책	NNG	O
부터	부터	JX	O
_	_	_	O
꼼꼼히	꼼꼼히	MAG	O
_	_	_	O
들여다볼	들여다보+ㄹ	VV+ETM	O
_	_	_	O
필요	필요	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## [카드뉴스] 사진 23장이 불러낸 야당시절 '청년 김영삼'
## [<카드뉴스:POH>] 사진 <23장:NOH>이 불러낸 야당시절 '청년 <김영삼:PER>'
[	[	SS	O
카드	카드	NNG	B-POH
뉴스	뉴스	NNG	I-POH
]	]	SS	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
23	23	SN	B-NOH
장	장	NNB	I-NOH
이	이	JKS	O
_	_	_	O
불러낸	불러내+ㄴ	VV+ETM	O
_	_	_	O
야당	야당	NNG	O
시절	시절	NNG	O
_	_	_	O
'	'	SS	O
청년	청년	NNG	O
_	_	_	O
김영삼	김영삼	NNP	B-PER
'	'	SS	O

## 3
## 오연서 깜찍 셀카, 미키마우스 머리띠 물오른 미모
## <오연서:PER> 깜찍 셀카, <미키마우스:PER> 머리띠 물오른 미모
오연	오연	NNG	B-PER
서	서	JKB	I-PER
_	_	_	O
깜찍	깜찍	NNG	O
_	_	_	O
셀카	셀카	NNG	O
,	,	SP	O
_	_	_	O
미키마우스	미키마우스	NNP	B-PER
_	_	_	O
머리띠	머리띠	NNG	O
_	_	_	O
물오른	물오르+ㄴ	VV+ETM	O
_	_	_	O
미모	미모	NNG	O

## 4
## 북한 선수들은 대회 개막 수일 전에 중국을 경유해 삿포로에 도착할 것으로 알려졌다.
## <북한:ORG> 선수들은 대회 개막 수일 전에 <중국:ORG>을 경유해 삿포로에 도착할 것으로 알려졌다.
북한	북한	NNP	B-ORG
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
개막	개막	NNG	O
_	_	_	O
수일	수일	NNG	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
중국	중국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
경유해	경유하+여	VV+EC	O
_	_	_	O
삿포로	삿포로	NNP	O
에	에	JKB	O
_	_	_	O
도착할	도착하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 죽은 사람도 많아요. 글라이더 개발의 선구자인 오토 릴리엔탈은 새의 날개와 꼬리 모양을 본떠 글라이더를 만들었죠.
## 죽은 사람도 많아요. 글라이더 개발의 선구자인 <오토 릴리엔탈:PER>은 새의 날개와 꼬리 모양을 본떠 글라이더를 만들었죠.
죽	죽	VV	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
도	도	JX	O
_	_	_	O
많	많	VA	O
아요	아요	EF	O
.	.	SF	O
_	_	_	O
글라이더	글라이더	NNG	O
_	_	_	O
개발	개발	NNG	O
의	의	JKG	O
_	_	_	O
선구자	선구자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
오토	오토	NNP	B-PER
_	_	_	I-PER
릴리엔탈	릴리엔탈	NNP	I-PER
은	은	JX	O
_	_	_	O
새	새	NNG	O
의	의	JKG	O
_	_	_	O
날개	날개	NNG	O
와	와	JC	O
_	_	_	O
꼬리	꼬리	NNG	O
_	_	_	O
모양	모양	NNG	O
을	을	JKO	O
_	_	_	O
본	본뜨	VV	O
떠	어	EC	O
_	_	_	O
글라이더	글라이더	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
죠	죠	EF	O
.	.	SF	O

## 6
