## 1
## Part 16. 구름
## <Part 16:NOH>. 구름
Part	Part	SL	B-NOH
_	_	_	I-NOH
16	16	SN	I-NOH
.	.	SF	O
_	_	_	O
구름	구름	NNG	O

## 2
## 소식을 접한 노민우의 팬들은 “노민우, 남자가 봐도 예쁘네”, “노민우, 의외의 인물이랑 친하네”, “노민우, 손준호가 누구야” 등의 반응을 보였다.
## 소식을 접한 <노민우:PER>의 팬들은 “<노민우:PER>, 남자가 봐도 예쁘네”, “<노민우:PER>, 의외의 인물이랑 친하네”, “<노민우:PER>, <손준호:PER>가 누구야” 등의 반응을 보였다.
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
노민우	노민우	NNP	B-PER
의	의	JKG	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
노민우	노민우	NNP	B-PER
,	,	SP	O
_	_	_	O
남자	남자	NNG	O
가	가	JKS	O
_	_	_	O
봐도	보+아도	VV+EC	O
_	_	_	O
예쁘	예쁘	VA	O
네	네	EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
노민우	노민우	NNP	B-PER
,	,	SP	O
_	_	_	O
의외	의외	NNG	O
의	의	JKG	O
_	_	_	O
인물	인물	NNG	O
이랑	이랑	JC	O
_	_	_	O
친하	친하	VA	O
네	네	EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
노민우	노민우	NNP	B-PER
,	,	SP	O
_	_	_	O
손준호	손준호	NNP	B-PER
가	가	JKS	O
_	_	_	O
누구	누구+이	NP+VCP	O
야	야	EF	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이런 캐릭터에 두 사람의 펼쳐내는 연기가 더해져 ‘인기 8할’은 민아와 서현진이라는 평가가 잇따르고 있다.
## 이런 캐릭터에 <두 사람:NOH>의 펼쳐내는 연기가 더해져 ‘인기 <8할:PNT>’은 <민아:PER>와 <서현진:PER>이라는 평가가 잇따르고 있다.
이런	이런	MM	O
_	_	_	O
캐릭터	캐릭터	NNG	O
에	에	JKB	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
의	의	JKG	O
_	_	_	O
펼쳐	펼치+어	VV+EC	O
내	내	VX	O
는	는	ETM	O
_	_	_	O
연기	연기	NNG	O
가	가	JKS	O
_	_	_	O
더해	더하+여	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
‘	‘	SS	O
인기	인기	NNG	O
_	_	_	O
8	8	SN	B-PNT
할	할	NNB	I-PNT
’	’	SS	O
은	은	JX	O
_	_	_	O
민아	민아	NNP	B-PER
와	와	JC	O
_	_	_	O
서현진	서현진	NNP	B-PER
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
평가	평가	NNG	O
가	가	JKS	O
_	_	_	O
잇따르	잇따르	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 올들어 8월말까지 30대 재벌계열사의 증시를 통한 자금 조달실적은 전체 기업자금 조달의 57.8%에 달하는 9조6천5백2억원인 반면, 30대 재벌총수 및 직계비속들의 계열사 주식 보유는 모두 9천8백86만8천주로 시가는 총 2조9백60억원에 이른다고 민자당 김덕용의원이 4일 국회 재무위의 증권감독원 감사에서 밝혔다.
