## 1
## 울산바위를 휘감으며 밀려오는 운해(雲海)가 미시령 허리춤에 걸쳐진다.
## <울산바위:LOC>를 휘감으며 밀려오는 운해(雲海)가 <미시령:LOC> 허리춤에 걸쳐진다.
울산바위	울산바위	NNP	B-LOC
를	를	JKO	O
_	_	_	O
휘감	휘감	VV	O
으며	으며	EC	O
_	_	_	O
밀려오	밀려오	VV	O
는	는	ETM	O
_	_	_	O
운해	운해	NNG	O
(	(	SS	O
雲海	雲海	SH	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
미시령	미시령	NNP	B-LOC
_	_	_	O
허리춤	허리춤	NNG	O
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
진다	지+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## B:11시 5분전이오.
## B:<11시 5분:TIM>전이오.
B	B	SL	O
:	:	SP	O
11	11	SN	B-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
분전	분전	NNG	O
이	이	VCP	O
오	오	EF	O
.	.	SF	O

## 3
## 한 최고위원은 “최고위원 5명 중 ‘3 대 2’로 찬성이 많았다.
## 한 최고위원은 “최고위원 <5명:NOH> 중 ‘<3 대 2:NOH>’로 찬성이 많았다.
한	한	NNG	O
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
최고	최고	NNG	O
위원	위원	NNG	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
‘	‘	SS	O
3	3	SN	B-NOH
_	_	_	I-NOH
대	대	NNB	I-NOH
_	_	_	I-NOH
2	2	SN	I-NOH
’	’	SS	O
로	로	JKB	O
_	_	_	O
찬성	찬성	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## LG그룹은 LG화학이 배터리를 생산하면 LG전자가 이를 받아 배터리팩으로 조립해 완성차 업체에 공급하는 유기적 생산체계를 갖추겠다는 그림을 그리고 있다.
## <LG그룹:ORG>은 <LG화학:ORG>이 배터리를 생산하면 <LG전자:ORG>가 이를 받아 배터리팩으로 조립해 완성차 업체에 공급하는 유기적 생산체계를 갖추겠다는 그림을 그리고 있다.
LG	LG	SL	B-ORG
그룹	그룹	NNG	I-ORG
은	은	JX	O
_	_	_	O
LG	LG	SL	B-ORG
화학	화학	NNG	I-ORG
이	이	JKS	O
_	_	_	O
배터리	배터리	NNG	O
를	를	JKO	O
_	_	_	O
생산하	생산하	VV	O
면	면	EC	O
_	_	_	O
LG	LG	SL	B-ORG
전자	전자	NNG	I-ORG
가	가	JKS	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
배터리	배터리	NNG	O
팩	팩	NNG	O
으로	으로	JKB	O
_	_	_	O
조립해	조립하+여	VV+EC	O
_	_	_	O
완성	완성	NNG	O
차	차	NNG	O
_	_	_	O
업체	업체	NNG	O
에	에	JKB	O
_	_	_	O
공급하	공급하	VV	O
는	는	ETM	O
_	_	_	O
유기적	유기적	NNG	O
_	_	_	O
생산	생산	NNG	O
체계	체계	NNG	O
를	를	JKO	O
_	_	_	O
갖추	갖추	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
그림	그림	NNG	O
을	을	JKO	O
_	_	_	O
그리	그리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 아름다운 나의 신부 김무열, 약혼녀 고성희 실종… 어떻게 전개될까?
## 아름다운 나의 신부 <김무열:PER>, 약혼녀 <고성희:PER> 실종… 어떻게 전개될까?
아름다	아름답	VA	O
운	ㄴ	ETM	O
_	_	_	O
나	나	NP	O
의	의	JKG	O
_	_	_	O
신부	신부	NNG	O
_	_	_	O
김무열	김무열	NNP	B-PER
,	,	SP	O
_	_	_	O
약혼녀	약혼녀	NNG	O
_	_	_	O
고성희	고성희	NNP	B-PER
_	_	_	O
실종	실종	NNG	O
…	…	SE	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
전개될까	전개되+ㄹ까	VV+EF	O
?	?	SF	O

## 6
