## 1
## 한편 ‘휴먼다큐’는 매년 사랑이라는 주제를 통해 인간 내면의 가치와 진정한 삶의 의미를 되새기는 프로그램으로 올해 총 5부작으로 기획됐다.
## 한편 ‘<휴먼다큐:POH>’는 매년 사랑이라는 주제를 통해 인간 내면의 가치와 진정한 삶의 의미를 되새기는 프로그램으로 올해 총 <5부작:NOH>으로 기획됐다.
한편	한편	MAG	O
_	_	_	O
‘	‘	SS	O
휴먼	휴먼	NNG	B-POH
다큐	다큐	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
사랑	사랑	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
주제	주제	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
인간	인간	NNG	O
_	_	_	O
내면	내면	NNG	O
의	의	JKG	O
_	_	_	O
가치	가치	NNG	O
와	와	JC	O
_	_	_	O
진정한	진정하+ㄴ	VA+ETM	O
_	_	_	O
삶	삶	NNG	O
의	의	JKG	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
되새기	되새기	VV	O
는	는	ETM	O
_	_	_	O
프로그램	프로그램	NNG	O
으로	으로	JKB	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
총	총	MM	O
_	_	_	O
5	5	SN	B-NOH
부	부	NNB	I-NOH
작	작	XSN	I-NOH
으로	으로	JKB	O
_	_	_	O
기획	기획되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 뉴코아 강남점 화재 진화 완료… 700여 명 긴급 대피·인부 2명 병원 이송
## <뉴코아 강남점:LOC> 화재 진화 완료… <700여 명:NOH> 긴급 대피·인부 <2명:NOH> 병원 이송
뉴코아	뉴코아	NNP	B-LOC
_	_	_	I-LOC
강남	강남	NNP	I-LOC
점	점	XSN	I-LOC
_	_	_	O
화재	화재	NNG	O
_	_	_	O
진화	진화	NNG	O
_	_	_	O
완료	완료	NNG	O
…	…	SE	O
_	_	_	O
700	700	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
긴급	긴급	NNG	O
_	_	_	O
대피	대피	NNG	O
·	·	SP	O
인부	인부	NNG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
병원	병원	NNG	O
_	_	_	O
이송	이송	NNG	O

## 3
## ‘비정상회담’ 진중권 “이슬라모포비아 방지, 테러 대책 될 수 있다”
## ‘<비정상회담:POH>’ 진중권 “<이슬라모포비아:POH> 방지, 테러 대책 될 수 있다”
‘	‘	SS	O
비정상	비정상	NNG	B-POH
회담	회담	NNG	I-POH
’	’	SS	O
_	_	_	O
진중권	진중권	NNP	O
_	_	_	O
“	“	SS	O
이슬라	이슬라	NNP	B-POH
모	모	NNB	I-POH
포비아	포비아	NNG	I-POH
_	_	_	O
방지	방지	NNG	O
,	,	SP	O
_	_	_	O
테러	테러	NNG	O
_	_	_	O
대책	대책	NNG	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O

## 4
## 경비단은 특히 지난달 1일부터 캔류 재활용을 위해 휴게실, 연무관, 식당등 캔수요가 많은 5곳에 캔 자동압축기를 설치했고 지난달 5일부터는 우유팩과 폐지도 따로 모아 열흘만에 1백60여㎏을 수거하는 실적을 올렸다.
## 경비단은 특히 지난달 <1일:DAT>부터 캔류 재활용을 위해 휴게실, 연무관, 식당등 캔수요가 많은 <5곳:NOH>에 캔 자동압축기를 설치했고 지난달 <5일:DAT>부터는 우유팩과 폐지도 따로 모아 <열흘만:DUR>에 <1백60여㎏:NOH>을 수거하는 실적을 올렸다.
경비	경비	NNG	O
단	단	XSN	O
은	은	JX	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
캔	캔	NNG	O
류	류	XSN	O
_	_	_	O
재활용	재활용	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
휴게실	휴게실	NNG	O
,	,	SP	O
_	_	_	O
연무관	연무관	NNG	O
,	,	SP	O
_	_	_	O
식당	식당	NNG	O
등	등	NNB	O
_	_	_	O
캔	캔	NNG	O
수요	수요	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
5	5	SN	B-NOH
곳	곳	NNG	I-NOH
에	에	JKB	O
_	_	_	O
캔	캔	NNG	O
_	_	_	O
자동	자동	NNG	O
압축기	압축기	NNG	O
를	를	JKO	O
_	_	_	O
설치	설치하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
는	는	JX	O
_	_	_	O
우유	우유	NNG	O
팩	팩	NNG	O
과	과	JC	O
_	_	_	O
폐지	폐지	NNG	O
도	도	JX	O
_	_	_	O
따로	따로	MAG	O
_	_	_	O
모	모으	VV	O
아	아	EC	O
_	_	_	O
열흘	열흘	NNG	B-DUR
만	만	NNB	I-DUR
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
백	백	NR	I-NOH
60	60	SN	I-NOH
여	여	XSN	I-NOH
㎏	㎏	SW	I-NOH
을	을	JKO	O
_	_	_	O
수거하	수거하	VV	O
는	는	ETM	O
_	_	_	O
실적	실적	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 한 화면에 여러 개의 스티커 메모를 생성하는 것도 가능하다.
## <한:NOH> 화면에 여러 개의 스티커 메모를 생성하는 것도 가능하다.
한	한	MM	B-NOH
_	_	_	O
화면	화면	NNG	O
에	에	JKB	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
개	개	NNB	O
의	의	JKG	O
_	_	_	O
스티커	스티커	NNG	O
_	_	_	O
메모	메모	NNG	O
를	를	JKO	O
_	_	_	O
생성하	생성하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 2PM '우리집' 뮤비 속 신데렐라는 미코 출신 김유미… '콜라병 몸매' 후끈
## <2PM:ORG> '<우리집:POH>' 뮤비 속 신데렐라는 미코 출신 <김유미:PER>… '콜라병 몸매' 후끈
2	2	SN	B-ORG
PM	PM	SL	I-ORG
_	_	_	O
'	'	SS	O
우리	우리	NP	B-POH
집	집	NNG	I-POH
'	'	SS	O
_	_	_	O
뮤	뮤	NNG	O
비	비	XSN	O
_	_	_	O
속	속	NNG	O
_	_	_	O
신데렐라	신데렐라	NNP	O
는	는	JX	O
_	_	_	O
미코	미코	NNP	O
_	_	_	O
출신	출신	NNG	O
_	_	_	O
김유미	김유미	NNP	B-PER
…	…	SE	O
_	_	_	O
'	'	SS	O
콜라	콜라	NNG	O
병	병	NNG	O
_	_	_	O
몸매	몸매	NNG	O
'	'	SS	O
_	_	_	O
후끈	후끈	MAG	O

## 7
## 그는 『서울에서 너무 떨어지면 주택분양이 곤란해지는 문제가 있으므로 가까운 곳에 5백만∼6백만평인 분당이나 일산보다 크게 건설하는 게 바람직하다』고 말했다.
## 그는 『<서울:LOC>에서 너무 떨어지면 주택분양이 곤란해지는 문제가 있으므로 가까운 곳에 <5백만:NOH>∼<6백만평:NOH>인 <분당:LOC>이나 <일산:LOC>보다 크게 건설하는 게 바람직하다』고 말했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
『	『	SS	O
서울	서울	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
떨어지	떨어지	VV	O
면	면	EC	O
_	_	_	O
주택	주택	NNG	O
분양	분양	NNG	O
이	이	JKS	O
_	_	_	O
곤란해	곤란하+여	VA+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
으므로	으므로	EC	O
_	_	_	O
가까	가깝	VA	O
운	ㄴ	ETM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
_	_	_	O
5	5	SN	B-NOH
백만	백만	NR	I-NOH
∼	∼	SO	O
6	6	SN	B-NOH
백만	백만	NR	I-NOH
평	평	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
분당	분당	NNP	B-LOC
이나	이나	JC	O
_	_	_	O
일산	일산	NNP	B-LOC
보다	보다	JKB	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
건설하	건설하	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
바람직하	바람직하	VA	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 현재는 의회가 국민 고통에 답을 주지 못하고 상대를 향해 미움과 저주 퍼붓는 나라가 대한민국이다.
## 현재는 의회가 국민 고통에 답을 주지 못하고 상대를 향해 미움과 저주 퍼붓는 나라가 <대한민국:ORG>이다.
현재	현재	NNG	O
는	는	JX	O
_	_	_	O
의회	의회	NNG	O
가	가	JKS	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
고통	고통	NNG	O
에	에	JKB	O
_	_	_	O
답	답	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
고	고	EC	O
_	_	_	O
상대	상대	NNG	O
를	를	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
미움	미움	NNG	O
과	과	JC	O
_	_	_	O
저주	저주	NNG	O
_	_	_	O
퍼붓	퍼붓	VV	O
는	는	ETM	O
_	_	_	O
나라	나라	NNG	O
가	가	JKS	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 강예원의 지인들은 “눈 안 보이고, 귀 안 들리는 거 걱정된다.
## <강예원:PER>의 지인들은 “눈 안 보이고, 귀 안 들리는 거 걱정된다.
강예원	강예원	NNP	B-PER
의	의	JKG	O
_	_	_	O
지인	지인	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
눈	눈	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
보이	보이	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
귀	귀	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
들리	들리	VV	O
는	는	ETM	O
_	_	_	O
거	것	NNB	O
_	_	_	O
걱정된다	걱정되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 혼자 사는 아들(월 수입 160만원)은 어머니를 챙기지 못한다.
## 혼자 사는 아들(월 수입 <160만원:MNY>)은 어머니를 챙기지 못한다.
혼자	혼자	NNG	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
아들	아들	NNG	O
(	(	SS	O
월	월	NNG	O
_	_	_	O
수입	수입	NNG	O
_	_	_	O
160	160	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
은	은	JX	O
_	_	_	O
어머니	어머니	NNG	O
를	를	JKO	O
_	_	_	O
챙기	챙기	VV	O
지	지	EC	O
_	_	_	O
못한다	못하+ㄴ다	VX+EF	O
.	.	SF	O

## 11
## 슈틸리케호, 월드컵 최종예선 톱시드 확보 실패
## <슈틸리케호:ORG>, 월드컵 최종예선 톱시드 확보 실패
슈틸리케	슈틸리케	NNP	B-ORG
호	호	XSN	I-ORG
,	,	SP	O
_	_	_	O
월드컵	월드컵	NNG	O
_	_	_	O
최종	최종	NNG	O
예선	예선	NNG	O
_	_	_	O
톱	톱	NNG	O
시드	시드	NNG	O
_	_	_	O
확보	확보	NNG	O
_	_	_	O
실패	실패	NNG	O

