## 1
## 김 교수는 “차병원에서 하던 면역세포치료를 병용하면 항암 효능을 증진시킬 수 있을 것”이라며 “치료·연구의 개선점을 찾아 효율성을 극대화하는 게 목표”라고 말했다.
## <김:PER> 교수는 “<차병원:ORG>에서 하던 면역세포치료를 병용하면 항암 효능을 증진시킬 수 있을 것”이라며 “치료·연구의 개선점을 찾아 효율성을 극대화하는 게 목표”라고 말했다.
김	김	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
차병원	차병원	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
하	하	VV	O
던	던	ETM	O
_	_	_	O
면역	면역	NNG	O
세포	세포	NNG	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
병용하	병용하	VV	O
면	면	EC	O
_	_	_	O
항암	항암	NNG	O
_	_	_	O
효능	효능	NNG	O
을	을	JKO	O
_	_	_	O
증진	증진	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
치료	치료	NNG	O
·	·	SP	O
연구	연구	NNG	O
의	의	JKG	O
_	_	_	O
개선	개선	NNG	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
아	아	EC	O
_	_	_	O
효율	효율	NNG	O
성	성	XSN	O
을	을	JKO	O
_	_	_	O
극대화하	극대화하	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
목표	목표	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 지난 2월 중소기업중앙회가 109개 중소기업을 대상으로 실시한 ‘중소기업 브랜드 인식조사’에 따르면 중소기업의 98%는 기업을 성장시키는데 브랜드가 필요하지만 83%가 브랜드가 알려지지 않아 영업활동에 제약·한계를 느꼈다고 답했다.
