## 1
## 남송의 비평가인 조희곡은 자신이 쓴 ‘고화변(古畵辯)’에서 이렇게 말합니다.
## <남송:ORG>의 비평가인 <조희곡:PER>은 자신이 쓴 ‘<고화변:POH>(<古畵辯:POH>)’에서 이렇게 말합니다.
남송	남송	NNP	B-ORG
의	의	JKG	O
_	_	_	O
비평가	비평가	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
조	조	NNG	B-PER
희곡	희곡	NNG	I-PER
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
고	고	NNP	B-POH
화변	화변	NNG	I-POH
(	(	SS	O
古畵辯	古畵辯	SH	B-POH
)	)	SS	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
말합니다	말하+ㅂ니다	VV+EF	O
.	.	SF	O

## 2
## "가슴속에는 만권의 책이 있고, 눈 앞으로는 진기한 명적(名迹)을 실컷 보며, 또한 수레바퀴 자국과 말 발자국이 천하의 반은 되어야만 바야흐로 붓을 댈 수 있다.
## "가슴속에는 <만권:NOH>의 책이 있고, 눈 앞으로는 진기한 명적(名迹)을 실컷 보며, 또한 수레바퀴 자국과 말 발자국이 천하의 반은 되어야만 바야흐로 붓을 댈 수 있다.
"	"	SS	O
가슴속	가슴속	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
만	만	NR	B-NOH
권	권	NNB	I-NOH
의	의	JKG	O
_	_	_	O
책	책	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
눈	눈	NNG	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
진기한	진기하+ㄴ	VA+ETM	O
_	_	_	O
명적	명적	NNG	O
(	(	SS	O
名迹	名迹	SH	O
)	)	SS	O
을	을	JKO	O
_	_	_	O
실컷	실컷	MAG	O
_	_	_	O
보	보	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
또한	또한	MAG	O
_	_	_	O
수레바퀴	수레바퀴	NNG	O
_	_	_	O
자국	자국	NNG	O
과	과	JC	O
_	_	_	O
말	말	NNG	O
_	_	_	O
발자국	발자국	NNG	O
이	이	JKS	O
_	_	_	O
천하	천하	NNG	O
의	의	JKG	O
_	_	_	O
반	반	NNG	O
은	은	JX	O
_	_	_	O
되	되	VV	O
어야	어야	EC	O
만	만	JX	O
_	_	_	O
바야흐로	바야흐로	MAG	O
_	_	_	O
붓	붓	NNG	O
을	을	JKO	O
_	_	_	O
댈	대+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## "여기서 ‘만권의 책’은 인문학적인 소양을 말합니다.
## "여기서 ‘<만권:NOH>의 책’은 인문학적인 소양을 말합니다.
"	"	SS	O
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
‘	‘	SS	O
만	만	NR	B-NOH
권	권	NNB	I-NOH
의	의	JKG	O
_	_	_	O
책	책	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
인문학	인문학	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
소양	소양	NNG	O
을	을	JKO	O
_	_	_	O
말합니다	말하+ㅂ니다	VV+EF	O
.	.	SF	O

## 4
## 檢 “고영태 녹음파일 대부분 사적 대화”
## 檢 “<고영태:PER> 녹음파일 대부분 사적 대화”
檢	檢	SH	O
_	_	_	O
“	“	SS	O
고영태	고영태	NNP	B-PER
_	_	_	O
녹음	녹음	NNG	O
파일	파일	NNG	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
사적	사적	NNG	O
_	_	_	O
대화	대화	NNG	O
”	”	SS	O

## 5
## “매너 없는 사람들이 많구나”, “이효리 씨 힘내세요!”, “이효리 씨 얼마나 힘들었으면 이렇게 당부할까”라며 일부 관광객들의 행태에 대해 비판하고 이효리를 격려하는 댓글이 이어졌다.
## “매너 없는 사람들이 많구나”, “<이효리:PER> 씨 힘내세요!”, “<이효리:PER> 씨 얼마나 힘들었으면 이렇게 당부할까”라며 일부 관광객들의 행태에 대해 비판하고 <이효리:PER>를 격려하는 댓글이 이어졌다.
“	“	SS	O
매너	매너	NNG	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
구나	구나	EF	O
”	”	SS	O
,	,	SP	O
