## 1
## 최근 3년간 블로그, 소셜네트워크서비스(SNS) 글을 분석해보니 스테이크 요리법 언급이 높았기 때문이다.
## 최근 <3년간:DUR> 블로그, 소셜네트워크서비스(SNS) 글을 분석해보니 스테이크 요리법 언급이 높았기 때문이다.
최근	최근	NNG	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
블로그	블로그	NNG	O
,	,	SP	O
_	_	_	O
소셜	소셜	NNG	O
네트워크	네트워크	NNG	O
서비스	서비스	NNG	O
(	(	SS	O
SNS	SNS	SL	O
)	)	SS	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
분석해	분석하+여	VV+EC	O
보	보	VX	O
니	니	EC	O
_	_	_	O
스테이크	스테이크	NNG	O
_	_	_	O
요리법	요리법	NNG	O
_	_	_	O
언급	언급	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
았	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 특히 부유한 중국인 사이에선 한국의 부동산을 사서 영주권을 받으려는 수요가 꾸준하다.
## 특히 부유한 중국인 사이에선 <한국:LOC>의 부동산을 사서 영주권을 받으려는 수요가 꾸준하다.
특히	특히	MAG	O
_	_	_	O
부유한	부유하+ㄴ	VA+ETM	O
_	_	_	O
중국인	중국인	NNG	O
_	_	_	O
사이	사이	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
한국	한국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
부동산	부동산	NNG	O
을	을	JKO	O
_	_	_	O
사서	사+아서	VV+EC	O
_	_	_	O
영주권	영주권	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
으려는	으려는	ETM	O
_	_	_	O
수요	수요	NNG	O
가	가	JKS	O
_	_	_	O
꾸준하	꾸준하	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 안전 헬멧과 조끼, 간이 산소통을 착용한 뒤 승합차를 타고 경사 9.6도의 가파른 지하터널 5km를 달리고 나서야 사용후핵연료를 위한 ‘최후의 무덤’이 나타났다.
## 안전 헬멧과 조끼, 간이 산소통을 착용한 뒤 승합차를 타고 경사 <9.6도:NOH>의 가파른 지하터널 <5km:NOH>를 달리고 나서야 사용후핵연료를 위한 ‘최후의 무덤’이 나타났다.
안전	안전	NNG	O
_	_	_	O
헬멧	헬멧	NNG	O
과	과	JC	O
_	_	_	O
조끼	조끼	NNG	O
,	,	SP	O
_	_	_	O
간이	간이	NNG	O
_	_	_	O
산소통	산소통	NNG	O
을	을	JX	O
_	_	_	O
착용한	착용하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
승합차	승합차	NNG	O
를	를	JKO	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
경사	경사	NNG	O
_	_	_	O
9.6	9.6	SN	B-NOH
도	도	NNB	I-NOH
의	의	JKG	O
_	_	_	O
가파른	가파르+ㄴ	VA+ETM	O
_	_	_	O
지하	지하	NNG	O
터널	터널	NNG	O
_	_	_	O
5	5	SN	B-NOH
km	km	SL	I-NOH
를	를	JKO	O
_	_	_	O
달리	달리	VV	O
고	고	EC	O
_	_	_	O
나서	나+아서	VX+EC	O
야	야	JX	O
_	_	_	O
사용	사용	NNG	O
후	후	NNG	O
핵연료	핵연료	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
최후	최후	NNG	O
의	의	JKG	O
_	_	_	O
무덤	무덤	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 알왈리드 회장의 아버지인 탈랄 빈 압둘아지즈 알사우드(84)는 압둘아지즈의 아들들 중 가장 진보적인 성향으로 ‘붉은 왕자’라는 별명이 있다.
