## 1
## 문 대표는 이날 오전 국회에서 열린 최고위원회의 뒤 기자들과 만나 “노 의원 건은 오늘 최고위에서 당무감사원이 엄정하게 감사할 것을 지시했다.
## <문:PER> 대표는 이날 오전 국회에서 열린 최고위원회의 뒤 기자들과 만나 “<노:PER> 의원 건은 오늘 최고위에서 당무감사원이 엄정하게 감사할 것을 지시했다.
문	문	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
국회	국회	NNG	O
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
회의	회의	NNG	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
기자	기자	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
만나	만나+아	VV+EC	O
_	_	_	O
“	“	SS	O
노	노	NNG	B-PER
_	_	_	O
의원	의원	NNG	O
_	_	_	O
건	건	NNB	O
은	은	JX	O
_	_	_	O
오늘	오늘	NNG	O
_	_	_	O
최고	최고	NNG	O
위	위	NNG	O
에서	에서	JKB	O
_	_	_	O
당무	당무	NNG	O
감사원	감사원	NNG	O
이	이	JKS	O
_	_	_	O
엄정하	엄정하	VA	O
게	게	EC	O
_	_	_	O
감사할	감사하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
지시	지시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘풍문으로 들었소’ 백지연이 고아성의 사시 준비에 대해 비아냥거리며 ‘밉상’ 연기에 정점을 찍었다.
## ‘<풍문으로 들었소:POH>’ <백지연:PER>이 <고아성:PER>의 사시 준비에 대해 비아냥거리며 ‘밉상’ 연기에 정점을 찍었다.
‘	‘	SS	O
풍문	풍문	NNG	B-POH
으로	으로	JKB	I-POH
_	_	_	I-POH
들	듣	VV	I-POH
었	었	EP	I-POH
소	소	EF	I-POH
’	’	SS	O
_	_	_	O
백지연	백지연	NNP	B-PER
이	이	JKS	O
_	_	_	O
고아	고아	NNG	B-PER
성	성	XSN	I-PER
의	의	JKG	O
_	_	_	O
사시	사시	NNG	O
_	_	_	O
준비	준비	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
비아냥거리	비아냥거리	VV	O
며	며	EC	O
_	_	_	O
‘	‘	SS	O
밉상	밉상	NNG	O
’	’	SS	O
_	_	_	O
연기	연기	NNG	O
에	에	JKB	O
_	_	_	O
정점	정점	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

