## 1
## 최 창업주에 이어 회장을 맡은 고 최종현 회장은 1973년 취임하며 이 같은 방침을 내세웠다.
## <최:PER> 창업주에 이어 회장을 맡은 고 <최종현:PER> 회장은 <1973년:DAT> 취임하며 이 같은 방침을 내세웠다.
최	최	NNP	B-PER
_	_	_	O
창업주	창업주	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
회장	회장	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
은	은	ETM	O
_	_	_	O
고	고	MM	O
_	_	_	O
최종현	최종현	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
1973	1973	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
취임하	취임하	VV	O
며	며	EC	O
_	_	_	O
이	이	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
방침	방침	NNG	O
을	을	JKO	O
_	_	_	O
내세	내세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 에일리 컴백, SNS 통해 셀프 홍보…“예~! 많은 사랑과 관심 부탁드립니다!”에일리가 첫 번째 정규앨범 ‘비비드(VIVID)’를 공개하며 컴백했다.
## <에일리:PER> 컴백, SNS 통해 셀프 홍보…“예~! 많은 사랑과 관심 부탁드립니다!”<에일리:PER>가 첫 번째 정규앨범 ‘<비비드:POH>(<VIVID:POH>)’를 공개하며 컴백했다.
에일리	에일리	NNP	B-PER
_	_	_	O
컴백	컴백	NNG	O
,	,	SP	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
셀프	셀프	NNG	O
_	_	_	O
홍보	홍보	NNG	O
…	…	SE	O
“	“	SS	O
예	예	NNG	O
~	~	SO	O
!	!	SF	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
사랑	사랑	NNG	O
과	과	JC	O
_	_	_	O
관심	관심	NNG	O
_	_	_	O
부탁	부탁	NNG	O
드립니다	드리+ㅂ니다	XSV+EF	O
!	!	SF	O
”	”	SS	O
에일리	에일리	NNP	B-PER
가	가	JKS	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
정규	정규	NNG	O
앨범	앨범	NNG	O
_	_	_	O
‘	‘	SS	O
비비드	비비드	NNP	B-POH
(	(	SS	O
VIVID	VIVID	SL	B-POH
)	)	SS	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
컴백	컴백하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 가수 에일리는 30일 낮12시를 기점으로 국내 주요 음원사이트를 통해 첫 번째 정규앨범의 음원을 공개하며 컴백을 알렸다.
## 가수 <에일리:PER>는 <30일:DAT> <낮12시:TIM>를 기점으로 국내 주요 음원사이트를 통해 첫 번째 정규앨범의 음원을 공개하며 컴백을 알렸다.
가수	가수	NNG	O
_	_	_	O
에일리	에일리	NNP	B-PER
는	는	JX	O
_	_	_	O
30	30	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
낮	낮	NNG	B-TIM
12	12	SN	I-TIM
시	시	NNB	I-TIM
를	를	JKO	O
_	_	_	O
기점	기점	NNG	O
으로	으로	JKB	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
음원	음원	NNG	O
사이트	사이트	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
정규	정규	NNG	O
앨범	앨범	NNG	O
의	의	JKG	O
_	_	_	O
음원	음원	NNG	O
을	을	JKO	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
컴백	컴백	NNG	O
을	을	JKO	O
_	_	_	O
알	알리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 에일리는 자신의 SNS 계정을 통해 “드디어 저의 첫 정규 앨범 ‘VIVID’ 가 공개 되었습니다”라며 “예~! 많은 사랑과 관심 부탁드립니다!!!”이라는 글과 함께 노란색 배경에 노란색 의상의 사진을 공개했다.
## <에일리:PER>는 자신의 SNS 계정을 통해 “드디어 저의 첫 정규 앨범 ‘<VIVID:POH>’ 가 공개 되었습니다”라며 “예~! 많은 사랑과 관심 부탁드립니다!!!”이라는 글과 함께 노란색 배경에 노란색 의상의 사진을 공개했다.
에일리	에일리	NNP	B-PER
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
계정	계정	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
드디어	드디어	MAG	O
_	_	_	O
저	저	NP	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
정규	정규	NNG	O
_	_	_	O
앨범	앨범	NNG	O
_	_	_	O
‘	‘	SS	O
VIVID	VIVID	SL	B-POH
’	’	SS	O
_	_	_	O
가	가	JKS	O
_	_	_	O
공개	공개	NNG	O
_	_	_	O
되	되	VV	O
었	었	EP	O
습니다	습니다	EF	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
예	예	NNG	O
~	~	SO	O
!	!	SF	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
사랑	사랑	NNG	O
과	과	JC	O
_	_	_	O
관심	관심	NNG	O
_	_	_	O
부탁	부탁	NNG	O
드립니다	드리+ㅂ니다	XSV+EF	O
!	!	SF	O
!	!	SF	O
!	!	SF	O
”	”	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
과	과	JKB	O
_	_	_	O
