## 1
## 손수현 측, 이해준 감독과 결별설 부인 “잘 만나고 있다”
## <손수현:PER> 측, <이해준:PER> 감독과 결별설 부인 “잘 만나고 있다”
손수현	손수현	NNP	B-PER
_	_	_	O
측	측	NNB	O
,	,	SP	O
_	_	_	O
이해준	이해준	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
과	과	JKB	O
_	_	_	O
결별	결별	NNG	O
설	설	XSN	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
“	“	SS	O
잘	잘	MAG	O
_	_	_	O
만나	만나	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O

## 2
## 머모케이트 대사는 트위터에 "왜 현실 세계의 여성들은 선택될 수 없는가"라고 말했다.
## <머모케이트:PER> 대사는 <트위터:POH>에 "왜 현실 세계의 여성들은 선택될 수 없는가"라고 말했다.
머	머	NNG	B-PER
모	모	NNB	I-PER
케이트	케이트	NNP	I-PER
_	_	_	O
대사	대사	NNG	O
는	는	JX	O
_	_	_	O
트위터	트위터	NNP	B-POH
에	에	JKB	O
_	_	_	O
"	"	SS	O
왜	왜	MAG	O
_	_	_	O
현실	현실	NNG	O
_	_	_	O
세계	세계	NNG	O
의	의	JKG	O
_	_	_	O
여성	여성	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
선택될	선택되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는가	는가	EF	O
"	"	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 앤 마리 게츠 전 유엔 수석 고문은 "혐오스러운 결정"이라며 "(원더우먼의 무기 가운데 하나인) 진실의 올가미(lasso of truth)는 유엔의 위선을 드러내는 데 사용돼야 할 것"이라고 꼬집었다.
## <앤 마리 게츠:PER> 전 <유엔:ORG> 수석 고문은 "혐오스러운 결정"이라며 "(<원더우먼:PER>의 무기 가운데 <하나:NOH>인) <진실의 올가미:POH>(<lasso of truth:POH>)는 <유엔:ORG>의 위선을 드러내는 데 사용돼야 할 것"이라고 꼬집었다.
앤	앤	NNP	B-PER
_	_	_	I-PER
마리	마리	NNB	I-PER
_	_	_	I-PER
게츠	게츠	NNP	I-PER
_	_	_	O
전	전	NNG	O
_	_	_	O
유엔	유엔	NNP	B-ORG
_	_	_	O
수석	수석	NNG	O
_	_	_	O
고문	고문	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
혐오스러	혐오스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
결정	결정	NNG	O
"	"	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
"	"	SS	O
(	(	SS	O
원더	원더	NNP	B-PER
우먼	우먼	NNG	I-PER
의	의	JKG	O
_	_	_	O
무기	무기	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
하나	하나	NNG	B-NOH
인	이+ㄴ	VCP+ETM	O
)	)	SS	O
_	_	_	O
진실	진실	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
올가미	올가미	NNG	I-POH
(	(	SS	O
lasso	lasso	SL	B-POH
_	_	_	I-POH
of	of	SL	I-POH
_	_	_	I-POH
truth	truth	SL	I-POH
)	)	SS	O
는	는	JX	O
_	_	_	O
유엔	유엔	NNP	B-ORG
의	의	JKG	O
_	_	_	O
위선	위선	NNG	O
을	을	JKO	O
_	_	_	O
드러내	드러내	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
사용돼야	사용되+어야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
"	"	SS	O
이라고	이라고	JKQ	O
_	_	_	O
꼬집	꼬집	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 지난 13일 유엔은 원더우먼을 여권신장 명예대사로 임명하고, 원더우먼이 탄생 75주년을 맞는 오는 21일 미국 뉴욕 유엔본부에서 임명식을 열 것이라고 밝힌 바 있다.
## 지난 <13일:DAT> <유엔:ORG>은 원더우먼을 여권신장 명예대사로 임명하고, 원더우먼이 탄생 <75주년:NOH>을 맞는 오는 <21일:DAT> <미국:LOC> <뉴욕:LOC> <유엔본부:LOC>에서 임명식을 열 것이라고 밝힌 바 있다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
유엔	유엔	NNP	B-ORG
은	은	JX	O
_	_	_	O
원더	원더	NNP	O
우먼	우먼	NNG	O
을	을	JKO	O
_	_	_	O
여권	여권	NNG	O
신장	신장	NNG	O
_	_	_	O
명예	명예	NNG	O
대사	대사	NNG	O
로	로	JKB	O
_	_	_	O
임명하	임명하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
원더	원더	NNP	O
우먼	우먼	NNG	O
이	이	JKS	O
_	_	_	O
탄생	탄생	NNG	O
_	_	_	O
75	75	SN	B-NOH
주년	주년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
는	는	ETM	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
_	_	_	O
유엔	유엔	NNP	B-LOC
본부	본부	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
임명식	임명식	NNG	O
을	을	JKO	O
_	_	_	O
열	열+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 이 자리에는 반기문 유엔 사무총장도 참석할 예정이며, 기념우표도 발행할 예정으로 알려졌다.
## 이 자리에는 <반기문:PER> <유엔:ORG> 사무총장도 참석할 예정이며, 기념우표도 발행할 예정으로 알려졌다.
이	이	MM	O
_	_	_	O
자리	자리	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
반기문	반기문	NNP	B-PER
_	_	_	O
유엔	유엔	NNP	B-ORG
_	_	_	O
사무총장	사무총장	NNG	O
도	도	JX	O
