## 1
## 윤종신은 “MC보다는 이런 조사를 더 잘하는 사람”이라고 답하며 웃음을 자아냈다.
## <윤종신:PER>은 “MC보다는 이런 조사를 더 잘하는 사람”이라고 답하며 웃음을 자아냈다.
윤종신	윤종신	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
MC	MC	SL	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
잘하	잘하	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
답하	답하	VV	O
며	며	EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한 매체가 보도한 ‘2015 연예인 빌딩 부자 순위’에 따르면 1위 이수만, 2위 양현석에 이어 3위에 조재현이 올랐다.
## 한 매체가 보도한 ‘<2015:DAT> 연예인 빌딩 부자 순위’에 따르면 <1위:NOH> <이수만:PER>, <2위:NOH> <양현석:PER>에 이어 <3위:NOH>에 <조재현:PER>이 올랐다.
한	한	MM	O
_	_	_	O
매체	매체	NNG	O
가	가	JKS	O
_	_	_	O
보도한	보도하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-DAT
_	_	_	O
연예인	연예인	NNG	O
_	_	_	O
빌딩	빌딩	NNG	O
_	_	_	O
부자	부자	NNG	O
_	_	_	O
순위	순위	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
이수만	이수만	NNP	B-PER
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
양현석	양현석	NNP	B-PER
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
조재현	조재현	NNP	B-PER
이	이	JKS	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 런던의 작은 출판사 원월드에서 겨우 출간됐는데, 이 출판사는 2015년 ‘일곱 건의 살인에 대한 간략한 역사’에 이어 2년 연속 맨부커상 수상작을 낸 경사를 맞았다.
## <런던:ORG>의 작은 출판사 <원월드:ORG>에서 겨우 출간됐는데, 이 출판사는 <2015년:DAT> ‘<일곱 건의 살인에 대한 간략한 역사:POH>’에 이어 <2년:NOH> 연속 <맨부커상:POH> 수상작을 낸 경사를 맞았다.
런던	런던	NNP	B-ORG
의	의	JKG	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
