## 1
## 한편, 박유천-신세경의 ‘냄새를 보는 소녀’ 속 호흡 비결이 공개됐다.
## 한편, <박유천:PER>-<신세경:PER>의 ‘<냄새를 보는 소녀:POH>’ 속 호흡 비결이 공개됐다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
박유천	박유천	NNP	B-PER
-	-	SO	O
신세경	신세경	NNP	B-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
냄새	냄새	NNG	B-POH
를	를	JKO	I-POH
_	_	_	I-POH
보	보	VV	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
소녀	소녀	NNG	I-POH
’	’	SS	O
_	_	_	O
속	속	NNG	O
_	_	_	O
호흡	호흡	NNG	O
_	_	_	O
비결	비결	NNG	O
이	이	JKS	O
_	_	_	O
공개	공개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 유승민 의원, 대구 사무실의 박 대통령 사진 떼냈다
## <유승민:PER> 의원, <대구:LOC> 사무실의 <박:PER> 대통령 사진 떼냈다
유승민	유승민	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
,	,	SP	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	O
사무실	사무실	NNG	O
의	의	JKG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
떼	떼+어	VV+EC	O
냈	내+었	VX+EP	O
다	다	EF	O

## 3
## 원학동의 한 가운데가 위천면인데 이 곳에 황금원숭이마을(상천마을)이 있다.
## <원학동:LOC>의 한 가운데가 <위천면:LOC>인데 이 곳에 <황금원숭이마을:LOC>(<상천마을:LOC>)이 있다.
원	원	NNB	B-LOC
학동	학동	NNG	I-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
가운데	가운데	NNG	O
가	가	JKS	O
_	_	_	O
위천면	위천면	NNP	B-LOC
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
_	_	_	O
황금	황금	NNG	B-LOC
원숭이	원숭이	NNG	I-LOC
마을	마을	NNG	I-LOC
(	(	SS	O
상천	상천	NNG	B-LOC
마을	마을	NNG	I-LOC
)	)	SS	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 박근혜 대통령은 후보 시절에 “집권 후에는 4년 중임제와 국민 기본권 강화를 포함한 여러 과제에 대해 충분히 논의하겠다”고 말했으나 대통령이 되고 나서는 개헌론이 불거질 때마다 ‘국정의 블랙홀’을 들먹이며 제동을 걸었다.
## <박근혜:PER> 대통령은 후보 시절에 “집권 후에는 <4년:NOH> 중임제와 국민 기본권 강화를 포함한 여러 과제에 대해 충분히 논의하겠다”고 말했으나 대통령이 되고 나서는 개헌론이 불거질 때마다 ‘국정의 블랙홀’을 들먹이며 제동을 걸었다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
시절	시절	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
집권	집권	NNG	O
_	_	_	O
후	후	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
4	4	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
중임	중임	NNG	O
제	제	XSN	O
와	와	JC	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
기본권	기본권	NNG	O
_	_	_	O
강화	강화	NNG	O
를	를	JKO	O
_	_	_	O
포함한	포함하+ㄴ	VV+ETM	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
과제	과제	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
충분히	충분히	MAG	O
_	_	_	O
논의하	논의하	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	었	EP	O
으나	으나	EC	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
나서	나+아서	VX+EC	O
는	는	JX	O
_	_	_	O
개헌	개헌	NNG	O
론	론	XSN	O
이	이	JKS	O
_	_	_	O
불거질	불거지+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
마다	마다	JX	O
_	_	_	O
‘	‘	SS	O
국정	국정	NNG	O
의	의	JKG	O
_	_	_	O
블랙홀	블랙홀	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
들먹이	들먹이	VV	O
며	며	EC	O
_	_	_	O
제동	제동	NNG	O
을	을	JKO	O
_	_	_	O
걸	걸	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그에게 朴은 꼭 뭔가 보여줬던 선수… 본인이 필요하다
## 그에게 <朴:PER>은 꼭 뭔가 보여줬던 선수… 본인이 필요하다
그	그	NP	O
에게	에게	JKB	O
_	_	_	O
朴	朴	SH	B-PER
은	은	JX	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
뭔가	뭐+이+ㄴ가	NP+VCP+EC	O
_	_	_	O
보	보이	VV	O
여	어+주	EC+VX	O
줬	었	EP	O
던	던	ETM	O
_	_	_	O
선수	선수	NNG	O
…	…	SE	O
_	_	_	O
본인	본인	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O

## 6
## 산림청은 경북 봉화군에 있는 국립백두대간수목원 ‘호랑이 숲’에 백두산호랑이 3마리를 6~7월경 추가 도입키로 했다고 12일 밝혔다.
## <산림청:ORG>은 <경북:LOC> <봉화군:LOC>에 있는 <국립백두대간수목원:POH> ‘<호랑이 숲:POH>’에 백두산호랑이 <3마리:NOH>를 <6:DAT>~<7월:DAT>경 추가 도입키로 했다고 <12일:DAT> 밝혔다.
산림청	산림청	NNG	B-ORG
은	은	JX	O
_	_	_	O
경북	경북	NNP	B-LOC
_	_	_	O
봉화군	봉화군	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
국립	국립	NNG	B-POH
백두대간	백두대간	NNG	I-POH
수목원	수목원	NNG	I-POH
_	_	_	O
‘	‘	SS	O
호랑이	호랑이	NNG	B-POH
_	_	_	I-POH
숲	숲	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
백두산	백두산	NNP	O
호랑이	호랑이	NNG	O
_	_	_	O
3	3	SN	B-NOH
마리	마리	NNB	I-NOH
를	를	JKO	O
_	_	_	O
6	6	SN	B-DAT
~	~	SO	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
경	경	XSN	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
도입	도입하	VV	O
키	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다고	다고	EC	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 대법원 전원합의체(주심 김소영 대법관)는 이날 오후 2시 서울 서초구 대법원 대법정에서 살인 및 살인미수, 수난구조법 위반 등의 혐의로 기소된 이준석 선장에 대한 상고심에서 무기징역을 선고한 원심을 확정했다.
## <대법원:ORG> 전원합의체(주심 <김소영:PER> 대법관)는 이날 <오후 2시:TIM> <서울:LOC> <서초구:LOC> <대법원:ORG> 대법정에서 살인 및 살인미수, 수난구조법 위반 등의 혐의로 기소된 <이준석:PER> 선장에 대한 상고심에서 무기징역을 선고한 원심을 확정했다.
대법원	대법원	NNG	B-ORG
_	_	_	O
전원	전원	NNG	O
합의체	합의체	NNG	O
(	(	SS	O
주심	주심	NNG	O
_	_	_	O
김소영	김소영	NNP	B-PER
_	_	_	O
대법관	대법관	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
2	2	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
서초구	서초구	NNP	B-LOC
_	_	_	O
대법원	대법원	NNG	B-ORG
_	_	_	O
대법정	대법정	NNG	O
에서	에서	JKB	O
_	_	_	O
살인	살인	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
살인	살인	NNG	O
미수	미수	NNG	O
,	,	SP	O
_	_	_	O
수난	수난	NNG	O
구조	구조	NNG	O
법	법	XSN	O
_	_	_	O
위반	위반	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소된	기소되+ㄴ	VV+ETM	O
_	_	_	O
이준석	이준석	NNP	B-PER
_	_	_	O
선장	선장	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
상고심	상고심	NNG	O
에서	에서	JKB	O
_	_	_	O
무기	무기	NNG	O
징역	징역	NNG	O
을	을	JKO	O
_	_	_	O
선고한	선고하+ㄴ	VV+ETM	O
_	_	_	O
원심	원심	NNG	O
을	을	JKO	O
_	_	_	O
확정	확정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 함께 기소된 선원 14명에 대해서도 징역 1년6개월~12년을 선고한 원심을 확정했다.
## 함께 기소된 선원 <14명:NOH>에 대해서도 징역 <1년6개월~12년:DAT>을 선고한 원심을 확정했다.
함께	함께	MAG	O
_	_	_	O
기소된	기소되+ㄴ	VV+ETM	O
_	_	_	O
선원	선원	NNG	O
_	_	_	O
14	14	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
도	도	JX	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
1	1	SN	B-DAT
년	년	NNB	I-DAT
6	6	SN	I-DAT
개월	개월	NNB	I-DAT
~	~	SO	I-DAT
12	12	SN	I-DAT
년	년	NNB	I-DAT
을	을	JKO	O
_	_	_	O
선고한	선고하+ㄴ	VV+ETM	O
_	_	_	O
원심	원심	NNG	O
을	을	JKO	O
_	_	_	O
확정	확정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 1심 재판부는 세월호 이준석 선장에게 살인죄를 적용하지 않고, 유기치사죄를 인정해 징역 36년을 선고한 바 있다.
## <1심:NOH> 재판부는 <세월호:POH> <이준석:PER> 선장에게 살인죄를 적용하지 않고, 유기치사죄를 인정해 징역 <36년:NOH>을 선고한 바 있다.
1	1	SN	B-NOH
심	심	NNG	I-NOH
_	_	_	O
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
이준석	이준석	NNP	B-PER
_	_	_	O
선장	선장	NNG	O
에게	에게	JKB	O
_	_	_	O
살인죄	살인죄	NNG	O
를	를	JKO	O
_	_	_	O
적용하	적용하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
유기	유기	NNG	O
치사죄	치사죄	NNG	O
를	를	JKO	O
_	_	_	O
인정해	인정하+여	VV+EC	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
36	36	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선고한	선고하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 하지만 2심 재판부는 이 선장에게 살인의 미필적 고의가 있었다고 인정해 무기징역을 선고했다.
## 하지만 <2심:NOH> 재판부는 이 선장에게 살인의 미필적 고의가 있었다고 인정해 무기징역을 선고했다.
하지만	하지만	MAJ	O
_	_	_	O
2	2	SN	B-NOH
심	심	NNG	I-NOH
_	_	_	O
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
선장	선장	NNG	O
에게	에게	JKB	O
_	_	_	O
살인	살인	NNG	O
의	의	JKG	O
_	_	_	O
미필	미필	NNG	O
적	적	XSN	O
_	_	_	O
고의	고의	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
인정해	인정하+여	VV+EC	O
_	_	_	O
무기	무기	NNG	O
징역	징역	NNG	O
을	을	JKO	O
_	_	_	O
선고	선고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 조호성이 은퇴한 뒤 노태경, 이욱동으로 대표되는 세대교체, 4점대 이상의 고기어 추세에 적응하지 못하며 2010년 10승으로 성적이 곤두박질쳤다.
## <조호성:PER>이 은퇴한 뒤 <노태경:PER>, <이욱동:PER>으로 대표되는 세대교체, <4점:NOH>대 이상의 고기어 추세에 적응하지 못하며 <2010년:DAT> <10승:NOH>으로 성적이 곤두박질쳤다.
조호성	조호성	NNP	B-PER
이	이	JKS	O
_	_	_	O
은퇴한	은퇴하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
노태경	노태경	NNP	B-PER
,	,	SP	O
_	_	_	O
이욱동	이욱동	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
대표	대표	NNG	O
되	되	XSV	O
는	는	ETM	O
_	_	_	O
세대	세대	NNG	O
교체	교체	NNG	O
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
점	점	NNB	I-NOH
대	대	XSN	O
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
고기	고기	NNG	O
어	어	NNG	O
_	_	_	O
추세	추세	NNG	O
에	에	JKB	O
_	_	_	O
적응하	적응하	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
며	며	EC	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
10	10	SN	B-NOH
승	승	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
성적	성적	NNG	O
이	이	JKS	O
_	_	_	O
곤두박질	곤두박질치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

