## 1
## 한편 하춘화는 6살인 1961년에 노래 ‘효녀 심청 되오리다’로 데뷔해 ‘난생 처음’ ‘우리 사랑 가슴으로’ ‘연인의 부르스’ 등의 히트곡을 남겼다.
## 한편 <하춘화:PER>는 <6살:NOH>인 <1961년:DAT>에 노래 ‘<효녀 심청 되오리다:POH>’로 데뷔해 ‘<난생 처음:POH>’ ‘<우리 사랑 가슴으로:POH>’ ‘<연인의 부르스:POH>’ 등의 히트곡을 남겼다.
한편	한편	MAG	O
_	_	_	O
하춘화	하춘화	NNP	B-PER
는	는	JX	O
_	_	_	O
6	6	SN	B-NOH
살	살	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
1961	1961	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
노래	노래	NNG	O
_	_	_	O
‘	‘	SS	O
효녀	효녀	NNG	B-POH
_	_	_	I-POH
심청	심청	NNP	I-POH
_	_	_	I-POH
되	되	VV	I-POH
오리다	오리다	EF	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
데뷔해	데뷔하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
난생	난생	MAG	B-POH
_	_	_	I-POH
처음	처음	NNG	I-POH
’	’	SS	O
_	_	_	O
‘	‘	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
사랑	사랑	NNG	I-POH
_	_	_	I-POH
가슴	가슴	NNG	I-POH
으로	으로	JKB	I-POH
’	’	SS	O
_	_	_	O
‘	‘	SS	O
연인	연인	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
부르스	부르스	NNP	I-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
히트	히트	NNG	O
곡	곡	NNG	O
을	을	JKO	O
_	_	_	O
남	남기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 컴백 앞둔 EXID ‘팬이 먼저다’
## 컴백 앞둔 <EXID:ORG> ‘팬이 먼저다’
컴백	컴백	NNG	O
_	_	_	O
앞둔	앞두+ㄴ	VV+ETM	O
_	_	_	O
EXID	EXID	SL	B-ORG
_	_	_	O
‘	‘	SS	O
팬	팬	NNG	O
이	이	JKS	O
_	_	_	O
먼저	먼저+이	NNG+VCP	O
다	다	EF	O
’	’	SS	O

## 3
## 반면 현장세가 하락해 지수가 9백선에 이를 경우에는 적극적인 매수를 권하고 싶다.
## 반면 현장세가 하락해 지수가 <9백:NOH>선에 이를 경우에는 적극적인 매수를 권하고 싶다.
반면	반면	NNG	O
_	_	_	O
현장	현장	NNG	O
세	세	NNG	O
가	가	JKS	O
_	_	_	O
하락해	하락하+여	VV+EC	O
_	_	_	O
지수	지수	NNG	O
가	가	JKS	O
_	_	_	O
9	9	SN	B-NOH
백	백	NR	I-NOH
선	선	NNG	O
에	에	JKB	O
_	_	_	O
이를	이르+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
