## 1
## 고려대 경영대학이 명문 비즈니스 스쿨 연합인 CEMS 정회원 자격을 획득함에 따라 GMBA&MIM도 새롭게 선보였다.
## <고려대 경영대학:ORG>이 명문 비즈니스 스쿨 연합인 <CEMS:ORG> 정회원 자격을 획득함에 따라 <GMBA&MIM:POH>도 새롭게 선보였다.
고려대	고려대	NNP	B-ORG
_	_	_	I-ORG
경영	경영	NNG	I-ORG
대학	대학	NNG	I-ORG
이	이	JKS	O
_	_	_	O
명문	명문	NNG	O
_	_	_	O
비즈니스	비즈니스	NNG	O
_	_	_	O
스쿨	스쿨	NNG	O
_	_	_	O
연합	연합	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
CEMS	CEMS	SL	B-ORG
_	_	_	O
정회원	정회원	NNG	O
_	_	_	O
자격	자격	NNG	O
을	을	JKO	O
_	_	_	O
획득함	획득하+ㅁ	VV+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
GMBA	GMBA	SL	B-POH
&	&	SW	I-POH
MIM	MIM	SL	I-POH
도	도	JX	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
선보	선보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 美국무부 “수사 지켜봐야” 신중… 어산지 “힐러리 측의 물타기”
## <美국무부:ORG> “수사 지켜봐야” 신중… <어산지:PER> “<힐러리:PER> 측의 물타기”
美	美	SH	B-ORG
국무부	국무부	NNG	I-ORG
_	_	_	O
“	“	SS	O
수사	수사	NNG	O
_	_	_	O
지켜봐야	지켜보+아야	VV+EF	O
”	”	SS	O
_	_	_	O
신중	신중	NNG	O
…	…	SE	O
_	_	_	O
어산	어산	NNG	B-PER
지	지	XSN	I-PER
_	_	_	O
“	“	SS	O
힐러리	힐러리	NNP	B-PER
_	_	_	O
측	측	NNB	O
의	의	JKG	O
_	_	_	O
물타기	물타기	NNG	O
”	”	SS	O

## 3
## 3G 만에 멀티골…14골 정조국 추격 성남FC 티아고(23)가 중동리그로 이적하면서 득점왕을 향한 광주FC 정조국(32)의 독주체제에 힘이 실렸다.
## <3G:NOH> 만에 멀티골…<14골:NOH> <정조국:PER> 추격 <성남FC:ORG> <티아고:PER>(<23:NOH>)가 <중동리그:ORG>로 이적하면서 득점왕을 향한 <광주FC:ORG> <정조국:PER>(<32:NOH>)의 독주체제에 힘이 실렸다.
3	3	SN	B-NOH
G	G	SL	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
멀티	멀티	NNG	O
골	골	NNG	O
…	…	SE	O
14	14	SN	B-NOH
골	골	NNG	I-NOH
_	_	_	O
정조국	정조국	NNP	B-PER
_	_	_	O
추격	추격	NNG	O
_	_	_	O
성남	성남	NNP	B-ORG
FC	FC	SL	I-ORG
_	_	_	O
티아고	티아고	NNP	B-PER
(	(	SS	O
23	23	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
중동	중동	NNP	B-ORG
리그	리그	NNG	I-ORG
로	로	JKB	O
_	_	_	O
이적하	이적하	VV	O
면서	면서	EC	O
_	_	_	O
득점	득점	NNG	O
왕	왕	XSN	O
을	을	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
_	_	_	O
광주	광주	NNP	B-ORG
FC	FC	SL	I-ORG
_	_	_	O
정조국	정조국	NNP	B-PER
(	(	SS	O
32	32	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
독주	독주	NNG	O
체제	체제	NNG	O
에	에	JKB	O
_	_	_	O
힘	힘	NNG	O
이	이	JKS	O
_	_	_	O
실	실리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 7일 상하이주가지수는 전날보다 1.29% 빠진 3,727.13을 기록했고 선전지수는 무려 5.80% 하락한 11,375.60으로 떨어졌다.
## <7일:DAT> <상하이:ORG>주가지수는 전날보다 <1.29%:PNT> 빠진 <3,727.13:NOH>을 기록했고 선전지수는 무려 <5.80%:PNT> 하락한 <11,375.60:NOH>으로 떨어졌다.
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
상하이	상하이	NNP	B-ORG
주가	주가	NNG	O
지수	지수	NNG	O
는	는	JX	O
_	_	_	O
전날	전날	NNG	O
보다	보다	JKB	O
_	_	_	O
1.29	1.29	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
3,727.13	3,727.13	SN	B-NOH
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
선전	선전	NNG	O
지수	지수	NNG	O
는	는	JX	O
_	_	_	O
무려	무려	MAG	O
_	_	_	O
5.80	5.80	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
하락한	하락하+ㄴ	VV+ETM	O
_	_	_	O
11,375.60	11,375.60	SN	B-NOH
으로	으로	JKB	O
_	_	_	O
떨어	떨어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 소속사 이든나인의 한 관계자는 5월31일 “‘신과 함께’가 현재 시나리오 작업 중인 만큼 완성된 내용을 확인하고 출연 여부를 최종 확정할 계획”이라고 밝혔다.
## 소속사 <이든나인:ORG>의 한 관계자는 <5월31일:DAT> “‘<신과 함께:POH>’가 현재 시나리오 작업 중인 만큼 완성된 내용을 확인하고 출연 여부를 최종 확정할 계획”이라고 밝혔다.
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
이든	이든	NNG	B-ORG
나인	나인	NNG	I-ORG
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
31	31	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
‘	‘	SS	O
신	신	NNG	B-POH
과	과	JKB	I-POH
_	_	_	I-POH
함께	함께	MAG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
시나리오	시나리오	NNG	O
_	_	_	O
작업	작업	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
완성된	완성되+ㄴ	VV+ETM	O
_	_	_	O
내용	내용	NNG	O
을	을	JKO	O
_	_	_	O
확인하	확인하	VV	O
고	고	EC	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
여부	여부	NNG	O
를	를	JKO	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
확정할	확정하+ㄹ	VV+ETM	O
