## 1
## 지금도 한양대 사이버대 상담심리학과에 다니고 있어요.
## 지금도 <한양대 사이버대 상담심리학과:ORG>에 다니고 있어요.
지금	지금	NNG	O
도	도	JX	O
_	_	_	O
한양대	한양대	NNP	B-ORG
_	_	_	I-ORG
사이버	사이버	NNG	I-ORG
대	대	NNG	I-ORG
_	_	_	I-ORG
상담	상담	NNG	I-ORG
심리학	심리학	NNG	I-ORG
과	과	NNG	I-ORG
에	에	JKB	O
_	_	_	O
다니	다니	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어요	어요	EF	O
.	.	SF	O

## 2
## 하지만 새누리당 소속 위원 11명 중 나경원 외통위원장과 강창희 정병국 김영우 의원 등 4명만 참석해 ‘반쪽짜리도 안 되는 간담회’라는 지적이 나왔다.
## 하지만 <새누리당:ORG> 소속 위원 <11명:NOH> 중 <나경원:PER> 외통위원장과 <강창희:PER> 정병국 <김영우:PER> 의원 등 <4명:NOH>만 참석해 ‘<반쪽:NOH>짜리도 안 되는 간담회’라는 지적이 나왔다.
하지만	하지만	MAJ	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
소속	소속	NNG	O
_	_	_	O
위원	위원	NNG	O
_	_	_	O
11	11	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNP	O
_	_	_	O
나경원	나경원	NNP	B-PER
_	_	_	O
외통위	외통위	NNG	O
원장	원장	NNG	O
과	과	JC	O
_	_	_	O
강창희	강창희	NNP	B-PER
_	_	_	O
정병국	정병국	NNP	O
_	_	_	O
김영우	김영우	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
만	만	JX	O
_	_	_	O
참석해	참석하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
반쪽	반쪽	NNG	B-NOH
짜리	짜리	XSN	O
도	도	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
간담회	간담회	NNG	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
지적	지적	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 내년 대선을 앞둔 한국에서도 분노, 비방의 정치를 막아야 한다는 목소리가 높다.
## 내년 대선을 앞둔 <한국:ORG>에서도 분노, 비방의 정치를 막아야 한다는 목소리가 높다.
내년	내년	NNG	O
_	_	_	O
대선	대선	NNG	O
을	을	JKO	O
_	_	_	O
앞둔	앞두+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
분노	분노	NNG	O
,	,	SP	O
_	_	_	O
비방	비방	NNG	O
의	의	JKG	O
_	_	_	O
정치	정치	NNG	O
를	를	JKO	O
_	_	_	O
막	막	VV	O
아야	아야	EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
목소리	목소리	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 문재인 전 더불어민주당 대표가 전인범 전 특전사령관을 캠프에 영입했다고 발표한 가운데, 전 전 특전사령관이 자신의 페이스북을 통해 "페북친구 5000명중 현재까지 28명이 이탈했습니다.
## <문재인:PER> 전 <더불어민주당:ORG> 대표가 <전인범:PER> 전 특전사령관을 캠프에 영입했다고 발표한 가운데, <전:PER> 전 특전사령관이 자신의 <페이스북:POH>을 통해 "페북친구 <5000명:NOH>중 현재까지 <28명:NOH>이 이탈했습니다.
문재인	문재인	NNP	B-PER
_	_	_	O
전	저+ㄴ	NP+JX	O
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
대표	대표	NNG	O
가	가	JKS	O
_	_	_	O
전인범	전인범	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
특전	특전	NNG	O
사령관	사령관	NNG	O
을	을	JKO	O
_	_	_	O
캠프	캠프	NNG	O
에	에	JKB	O
_	_	_	O
영입	영입하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
전	전	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
특전	특전	NNG	O
사령관	사령관	NNG	O
이	이	JKS	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
"	"	SS	O
페북	페북	NNP	O
친구	친구	NNG	O
_	_	_	O
5000	5000	SN	B-NOH
명	명	NNB	I-NOH
중	중	NNB	O
_	_	_	O
현재	현재	NNG	O
까지	까지	JX	O
_	_	_	O
28	28	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
이탈	이탈하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 5
## SK는 화장 문화 대중화를 위해 화장 시설을 기증하거나 사회적기업을 지원하는 활동 등을 통해 한국의 사회공헌 활동을 선도해 왔다.
## <SK:ORG>는 화장 문화 대중화를 위해 화장 시설을 기증하거나 사회적기업을 지원하는 활동 등을 통해 <한국:ORG>의 사회공헌 활동을 선도해 왔다.
SK	SK	SL	B-ORG
는	는	JX	O
_	_	_	O
화장	화장	NNG	O
_	_	_	O
문화	문화	NNG	O
_	_	_	O
대중화	대중화	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
화장	화장	NNG	O
_	_	_	O
시설	시설	NNG	O
을	을	JKO	O
_	_	_	O
기증하	기증하	VV	O
거나	거나	EC	O
_	_	_	O
사회적	사회적	NNG	O
기업	기업	NNG	O
을	을	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사회	사회	NNG	O
공헌	공헌	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
선도해	선도하+여	VV+EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 미국의 ABC방송이 건강에는 좋은 식품으로 알려져 있지만 만 치아에는 악영향을 끼치는 의외의 식품 4가지를 소개했다.
