## 1
## 또 "촬영 현장이 습도도 넙고 기온도 40도정도였다.
## 또 "촬영 현장이 습도도 넙고 기온도 <40도:NOH>정도였다.
또	또	MAG	O
_	_	_	O
"	"	SS	O
촬영	촬영	NNG	O
_	_	_	O
현장	현장	NNG	O
이	이	JKS	O
_	_	_	O
습도	습도	NNG	O
도	도	JX	O
_	_	_	O
넙	넙	NNG	O
고	고	JKQ	O
_	_	_	O
기온	기온	NNG	O
도	도	JX	O
_	_	_	O
40	40	SN	B-NOH
도	도	NNB	I-NOH
정도	정도+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한편 이와 관련해 서울대 권두환(權斗煥)교무처장은 “현재 영어면접 전면 도입과 관련해 어떠한 검토도 이루어지지 않고 있어 언제부터 영어면접이 가능할지는 알 수 없다”며 “총장의 말은 영어학습의 필요성을 강조하는 원론적인 말로 해석해 달라”고 말했다.
## 한편 이와 관련해 <서울대:ORG> <권두환:PER>(<權斗煥:PER>)교무처장은 “현재 영어면접 전면 도입과 관련해 어떠한 검토도 이루어지지 않고 있어 언제부터 영어면접이 가능할지는 알 수 없다”며 “총장의 말은 영어학습의 필요성을 강조하는 원론적인 말로 해석해 달라”고 말했다.
한편	한편	MAG	O
_	_	_	O
이	이	NP	O
와	와	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
서울대	서울대	NNP	B-ORG
_	_	_	O
권두환	권두환	NNP	B-PER
(	(	SS	O
權斗煥	權斗煥	SH	B-PER
)	)	SS	O
교무처	교무처	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
현재	현재	MAG	O
_	_	_	O
영어	영어	NNP	O
면접	면접	NNG	O
_	_	_	O
전면	전면	NNG	O
_	_	_	O
도입	도입	NNG	O
과	과	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
어떠한	어떠하+ㄴ	VA+ETM	O
_	_	_	O
검토	검토	NNG	O
도	도	JX	O
_	_	_	O
이루어지	이루어지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
언제	언제	NP	O
부터	부터	JX	O
_	_	_	O
영어	영어	NNP	O
면접	면접	NNG	O
이	이	JKS	O
_	_	_	O
가능할지	가능하+ㄹ지	VA+EC	O
는	는	JX	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
총장	총장	NNG	O
의	의	JKG	O
_	_	_	O
말	말	NNG	O
은	은	JX	O
_	_	_	O
영어	영어	NNP	O
학습	학습	NNG	O
의	의	JKG	O
_	_	_	O
필요성	필요성	NNG	O
을	을	JKO	O
_	_	_	O
강조하	강조하	VV	O
는	는	ETM	O
_	_	_	O
원론적	원론적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
말	말	NNG	O
로	로	JKB	O
_	_	_	O
해석해	해석하+여	VV+EC	O
_	_	_	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 IARC는 육식과 암의 상관관계를 연구한 800개 이상의 논문을 분석한 결과 “가공육을 매일 50g 먹을 경우 암에 걸릴 가능성이 18% 높아진다”는 결론을 내렸다고 밝혔다.
## 한편 <IARC:ORG>는 육식과 암의 상관관계를 연구한 <800개:NOH> 이상의 논문을 분석한 결과 “가공육을 매일 <50g:NOH> 먹을 경우 암에 걸릴 가능성이 <18%:PNT> 높아진다”는 결론을 내렸다고 밝혔다.
한편	한편	MAG	O
_	_	_	O
IARC	IARC	SL	B-ORG
는	는	JX	O
_	_	_	O
육식	육식	NNG	O
과	과	JC	O
_	_	_	O
암	암	NNG	O
의	의	JKG	O
_	_	_	O
상관관계	상관관계	NNG	O
를	를	JKO	O
_	_	_	O
연구한	연구하+ㄴ	VV+ETM	O
_	_	_	O
800	800	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
논문	논문	NNG	O
을	을	JKO	O
_	_	_	O
분석한	분석하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
“	“	SS	O
가공	가공	NNG	O
육	육	NNG	O
을	을	JKO	O
_	_	_	O
매일	매일	MAG	O
_	_	_	O
50	50	SN	B-NOH
g	g	SL	I-NOH
_	_	_	O
먹	먹	VV	O
을	을	ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
암	암	NNG	O
에	에	JKB	O
_	_	_	O
걸릴	걸리+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
18	18	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
높아진다	높아지+ㄴ다	VV+EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
결론	결론	NNG	O
을	을	JKO	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 일반 상장기업들의 회계처리부실 비율(1%)과 비교하기 어려울 정도로 높은 수치다.
## 일반 상장기업들의 회계처리부실 비율(<1%:PNT>)과 비교하기 어려울 정도로 높은 수치다.
일반	일반	NNG	O
_	_	_	O
상장	상장	NNG	O
기업	기업	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
회계	회계	NNG	O
처리	처리	NNG	O
부실	부실	NNG	O
_	_	_	O
비율	비율	NNG	O
(	(	SS	O
1	1	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
과	과	JKB	O
_	_	_	O
비교하	비교하	VV	O
기	기	ETN	O
_	_	_	O
어려	어렵	VA	O
울	ㄹ	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
수치	수치+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 부적합 판정을 받은 아파트 중에서는 관리비의 현금흐름표를 작성하지 않아 현금흐름 확인이 어려워 문제가 된 곳(517건·43.9%)이 가장 많았다.
## 부적합 판정을 받은 아파트 중에서는 관리비의 현금흐름표를 작성하지 않아 현금흐름 확인이 어려워 문제가 된 곳(<517건:NOH>·<43.9%:PNT>)이 가장 많았다.
부적합	부적합	NNG	O
_	_	_	O
판정	판정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
관리비	관리비	NNG	O
의	의	JKG	O
_	_	_	O
현금	현금	NNG	O
흐름	흐름	NNG	O
표	표	NNG	O
를	를	JKO	O
_	_	_	O
작성하	작성하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
현금	현금	NNG	O
흐름	흐름	NNG	O
_	_	_	O
확인	확인	NNG	O
이	이	JKS	O
_	_	_	O
어려	어렵	VA	O
워	어	EC	O
_	_	_	O
문제	문제	NNG	O
가	가	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
(	(	SS	O
517	517	SN	B-NOH
건	건	NNB	I-NOH
·	·	SP	O
43.9	43.9	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 독일 3사 등 글로벌 톱 메이커들이 지키고 있는 고급차 시장은 난공불락이다.
## <독일:LOC> <3사:NOH> 등 글로벌 톱 메이커들이 지키고 있는 고급차 시장은 난공불락이다.
독일	독일	NNP	B-LOC
_	_	_	O
3	3	SN	B-NOH
사	사	NNG	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
톱	톱	NNG	O
_	_	_	O
메이커	메이커	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
지키	지키	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
고급	고급	NNG	O
차	차	NNG	O
_	_	_	O
시장	시장	NNG	O
은	은	JX	O
_	_	_	O
난공불락	난공불락	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 커는 30일(한국시간) 미국 캘리포니아주 칼스배드의 아비라아 골프장(파72)에서 열린 미국여자프로골프(LPGA) 투어 기아클래식(총상금 170만 달러) 최종 4라운드에서 무려 7타를 줄이며 역전 우승했다.
## <커:PER>는 <30일:DAT>(<한국:LOC>시간) <미국:LOC> <캘리포니아주:LOC> <칼스배드:LOC>의 <아비라아 골프장:LOC>(<파72:NOH>)에서 열린 <미국여자프로골프(LPGA) 투어 기아클래식:POH>(총상금 <170만 달러:MNY>) 최종 <4라운드:NOH>에서 무려 <7타:NOH>를 줄이며 역전 우승했다.
커	커	NNP	B-PER
는	는	JX	O
_	_	_	O
30	30	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
캘리포니아주	캘리포니아주	NNP	B-LOC
_	_	_	O
칼스	칼스	NNG	B-LOC
배드	배드	NNG	I-LOC
의	의	JKG	O
_	_	_	O
아비	아비+이	NNG+VCP	B-LOC
라	라	EC	I-LOC
아	아	EC	I-LOC
_	_	_	I-LOC
골프장	골프장	NNG	I-LOC
(	(	SS	O
파	파	NNG	B-NOH
72	72	SN	I-NOH
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
미국	미국	NNP	B-POH
여자	여자	NNG	I-POH
프로	프로	NNG	I-POH
골프	골프	NNG	I-POH
(	(	SS	I-POH
LPGA	LPGA	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
투어	투어	NNG	I-POH
_	_	_	I-POH
기아	기아	NNP	I-POH
클래식	클래식	NNG	I-POH
(	(	SS	O
총	총	XPN	O
상금	상금	NNG	O
_	_	_	O
170	170	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
)	)	SS	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
4	4	SN	B-NOH
라운드	라운드	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
무려	무려	MAG	O
_	_	_	O
7	7	SN	B-NOH
타	타	NNG	I-NOH
를	를	JKO	O
_	_	_	O
줄이	줄이	VV	O
며	며	EC	O
_	_	_	O
역전	역전	NNG	O
_	_	_	O
우승	우승하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 문의 : 031-613-8901<본 자료는 해당기관에서 제공한 보도 자료입니다.
## 문의 : <031-613-8901:POH><본 자료는 해당기관에서 제공한 보도 자료입니다.
문의	문의	NNG	O
_	_	_	O
:	:	SP	O
_	_	_	O
031	031	SN	B-POH
-	-	SO	I-POH
613	613	SN	I-POH
-	-	SO	I-POH
8901	8901	SN	I-POH
<	<	SS	O
본	본	MM	O
_	_	_	O
자료	자료	NNG	O
는	는	JX	O
_	_	_	O
해당	해당	NNG	O
기관	기관	NNG	O
에서	에서	JKB	O
_	_	_	O
제공한	제공하+ㄴ	VV+ETM	O
_	_	_	O
보도	보도	NNG	O
_	_	_	O
자료	자료	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

